1	-0.5879582036927812 -0.6585810954380765 -0.5957703342177562 -0.5603736200543568 -0.6962638895934103 -0.8775834233057869 0.3969107547422683 0.9882872287847265 -0.6587226610534922 -0.5988675592684223
2	-0.9203752576455142 -0.878296826093782 -0.8694949704568149 -0.8711426519950355 -0.8637016454488521 0.2708467197339878 0.0955427194689306 -0.1082633388292036 -0.8818567921548641 -0.8717427438861537
3	-0.9318244305476023 -0.9303796905167606 -0.9017000353572834 -0.8834250062977675 -0.9252902772964755 0.03290038008685944 -0.2355278036582272 -0.1901834644103828 -0.932311142178427 -0.9061535779517592
4	-0.9256107645512249 -0.9444387071127504 -0.9062499161353567 -0.8782444340251044 -0.9440777666608264 -0.08463646567325769 -0.4010343780971067 -0.2324690110351857 -0.9455280077799636 -0.911756855381879
5	-0.940441367168144 -0.9386014391587814 -0.9109253344892633 -0.8915346743593907 -0.9308537321707168 0.08563807642744214 -0.3523254558184734 -0.3220308815851159 -0.9403744359329876 -0.9157664841539873
6	-0.9449579389891328 -0.9250475859495261 -0.9042006591127572 -0.8952550260885137 -0.9169911030373311 0.1127230311205124 -0.02242855765654999 -0.08170876351870268 -0.927865985398744 -0.9075306612220918
7	-0.9582592700058055 -0.9399165370333359 -0.9170238571979635 -0.9079585193037001 -0.9341904470228454 0.06348324116117997 0.05611528443382492 0.01776527827363349 -0.942852344457106 -0.9202064073209817
8	-0.9580782914188979 -0.9552943923567467 -0.9261710001234227 -0.9082806825205941 -0.9503584727724674 0.0294459034472212 -0.2035550475201044 -0.1617349463593037 -0.9573788779497404 -0.93059370278759
9	-0.9580354119798841 -0.9511755066562655 -0.9233946609388247 -0.908123156173293 -0.9467127279112773 0.02482939890966794 -0.103775221178392 -0.07942226027944997 -0.9535345478587798 -0.9273932050900611
10	-0.9842949042566821 -0.9572031218252112 -0.9365041448805629 -0.9323866232509508 -0.9520445063797197 0.06052881985716373 0.2486570757611782 0.1726928401575902 -0.9607568042207939 -0.9389490619565216
11	-0.977520096735131 -0.9562082855542923 -0.9333868891382513 -0.9261475771024811 -0.9514220124541434 0.04682023761038803 0.1560538201171333 0.1097144789754456 -0.9594356231470088 -0.9362534165397685
12	-0.9743961649290193 -0.9614235904982602 -0.9361280446904969 -0.9234175368419281 -0.9552875685431281 0.06410646642901915 -0.06582135362442006 -0.0786846065537051 -0.9640524617198002 -0.9399046466487289
13	-0.9684098304097081 -0.9633763482788528 -0.9344887867763846 -0.9180192779920476 -0.9590639296546936 0.01890478545144834 -0.1318526785649874 -0.09690818622804956 -0.9656647610219956 -0.9386673673244843
14	-0.9561466291322498 -0.9687461169330173 -0.931506523813786 -0.9070231962771595 -0.9692720411060521 -0.09725586360179081 -0.241750133610685 -0.09643056624412569 -0.9703407955949679 -0.936467574644798
15	-0.9507174401812096 -0.9421398664199135 -0.9139776432424359 -0.9011858419873713 -0.940648494829266 -0.03175157343563217 0.06787617345460061 0.09868991380971463 -0.9448080125620347 -0.9173642887877275
16	-0.9550317643986479 -0.913942278791838 -0.8997797581676529 -0.9041974798321334 -0.9082150152580477 0.09053358697379101 0.4897174682457104 0.339875932469167 -0.9182021360537176 -0.9009670297961776
17	-0.7054472043933288 -0.6521661846804749 -0.6563185663227927 -0.6669388301440671 -0.6341749698727296 0.3678186018508215 0.1564152894298332 -0.1380552068371332 -0.6556084081198887 -0.6571983932039007
18	-0.833899972658342 -0.8464198536965593 -0.8137820464710527 -0.7910863576228089 -0.8459007229201255 -0.06715831224860244 -0.2856751526278775 -0.156542117067134 -0.8476465910230485 -0.8183844283175943
19	-0.9812870072834315 -0.9289185550629415 -0.9194469321356937 -0.9286899636625816 -0.9201678390880106 0.1620290667736976 0.562843420198626 0.3443314810364753 -0.9336717346379958 -0.9201991712443627
20	-0.8622154004582917 -0.8753392609901105 -0.8396186589007749 -0.8180348614785555 -0.8792320411116261 -0.1578316865664324 -0.09200472883000503 0.06546165226067593 -0.8769341967043845 -0.8437488085631963
21	-0.7958311826717853 -0.8565664979513786 -0.8040179566205028 -0.756599011312876 -0.8628330703878052 -0.2561553580643518 -0.886882931376924 -0.489894340902625 -0.8553951173023923 -0.8116782730705502
22	-0.7639488792869712 -0.7799924590137961 -0.7484174014721616 -0.724865052705823 -0.7793811413344235 -0.06420837680047796 -0.35522987995021 -0.2152735957856873 -0.7808381511787922 -0.7530520238954269
23	-0.7838176491405032 -0.7092994169693302 -0.712059044795561 -0.7408860726075684 -0.7071028309502635 0.07249149490956038 1.296393492912773 0.987005223494594 -0.715374744033383 -0.709114492786825
24	-0.7873228218627798 -0.7090823771351037 -0.7165047899877482 -0.7439513106251999 -0.6990564636940718 0.2324753188218927 1.001756607235485 0.6336826949418223 -0.7147883663023731 -0.7143887803219388
25	-0.9438618223962447 -0.9185994726617448 -0.900956190983757 -0.8940022736966496 -0.9078986047225011 0.1717513440351121 -0.04383113737414862 -0.1431458208687859 -0.9215274211691892 -0.9041998210075561
26	-0.9323206673587643 -0.9275990578086537 -0.9015416790885051 -0.8837350195547506 -0.9192641091282858 0.1013330080443999 -0.3245902019650294 -0.3121313690679988 -0.9294766346526067 -0.9061836496254102
27	-0.9295974221595799 -0.9239441420401259 -0.8982228737240607 -0.8811287598222396 -0.9158619502988673 0.097603131237134 -0.2949582439026558 -0.2859684730031752 -0.9258889721136057 -0.9027356848687763
28	-0.9586684083016065 -0.9334869772968428 -0.9133245885868394 -0.9081293192267033 -0.9274071442405167 0.07854721114240187 0.1699409254174114 0.09634751725708118 -0.9367972737237178 -0.9159643380494036
29	-0.9572402503268636 -0.9366679909070489 -0.9147770200297601 -0.9069183813582485 -0.9306576090941773 0.0718447968447295 0.08536813292528468 0.03455043791302555 -0.9397102692976548 -0.9178024292115168
30	-0.9706361431473763 -0.9196066300311915 -0.9122369428251613 -0.9185360071738633 -0.905628422953799 0.2653218219297348 0.2935836399996173 0.05348515467046852 -0.9238581474890446 -0.9138220957281487
