(pearson)
=====================================================
 #  	||  ref		softimp
=====================================================
500 	|| 	100		91
1000 	|| 	100		91
1500 	|| 	100		89
2000 	|| 	100		89
2500 	|| 	100		88
3000 	|| 	100		86
3500 	|| 	100		86
4000 	|| 	100		84
=====================================================


(spearman)
=====================================================
 #  	||  ref		softimp
=====================================================
500 	|| 	100		83
1000 	|| 	100		82
1500 	|| 	100		82
2000 	|| 	100		82
2500 	|| 	100		79
3000 	|| 	100		76
3500 	|| 	100		75
4000 	|| 	100		71
=====================================================
=====================================================

