1	2.085930572142061 0.002719213339805196 0.9936851950838324 2.022152237172172 0.3991975794101084 1.570033317877536 0.5602004208092878 1.031859518123478 0.9441742722636678 0.711599550686531 1.751564436329417 -0.9857751263142519 -0.1548441693597034 1.788205148804581 1.248175583555728 1.096943036548166 1.834916434762632 1.813467811275784 1.31406249336865 0.2790184094408233
2	1.913401176401022 -0.1161430207059151 1.012659866456479 1.810731529700223 0.4269195729617094 1.372730794505565 0.4249733576680203 0.8373242402238879 0.8381666053292837 0.5943605539035952 1.563625847795492 -0.9775588502168828 -0.1881653313541804 1.559352229853944 1.040050278816505 0.90637551964207 1.626743391868154 1.618255169838081 1.131214135773749 0.1837152505082534
3	1.60141572472915 -0.3727535815721679 1.070275723680986 1.426343715865032 0.4224764345571516 0.9505505626875439 0.2096019199693651 0.400448359592162 0.5542710751844426 0.3055519082300678 1.172873778973679 -1.121100489621699 -0.4015360065596637 1.134297707155423 0.5921940477298805 0.468011255170082 1.245146987502342 1.246562125351093 0.7264777953259013 -0.1240187300123242
4	0.5431647846870544 -0.7666786957857161 0.8769403029450231 0.2806165714590873 0.2723445910276099 -0.1507669289049786 -0.2505331019763835 -0.5758243125771829 -0.1783812331680952 -0.3588347624877714 0.07173591020548015 -1.123226824977257 -0.7436046562729526 -0.007055113686513752 -0.4559358800749814 -0.5337268820604435 0.1562974956279049 0.1714265950734745 -0.2796035870977244 -0.7199206148101123
5	0.1448805356502388 -0.9560043981512326 0.8547927869137821 -0.1830178517309277 0.3336761149628115 -0.5354139818375023 -0.5314915419904899 -0.9214369194302785 -0.3587009115938876 -0.5572933968056397 -0.3119704052428029 -0.9802366501349342 -0.7137012672120241 -0.4865913338230413 -0.8425144630584479 -0.8704491002829839 -0.2917198118422458 -0.2452865532695821 -0.622654593331599 -0.8288723046130949
6	0.0321902700250644 -0.6282496758636514 0.518766437161478 -0.1671820986462577 0.1272354872186916 -0.4431643502308715 -0.3025470081240308 -0.6858598436726155 -0.351005108285436 -0.4469798139552378 -0.2955794886929002 -0.7540353115529793 -0.6084950712801144 -0.3556091322197745 -0.627807685765927 -0.6669079993788537 -0.2316694402512104 -0.2189050507560906 -0.4994282296292192 -0.6689567809005401
7	0.1560659502430252 -0.3385387154300752 0.3256762359393275 0.06641316359252304 -0.02957284638727485 -0.2030530609095404 -0.02665427732473824 -0.377964324687983 -0.2618363012992656 -0.2861667172986097 -0.1016646433285862 -0.6900275391659534 -0.5633154342454068 -0.04453020597127062 -0.3124275858675213 -0.3830489163583958 0.02119454586390322 -0.00204043213721925 -0.2608162188873859 -0.5228890450362522
8	-0.2896521401418861 -0.3279061758162065 0.09090379111547713 -0.3473477938741923 -0.2005661206888421 -0.5760902992823351 -0.07435396586864597 -0.6373644715013479 -0.5477340997555474 -0.4919996134129859 -0.5095470171512533 -0.6121720403795632 -0.6700763530298763 -0.4008480860151181 -0.6057290133593786 -0.6698242279392781 -0.3501189562172994 -0.3882207428747178 -0.5851947019143608 -0.6915723923636831
9	-0.599257502060033 -0.3117382793989882 -0.06467413093032492 -0.6479555612643801 -0.2308064459380331 -0.7791009478547746 -0.1749121540104748 -0.7521775077869896 -0.6432743859321084 -0.5616554959323965 -0.7458370558606089 -0.3900955338462248 -0.5730213309552518 -0.6634594132929347 -0.7592184742607195 -0.7897017936943908 -0.6218280242129275 -0.6496832856545949 -0.7461456778741526 -0.6685486100118712
10	-0.0128924972786036 -0.1905918488969429 0.1310914429105494 -0.05567614174247662 -0.0617552307497546 -0.2042291940633195 -0.02147727427216493 -0.2783691451999298 -0.2209429807795751 -0.2145173836244459 -0.1539315652598141 -0.3857870364206241 -0.3560640147389909 -0.1055133790074094 -0.2478261792557001 -0.2884398094608804 -0.07166290338353876 -0.08964540249707272 -0.2265267882689362 -0.3451095652122356
