1	0.07885358525159067 0.05918164405851499 0.060086605233611 0.0877732530773197 0.09540505553040397 0.1122662795255138 0.1125389890849867 0.1072923129830749 0.1075339095719326 0.1113838129416561 0.1098302458439578 0.1053153661461201 0.09501827215250325 0.09867007360553334 0.07681966121192055 0.08021746902186995 0.07936855011395993 0.08106641663222368 0.06955759901177298 0.07731865483380415 0.07389402469601289 0.06791413064086321 0.06775387213270601 0.06496555350934811 0.05787732155750677 0.05377121115321516 0.02168980849911526 0.01397122329234492 -0.01203087963938302 -0.02562143876029792 -0.03091124708929147 -0.05088001669117855 -0.06351927827353759 -0.08595913342811612 -0.0878553000326027 -0.09686706408799338 -0.1101562871910316 -0.1199604476129266 -0.1122300222850355 -0.1237529272646677 -0.1420665599970711 -0.1508850522380506 -0.1566629184316405 -0.1483716082950542 -0.1535805961737081 -0.160551561454393 -0.1552765042094109 -0.1452035212569285
2	-0.4270976437109272 -0.04440773559268897 -0.0705140785001432 -0.4474162756959469 -0.4310928692723028 -0.6607564292220007 -0.4754110231644662 -0.2606352139345451 -0.1327669332164608 -0.104830887547179 0.01543273101117456 0.2422445005539175 0.5097425265766163 0.5053594726410972 1.146046822784492 1.16534937288049 1.310312791849951 1.404945233710899 1.733191391140756 1.560559031098184 1.59561400442163 1.765655929791854 1.888370914157954 2.038494680388149 2.17470416886604 2.235333421268395 2.829293098764031 3.109384075460829 3.582079004918668 3.825990024918773 3.989629462337258 4.370244396947013 4.439299169483242 4.816165699480055 4.650323885676975 4.630848508808696 4.696044254375812 4.916967917969997 4.665237132485832 4.798601414936679 4.939038918815379 4.860276888120795 4.86421973170251 4.576898723404 4.554264310629344 4.622472107299626 4.454477644032662 4.145861172797786
3	1.773534476251933 2.16513035996134 2.190167080192568 1.735968716638613 1.655635647110601 1.399675579778386 1.329925650890001 1.353879784064093 1.270902099515133 1.212646952980379 1.219171024899852 1.230828929822521 1.305372827886399 1.182348085457593 1.420870686337066 1.293688676823548 1.295802582819766 1.242390875528107 1.360430320962897 1.260214141600268 1.360442909041515 1.432229307393914 1.3613108133817 1.369985879312209 1.501782307101206 1.503900831722919 1.951931415953249 1.9652223565643 2.272021512850244 2.4886618347902 2.54112707728597 2.767406516105101 3.027816205049013 3.416559049648042 3.586697553268097 3.85081934402157 4.180269732439455 4.300430355652222 4.244204331856943 4.388156769013554 4.70060471502952 4.935330975193036 5.027709153591913 5.014981598109403 5.135057944935277 5.212519007151657 5.046626869374469 4.933594492089188
4	1.677805835190396 2.0558038973413 2.078817778190831 1.64346648929555 1.569617406095115 1.323988907551003 1.263966197515399 1.29228190747339 1.217954072193323 1.164568711298095 1.174193274519167 1.191417047144753 1.268166562648438 1.152541385421396 1.393591302623923 1.274730970970471 1.281105185424717 1.23395664185649 1.353458398449988 1.254924926141758 1.350022846046945 1.421974639523673 1.358796759217293 1.371142794964427 1.498501595502364 1.50158276878292 1.937036382967783 1.956832786134017 2.256281384428081 2.465867036275085 2.519503877261041 2.741206707800742 2.986845860908704 3.361411975019177 3.516556315622102 3.763651357378915 4.07426054730355 4.192740893925242 4.133276652317593 4.271141983195756 4.567043737495984 4.78454847705863 4.870783132114782 4.851406803366463 4.963087501083664 5.037007311876847 4.87607907479899 4.761635699392569
5	2.066550914799312 2.58617500517362 2.61402767503782 2.012563636980763 1.91021698533539 1.569037892436049 1.497613668236762 1.546569316111708 1.45484011340029 1.383087955372067 1.401065777527341 1.435389974134639 1.553624755945668 1.400833594007344 1.754864036578127 1.598952225720295 1.61284747563439 1.553537631533024 1.730091978036643 1.589536044251854 1.716676451927956 1.821095028713465 1.743964946471705 1.767698289767134 1.943485416748687 1.953651063075351 2.566939894411426 2.609611478049037 3.037500987877197 3.329399930644923 3.409312985583276 3.727859413659516 4.059412383645182 4.577240673365775 4.773484742559993 5.100275346385463 5.516044268116278 5.685978320199827 5.593144963087354 5.786885402182835 6.191328888875855 6.477838306472747 6.594924081472743 6.551969981176287 6.700367627419158 6.804943624630458 6.586707639385292 6.418783316187432
6	2.919977439980717 2.891928459132504 2.950906046178701 2.949139144991687 2.886622046478962 2.909477027766125 2.655277942731124 2.448326472437957 2.233081563763053 2.162455013229436 2.046893221321074 1.818741818715536 1.590081102964299 1.474171441232662 1.012457241105069 0.8678229813382338 0.7280082683164093 0.587001791004315 0.3437732288036771 0.437916539246736 0.4998706204597289 0.3860301083201149 0.1871682277827788 0.0384575398922526 0.01921415405005142 -0.06023204587527187 -0.2972231885002326 -0.5930376547898987 -0.8418308734489962 -0.9039821998343402 -1.029923050659018 -1.248405276306615 -1.08893444550011 -1.131286726304399 -0.789479493412641 -0.5202928825017014 -0.2814401932811464 -0.4104828678300865 -0.1909440425938404 -0.2199527944746879 -0.1019050807000333 0.1906447938498571 0.2589402390471324 0.5656655352165245 0.6944466958715357 0.6776023010675751 0.6767849412760819 0.8986389209353239
7	0.6007059225411834 0.6087418175702595 0.6282052440883089 0.5687050129425484 0.5067030284419156 0.4779523577204139 0.3568468900577559 0.2722040237095565 0.1759565872391842 0.1281935675460517 0.07383189850964031 -0.02378242801189948 -0.1009333836574951 -0.1547321609354365 -0.3270889194132823 -0.3937180624868376 -0.4646315200387056 -0.5379162143332579 -0.6266976394468421 -0.5992495286960586 -0.5701257882506734 -0.6122368194270971 -0.7002019842753893 -0.765115999937102 -0.7646998509388236 -0.781746554350652 -0.8216470482238059 -0.9356362810397979 -0.9837428186164101 -0.9870446740529655 -1.035049263108141 -1.084383086641481 -0.9852702791510101 -0.9662904903589331 -0.81386253275747 -0.6797306241525479 -0.5517218101859868 -0.5901696906345999 -0.506206026040165 -0.4855753087432961 -0.3860066866489579 -0.2326246680606207 -0.1827141576689182 -0.06666839890665294 0.00499382637191564 0.02042026081340278 0.02995453039530671 0.115114616425555
8	-0.9325451236342693 -0.3172837812493017 -0.3479396785205922 -1.043513107028958 -1.112328836099182 -1.533227908755536 -1.365403743100671 -1.102875789183849 -0.9923925177882574 -1.010403153300477 -0.8777050599792411 -0.6122356511010577 -0.2428205964110003 -0.2991948236128821 0.566682635328674 0.5351948484600946 0.6844783175572816 0.7526817302142341 1.198760620431014 0.9424400964336681 1.023286324395229 1.256001902232118 1.367012115349523 1.540924069646887 1.759706216412146 1.858511505340381 2.806475753851693 3.154836130937989 3.906976454584774 4.30475667282953 4.521943636500177 5.11537806977524 5.340146022554867 5.976071829416453 5.856628607094201 5.960910184103743 6.197672579961458 6.523350653237608 6.196532562587208 6.457015780012185 6.813015728703857 6.853815701202518 6.926076396506583 6.565243740884835 6.609999606637904 6.75414790690987 6.517314813309805 6.104845409550427
9	1.531174674672588 2.183581739386166 2.223463627973871 1.331492082177519 1.064857819017218 0.5523041039459797 0.3097871903503969 0.2829076317500914 0.06304510272025846 -0.1119942588517997 -0.1618899731272018 -0.2287292011146066 -0.129034499050693 -0.3729885418402761 -0.09548754912418704 -0.3582499370144648 -0.4451317885127963 -0.623053172604538 -0.4814513834426779 -0.6427919478601601 -0.4588705093301033 -0.3694486311310341 -0.5605679664467605 -0.606949832502598 -0.3844264789912893 -0.352151509663867 0.4515281981927721 0.4055087346489512 0.9798239641271282 1.365608299951099 1.418785374406244 1.833262325527344 2.39370509729365 3.095392568966613 3.501276517654925 4.06683017213884 4.743845239617514 4.936065617730751 4.897750596580961 5.21928815007844 5.906026098328542 6.467618042114931 6.704377971270128 6.746277576351885 7.03318438229383 7.222500568898428 7.004837303221163 6.881976373447962
10	1.178738823707452 1.600939163939177 1.614320642567169 1.127097865752023 1.050623582513286 0.7703599953570972 0.7480887599089385 0.8170960652532058 0.7738023668465386 0.7246813990320825 0.7550398684005943 0.8149659457078223 0.9441634915219771 0.8378260456448233 1.189487182310694 1.084680614249282 1.114626130793257 1.085914445980854 1.263390792365274 1.13617827021234 1.229482279403687 1.329947587803711 1.296143061884028 1.336170428148183 1.480564344890773 1.501616972970163 2.032510261942519 2.109940605535443 2.493675626433682 2.738589005420046 2.821072921072423 3.111544100782063 3.357452345799757 3.781874974709406 3.891107415259336 4.116468871543278 4.418081602453556 4.574166060267276 4.467638010158465 4.630130742352042 4.942057866532674 5.132710032045129 5.218781857077029 5.139325239454476 5.241492336659714 5.329828041157074 5.156045355308681 4.989048026493075
