1	0.2503524430766945 0.2737379351181134 0.2536621650755118 0.2164527119351146 0.1952801432194183 0.1499533028977272 0.1040760861186743 0.080148574343642 0.0490004232677964 -0.0009898425203627873 -0.03899704090086283 -0.06296404359004792 -0.06511736061389574 -0.08311083531335703 -0.1214517461548777 -0.1497897151478892 -0.1747351737587675 -0.1832434107816997 -0.1947905855514176 -0.1957584078579935 -0.1884089049902107 -0.2020800182461249 -0.2168349943964713 -0.213090588811849 -0.2221982258419276 -0.2320421488343519 -0.2364979300363043 -0.2331888408762714 -0.2187496618312513 -0.2248344198275185 -0.2329653092175787 -0.2152263453738895 -0.1981179882255515 -0.186666255029746 -0.1180615066247645 -0.0590698263934873 5.256539503394037e-05 0.005837073112253563 0.03127192210776243 0.08521357192198316 0.1363823923625299 0.197783827215765 0.2337176257443224 0.2591710314920898 0.2945320153795901 0.2837773721341903 0.3160776765586475 0.3249571289681386
2	0.9014868225412133 1.24987333593888 1.053918511408443 0.8815188502008063 0.8394215936650087 0.7698970539708456 0.6737800622173158 0.7141143645522192 0.6236039665110421 0.4658317001845677 0.432732060750569 0.5505928123708035 0.5765849736020968 0.5775489796117883 0.6485627712808271 0.5641986556218883 0.6892553841605749 0.7342924748956868 0.681339356962424 0.6766587083114844 0.7669996183586277 0.7629665753696461 0.7153905478261852 0.7613899360771597 0.7893574652280938 0.8335562055811362 0.828455912998169 0.9687120229246602 1.147219587289869 1.19422191255312 1.229342907428601 1.278705049727994 1.404250352508904 1.533086656043248 1.918360807143016 2.365390746441061 2.496557972030403 2.65847189593769 2.682240052792208 2.810106511804725 3.130700313618914 3.426234760016427 3.52312420674574 3.678004054224743 3.719386550787865 3.687807228405604 3.664745365134846 3.571562230845351
3	-0.6138561086333346 -0.5583954871868021 -0.5299342787347447 -0.40464134237778 -0.3427403927133689 -0.1410350083157308 0.05011786256388134 0.1736224893404027 0.2739680018238028 0.4480565704480448 0.6334943175014313 0.8028891239014038 0.8173102210563757 0.874276517407501 1.078428867623571 1.197432620850013 1.364609496521349 1.407588321075497 1.43680164922124 1.454672142495453 1.452446439231128 1.515112462452394 1.552729423875535 1.56392487387018 1.620863962411248 1.680544775714976 1.687898695421156 1.719949855958556 1.711333262710395 1.749902176000851 1.789397841643135 1.724687372121184 1.697045957501292 1.686743697688148 1.493643075322028 1.36592121181458 1.137732778286462 1.158123568039328 1.043032914311987 0.8279201255115772 0.6902403735491622 0.501575631318693 0.3534489473917554 0.2832417106169289 0.1152742102273088 0.1550390657575055 -0.009453842555521291 -0.08569729012108473
4	1.247508685801068 1.682793446305206 1.369316169470461 1.036401222010101 0.9812990989596693 0.7671274495650889 0.5233119777893535 0.5350100504861909 0.376399155930456 0.06989356908938509 -0.09040648420900546 -0.01050908176159259 0.03003865327523898 0.05024872369543711 0.06962713265232352 -0.1343905258964991 -0.02800427498314786 0.04134407051629362 -0.0414576322251764 -0.07981302711034272 0.05689401580881668 0.02356229215285514 -0.04138814836270276 0.003488848867319762 0.01405639208343172 0.05802387172876321 0.06555354749922011 0.2662347044915008 0.5454260925988793 0.6098331107223268 0.6629345391016768 0.7639215895885964 0.9523706631884965 1.154477376778763 1.831339307985631 2.575259690414515 2.868136103056159 3.118645018876406 3.211201286594205 3.509184175435789 4.069856710788478 4.605745174492985 4.838078141410039 5.110946649791194 5.272783146573251 5.207081457980022 5.251557632930232 5.146857477603508
5	0.2138892908425643 0.1759233875429815 0.1994257352460819 0.197368576509433 0.1698518332174102 0.1319263932536619 0.09834040938891125 0.05472290856150552 0.02958139515273447 -0.0002616448833079189 -0.03524773009495858 -0.09060177311198797 -0.1020678560467805 -0.1382950109320896 -0.2080979259220462 -0.2184623319144413 -0.2808859023940997 -0.3090585358779722 -0.3139985633038738 -0.3078034679622761 -0.3203825651327928 -0.3378174456775921 -0.3520360063299987 -0.353227523590367 -0.3706786368223045 -0.395909717456796 -0.4055985689790164 -0.4371018064630579 -0.4640148238690818 -0.4867676982239473 -0.5111921097783024 -0.4991950069108279 -0.5040902362445926 -0.5218087864448997 -0.5289500388043358 -0.5651644348189868 -0.5171343529176888 -0.5539766733362116 -0.527406873603494 -0.4897819644534799 -0.5057124263805292 -0.499094917887882 -0.4807488140063232 -0.4875626252738845 -0.4573183563011105 -0.463706544711033 -0.4164285378750541 -0.3818254823968631
6	0.1078633239545103 0.1573585704695319 0.1250446031208564 0.09507341776747028 0.09179284709015884 0.0780199594676077 0.0605643239559439 0.06736963499855138 0.05478459060401397 0.02972946417336834 0.02103850362275101 0.03736182586097016 0.04232642223431532 0.04686330419434032 0.0581469078744733 0.0417480307382971 0.06074481958265178 0.07002926104075374 0.06242080245873001 0.05922150037999999 0.07378666383681722 0.0730385469947111 0.06766214093751785 0.07307125755535686 0.07680503502853234 0.084198336594516 0.08525276670064676 0.1082095367095146 0.1377382147703032 0.1463390128849753 0.1537366164446968 0.1616565921389657 0.1806822490448862 0.2018801671355869 0.2657145452420369 0.3396802163520479 0.3608191655775462 0.388538651566989 0.3932434310832507 0.4154472411183419 0.4692941488021391 0.5182248821941875 0.5363619806844437 0.562422259987081 0.5720816470357241 0.5668319984108112 0.5641461024332185 0.5494640071702577
7	0.7517203856118178 0.7316237614618462 0.6540814291520178 0.4617191108522381 0.3950062432680211 0.1329184784209486 -0.1198185147564137 -0.2550227965340363 -0.3833185175856611 -0.6191089157557755 -0.8577934356291813 -1.043138994212217 -1.051352014562081 -1.099557685825446 -1.324940260164634 -1.494069655323932 -1.66893231315086 -1.701404737053215 -1.742885605196439 -1.775130661177251 -1.753567857997954 -1.828367439898412 -1.87283558417447 -1.88477401121705 -1.948991578173278 -2.008632578136634 -2.010432172517812 -2.017175750754487 -1.966465569754537 -1.997562274722771 -2.029240058635749 -1.943106311621065 -1.889448290135351 -1.848537249134902 -1.533870174925177 -1.282237918484001 -0.9869686869038349 -0.9701347948688925 -0.8264106255555652 -0.5404556534216773 -0.3025408168879881 -0.01373712752052864 0.1910131769527191 0.3104818034799544 0.5288568299336276 0.4749001772634615 0.667447945895846 0.7388128950127402
8	-0.4900933782769152 -0.2797198520645722 -0.4806304555173844 -0.6344995530258835 -0.5427045663807706 -0.5529729476618729 -0.5807942547579151 -0.4519428488906638 -0.4252718453759878 -0.4636263260369782 -0.4686279802541423 -0.3118128205059796 -0.255096380778038 -0.09892607711358374 0.1004926940704303 0.0155090774408531 0.2191557349894845 0.347467974291722 0.3374312020935629 0.2780589848936511 0.3687108449042931 0.4023207286136304 0.4400966945144136 0.4399165451356802 0.484136927437769 0.5748654834355036 0.6251575487798935 0.7980736143842645 0.9947308760485457 1.095148596307503 1.203317586990252 1.210909157299187 1.288206316472281 1.424424525107011 1.739229645154562 2.163824769202689 2.150303259149333 2.372155207897148 2.345846354272518 2.380572952893502 2.677064609666655 2.891479307659699 2.962865906337516 3.104984731353962 3.11975886431557 3.108904627375648 3.007350060041461 2.872483007484252
9	1.871276473258971 2.299197150410619 1.996364767814442 1.627439685959645 1.506811380040344 1.203680588572909 0.8743463789089666 0.8051176789715291 0.5772838907524169 0.1799699277466444 -0.05600067485961959 -0.06462063993389042 -0.04274475758405433 -0.09793594725684895 -0.2065234592068003 -0.446313279321632 -0.4421376619559746 -0.4223158502487115 -0.5256829891585155 -0.5511924162341817 -0.4227707154104666 -0.4921899148691992 -0.5961556930268207 -0.5439597347606803 -0.5630843997706892 -0.5619944957766564 -0.575990677307761 -0.4126258253326103 -0.1543384864816856 -0.1276098194332326 -0.1181850373772383 0.01657019123039256 0.2196172508411155 0.4101512430071179 1.145185051928472 1.899999432362205 2.315321889708323 2.521205771318581 2.671771309644435 3.069698743660516 3.658167472027257 4.263229491327661 4.550048584036487 4.83811269283869 5.067757105342653 4.983150433298392 5.118632609876374 5.066185810579497
10	0.8865784466079025 1.174983799600068 1.014049547851005 0.8624628392712714 0.8131372731956377 0.735631638011625 0.6367460474584224 0.6526135576543575 0.5620979210564665 0.4107635445970496 0.3664910449053548 0.4451847861231157 0.4627689611718422 0.4471793822854181 0.4782767375795328 0.400062722927642 0.4817971091101536 0.5085218652888317 0.4599283809624878 0.4587677702031362 0.5322119978372708 0.5209366669091245 0.4728209208610218 0.5126827301202456 0.5294469390935008 0.5568752056997625 0.5479663543593801 0.6566394824925246 0.8007903440133964 0.8317182202689786 0.8514555644730435 0.8999806177561688 1.00773138650631 1.112537995662149 1.446309840665062 1.82116856526687 1.957287542386082 2.08244125410957 2.114988579138994 2.24347502740072 2.516717216601405 2.778127394319496 2.870870152219986 3.003263239494633 3.052700378325506 3.0222423416639 3.023016502041243 2.956855587550098
