1	-0.7128192776694968 -0.3522964523984443 -0.2915208058963593 -0.2724271378473455 -0.2601410178290942 -0.2533853389672223 -0.2275699277647153 -0.2170662347167825 -0.2141306923643013 -0.2103801514501913 -0.21985420113147 -0.2036936369090958 -0.2241562001380278 -0.2155130589871568 -0.2030814190084906 -0.2110134055439375 -0.1916795488191403 -0.1970239624358264 -0.2018492037767944 -0.1862755685580578 -0.201802375938185 -0.1640579919788887 -0.1918140322501759 -0.1788470107853123 -0.1967446244708236 -0.1926603778767919 -0.1960487378582326 -0.2092587819455225 -0.2318520375036765 -0.176400309923804 -0.154352876427063 -0.1997088516589412 -0.1942958334740794 -0.0759083121310903 -0.2672214557115116 -0.1063277585323908 0.02658802891418253 -0.0178570180664476 0.1418981057702308 0.2222689531162033 0.1309725352811507 0.3414090084453613 0.2488333338235654 0.3811542913283075 0.471162044411955 0.3716120544803646 0.3878693133662208 0.107567942605853
2	-0.08800201810751632 1.517830213908891 0.8328101226152421 0.434984970873227 0.3394494039362608 0.2408803146327006 0.3790852043159095 0.2616774220278097 0.06208252981539472 -0.08450119291003935 -0.2906667212664599 -0.1790922146456019 -0.4821297688600349 -0.3257453991960401 -0.1180321375720331 -0.3280711554695937 -0.1347544788951426 -0.1522499256366586 -0.1822887625197733 -0.07537999604431579 -0.2991102060682842 0.1020138129091927 -0.1876619573851337 0.03015740670774029 -0.2850768690393278 0.05916188967763402 0.4550728205495203 1.084976307666701 1.414971571341253 3.525589280852587 5.108495396164754 7.059431431088279 9.631432789788342 12.60685722583978 11.98989594526951 14.28893449426965 15.41583469996966 15.04121852155057 16.4385024787978 16.68099773092687 14.94709868175926 17.21892699486585 16.04900868618576 17.24992962757042 17.86444212871394 15.35765726011042 14.56593477901829 10.03118621286631
3	7.43039450339832 6.392790855572115 5.2555490884658 4.204425936496492 3.52417131634309 3.721766757838096 3.714422571031641 3.439826189286237 3.171227898383773 3.12392323287599 2.704254343630168 2.765827151716027 2.557690342376431 2.691573460176252 2.640797665307541 2.494149148739912 2.616079534201199 2.453783076264266 2.399502151696995 2.468521321881611 2.506770966003478 2.422243988761434 2.43906517965566 2.42190502736262 2.19108969409108 2.328678734735848 2.592399246332856 3.126684697558217 3.586762991466809 4.138697149206743 5.445133819079933 6.490302403876309 7.182096291567399 8.418159892807271 8.269282431056613 10.27770263233668 11.11478576477334 12.53070072889357 9.751092709059408 11.45665972741893 11.74479236702743 13.2571250152426 10.98873228419685 13.64510334503577 15.02303233359796 14.3998131768335 11.13415345725001 9.508049650425745
4	5.917048515242425 5.300831889601979 4.080576017345598 3.23846784109648 2.80439378909464 2.809364172885352 2.813332702409553 2.565547013813075 2.289967012197622 2.154377857288515 1.843401705256514 1.894858930379026 1.656491563511535 1.798699595509596 1.874357035474832 1.68693724998257 1.812624124483682 1.74055923829769 1.7101575506545 1.763986599442277 1.681779186334863 1.788122116273775 1.69172241527946 1.788662293554282 1.522403916924905 1.810149175347763 2.219087473810108 2.95125870635723 3.474337979391991 4.99577389936861 6.632169165678055 8.621415501883664 10.69406968166658 12.92385151465999 13.07494784180603 15.07096051723813 15.7963316310118 16.37144345972354 15.45058342538916 16.16644822521208 15.42754350221207 16.99931867116054 15.41980415998914 17.07335209227602 17.85334162227459 16.17536506847372 14.00778101651516 11.06990041598592
5	5.423226729261909 5.248277548719011 4.894544633533753 3.816310052429376 2.883271875513374 3.451511882661985 3.524204327822487 3.323114126615736 3.16787343562642 3.337680841109492 2.78641060655585 2.913082384288437 2.755860868664987 2.862761083411117 2.609532243105274 2.565536488995193 2.716117981183646 2.394210059478364 2.287932358647964 2.428077835707266 2.647994109572357 2.335087458816524 2.477047214526446 2.274778800782058 2.12336459460827 1.914365485546536 1.771683636004508 1.661681832041386 1.750317919353076 0.287926827198891 0.5589456160789578 -0.9129645422055359 -3.349211969768136 -4.152648615523852 -5.641874866791175 -3.624432298230326 -2.298642187795789 0.2648091683619522 -4.923088842935767 -1.357047227214852 0.6540553118012409 2.378933255013686 -0.9783805619046346 3.462752762408766 6.01531050727002 7.436523358683126 2.966573061767994 3.542728747873742
6	3.100071506040614 1.819213022688949 1.693965598723506 1.478680727652371 1.262227562746723 1.381779716728236 1.304374086400076 1.252681087829342 1.24499229147902 1.295632661419725 1.238040041338159 1.202721378095124 1.275183744575014 1.248472899708977 1.126037665983114 1.173233682753326 1.120763216174039 1.069409508808835 1.064790726786923 1.034716538575636 1.161088027310551 0.9251068005223639 1.078933996273994 0.9642410120743219 1.03304854382176 0.9197852902383197 0.8322416883744155 0.7390829500993999 0.7638861670119322 -0.05142542459794418 -0.3180141097748951 -0.8360644681272795 -1.801202179733419 -2.790684881760688 -2.488132782021173 -2.877084154476019 -3.141949072185063 -2.411762112259737 -4.185200675836717 -3.681690644246317 -2.715329796498973 -3.296155354027495 -3.566928451515676 -3.177400334421938 -2.978583975705829 -1.986542131104748 -2.852432183356594 -1.212778802825039
7	0.1980443030947926 -0.4192543593352179 -0.3765864335652647 -0.2119452381071942 -0.0906669877817904 -0.1662120014385035 -0.2245057584022948 -0.1981876776294046 -0.1594478296098549 -0.171700688818438 -0.06221784009790496 -0.1124474525900216 -0.03191295042416803 -0.07448822706636408 -0.07848198373460601 -0.03963338425713168 -0.106018076762362 -0.05337660449518176 -0.02941304081529527 -0.08021261095977296 -0.06594115007525039 -0.1154845714150755 -0.0676236405099451 -0.08033458368359403 -0.002615944734687618 -0.01643323330023981 -0.03510868546609566 -0.07058200467645244 -0.08869735725331065 -0.188320821204179 -0.4237991777955646 -0.3739226121521124 -0.3254675465308713 -0.6894430383854108 -0.1717824482610701 -0.9023612014673691 -1.376594812654032 -1.62750726356125 -1.279082180506448 -1.894980589562046 -1.863880663599663 -2.61612912391919 -1.913213686680365 -2.818649875838792 -3.349068222023409 -3.143978087038021 -2.471717308916268 -1.698904490365591
8	-0.2315687489820923 0.2734560686308372 0.02917208624602171 -0.04379342748964081 -0.01379204910114502 -0.094022805895752 -0.05555869928852748 -0.08709750973997457 -0.1502684795124341 -0.2180325653347407 -0.2509441630722857 -0.2235851656858757 -0.3182623699488932 -0.2707631479514515 -0.1788078675514355 -0.250979944703306 -0.1960579725875378 -0.1772910090209774 -0.1792027906821245 -0.1543966014938419 -0.2489458440712891 -0.0882181102671668 -0.197956069277629 -0.1061720461866155 -0.2065086689290312 -0.06499110893362108 0.09284485344661951 0.3375421521977366 0.4593664626122845 1.331823379282283 1.890818566616496 2.733333964008968 3.862239777200963 4.988106673849938 4.923680043883977 5.579580389855592 5.861019306762026 5.546077208305974 6.400078220063132 6.20421793475911 5.440675394971743 6.094130952765529 5.935183918047943 6.01450449355336 6.028170792352084 5.024709709861152 5.05694712659784 3.416967797383996
9	3.806934652838564 1.831996295983604 1.186156613554961 1.172457984869307 1.296959126390814 1.048604678709338 0.89351446426026 0.8208085373545928 0.757562666383353 0.6211041893239145 0.7569270439756709 0.6480549804339264 0.7169785885114135 0.6886699366862695 0.7526639362265445 0.7357709813339686 0.6309596958051609 0.7521560104654053 0.8048722645008587 0.6947242261495561 0.6563239671174823 0.6286302941774821 0.6754709653795228 0.7256909504751017 0.7686855963701617 0.940437788861451 1.171623474559454 1.565787854314074 1.849366902804372 2.724569574960759 3.150961216129909 4.716194230947933 6.427972512783206 7.014654662858129 8.596813656367008 7.804760304127696 6.919240793631242 6.389156475772339 7.208300928551968 5.727751012402527 5.128419647369923 4.034545875505501 5.158840051017421 3.451935537714313 2.334561505200443 1.63410294359477 2.408916885104486 2.440701969710475
10	4.863656768628067 3.052402141659489 2.524904307424356 2.189858459619171 1.970402694480595 1.992782269067965 1.879324808825177 1.768722970698327 1.693091693873166 1.668113638991945 1.607477908464841 1.552463167595273 1.592657618864806 1.586604057875755 1.517666530609475 1.518506427353914 1.463617155126557 1.446148860071708 1.453585416769776 1.40298874644617 1.482183939680517 1.294347517442374 1.421101419087926 1.358081346507942 1.382010420159687 1.392760217920346 1.465548022022499 1.642946690716381 1.846965511316962 1.71175359878546 1.914999024091429 2.331548537827356 2.434342386039954 2.187659869456891 2.970539358340936 2.748527113348755 2.374536250763216 2.921457624262716 1.529324066492941 1.609505100811308 2.098450450175543 1.544064588421008 1.392197569602373 1.472006076541491 1.423217472665031 1.734272975061801 0.8673743402212931 1.729664385865266
