1	-1.19702488566379 -1.194251901109481 -1.15501138905115 -1.155170016643692 -1.201330661757792 -1.197396023269696 -1.228876260621431 -1.110082919737896 -1.012100817438224 -1.092858361444822 -1.323541833223135 -1.278769505869405 0.4060039930668306 0.5568305039435961 0.1568207163608764 0.4111432201933723 -1.672650015503262 0.432600156028842 -1.318465078968712 -1.326472916831934
2	-1.192585566062536 -1.200622124188177 -1.179914548646244 -1.160200171114638 -1.191517373551735 -1.18264617992046 -1.132029310063462 -1.096447076878227 -1.080552558476672 -1.088703216914982 -1.167824072952971 -1.139589954131484 0.03359268230938478 0.207594439161906 0.06021123646806426 0.2317622487429122 -0.5579559555295953 0.2118252249379396 -1.145136041725315 -1.159751827139376
3	-1.223644938062855 -1.223704791472696 -1.234565551594991 -1.200297145222137 -1.227519057582804 -1.206963346349896 -1.15362235207663 -1.157408794308477 -1.189310703533961 -1.156361480529474 -1.148273734410616 -1.13705609234525 0.01255821776780841 0.1841467262395218 0.2088272567357249 0.3331081511331982 0.2049100493496375 0.284464229308984 -1.127660945432242 -1.138153210074139
4	-1.205117111731101 -1.218411145469856 -1.214210348636825 -1.179765784913551 -1.20162734925924 -1.187676838240286 -1.086332428602643 -1.107739624075243 -1.149764637586749 -1.106838434998958 -1.07961093020198 -1.064108372366173 -0.1958289572813201 -0.006730371745585653 0.02761178436028434 0.1422089678471555 0.245285287828141 0.09204169145786679 -1.046400137574666 -1.064439700816178
5	-1.238140219315371 -1.268051265625723 -1.242722016729439 -1.208199104862687 -1.225530324777306 -1.219824694062786 -1.059516491776429 -1.097133246819107 -1.146827789325035 -1.095538286073959 -1.055930644107807 -1.032751306012721 -0.4389615738101775 -0.220640764696537 -0.1946677582212166 -0.07979165510577582 0.20985232409294 -0.1305941993075676 -1.006587997135842 -1.034553940452192
6	-1.184326161355334 -1.211936164172942 -1.19268162190337 -1.157280116256472 -1.172892770254452 -1.165688596924542 -1.010730218916209 -1.053983683100129 -1.109919888888178 -1.053620925425542 -1.000188595705304 -0.9808736841873548 -0.429457030565137 -0.2212231476403806 -0.1665359979190696 -0.06556780583585096 0.3325975331334586 -0.118962968269092 -0.9530731840420408 -0.9792848436387568
7	-1.136766711924365 -1.153170473122413 -1.155495594563994 -1.116078614504724 -1.131552169100411 -1.116717558788294 -0.992191929824484 -1.041347345491665 -1.109531848301568 -1.043777703359581 -0.9654607659879452 -0.956504473085943 -0.3155087373345817 -0.1287133250465521 -0.008779973875807586 0.07076015066023074 0.6177450686586037 0.009032839208970828 -0.9278935338281927 -0.9472814138590715
8	-1.11618600970997 -1.127733534527777 -1.136761759013907 -1.097278041083853 -1.113614233382184 -1.096347214257952 -0.9886639320026808 -1.03444996413345 -1.101606272764517 -1.037283270654756 -0.9598889463917416 -0.9536862551858786 -0.2486954796753374 -0.07182178118294016 0.0553171934238257 0.1321186391425197 0.648265147972397 0.07020236576693056 -0.9270743155957135 -0.9434750229206186
9	-1.062071023523328 -1.077409835992519 -1.084440041005716 -1.044532705590678 -1.057288143214262 -1.041825333791729 -0.9187099854822879 -0.9755557697338342 -1.050926970509058 -0.9793118421377821 -0.8845876270622385 -0.8794071653775738 -0.3270494264422079 -0.1513396109927173 -0.0005192333880836083 0.06174848221785919 0.7483713542583544 -0.002221610825776399 -0.8483442816548536 -0.8665215247564887
10	-1.016352369060292 -1.03858307970826 -1.044098337928059 -1.000905576699949 -1.007750711619618 -0.9941380336091931 -0.8384112715461148 -0.9192064621231916 -1.014821505400889 -0.9250968951088668 -0.7912470347679456 -0.7885217664773848 -0.4797416436096654 -0.2983730122440074 -0.09034380674567664 -0.05321553084980212 0.9970127109767069 -0.1251400442913113 -0.7475038206403901 -0.7693793317507487
11	-0.9417608182973113 -0.9735650255861618 -0.9656348434242553 -0.9252944986919601 -0.9275972718123682 -0.9204537359170269 -0.7354231527145823 -0.8242962925327627 -0.9208481353593448 -0.8297340723827324 -0.6912939190661485 -0.6847164728815289 -0.617975213668355 -0.4329963718214286 -0.2351474449583865 -0.206290513808883 0.9455946209104289 -0.2742958583839072 -0.6399307311334813 -0.6667200270641694
12	-0.923735557493303 -0.9461349607750441 -0.9520931480840291 -0.9105622468195573 -0.9147738700837308 -0.902317268512337 -0.7479741029057907 -0.8319810166605075 -0.9288129949030699 -0.8383974687871506 -0.6984551288633052 -0.6974769500209217 -0.4930261281133242 -0.3240314889530728 -0.1061257413073372 -0.08211341194241202 1.033362432483232 -0.1522723674006511 -0.6557639226663974 -0.6769628591762945
