1	-0.5251534757792 -0.6776950107019221 -0.6226134084082056 -0.5478561471247905 -0.7247299307355455 -0.9066087247691849 0.319625379619992 1.094028139471236 -0.6777298955947727 -0.6256992423742134
2	-0.8571790609968223 -0.888485783177887 -0.8829611113973093 -0.8809481446801261 -0.872489858507533 0.2702505222858414 0.1132132018091201 -0.1258467678911547 -0.891380942342071 -0.8835553429674383
3	-0.8703613750899138 -0.9378511304847408 -0.9183557158006823 -0.8942839813821988 -0.9296883454314815 0.0388886723686322 -0.238365425963739 -0.1840136396993219 -0.9392669952118742 -0.918868956208195
4	-0.865880064408433 -0.9505220676953865 -0.924320196724295 -0.8895506940248554 -0.9462871892430434 -0.07621875119748885 -0.4146972398877976 -0.2144762762455884 -0.9511727049699763 -0.9247780966974447
5	-0.8817462209117055 -0.9443098537936847 -0.9268005825485849 -0.9050764607166772 -0.9319213016792159 0.09796188931029601 -0.3491833241428918 -0.3225855990311939 -0.9455762480953647 -0.9270134205846934
6	-0.8794368207118045 -0.9343202885751024 -0.9198084229476837 -0.9042066538246052 -0.9246083702191535 0.1159242300153591 -0.01794899520368932 -0.08475859737106055 -0.9365485985426028 -0.9205382316750561
7	-0.8886006597608282 -0.9501825960606334 -0.933151115269431 -0.9143407007837139 -0.9439894904254706 0.06059293935473034 0.05279534988914061 0.02044326456679327 -0.9525038935765553 -0.934129342266365
8	-0.8936504386566454 -0.9628185512633887 -0.9428550638338142 -0.9184199206322761 -0.9550232186065497 0.03633311621679623 -0.2072726495248799 -0.1568839933647926 -0.9643689154076451 -0.9434528931425926
9	-0.8916877807368992 -0.9591580336104855 -0.9398492298694485 -0.9169063050558528 -0.9525049240965233 0.03580485825164909 -0.1046407474829851 -0.07767939103119416 -0.960989726231638 -0.9406188830760988
10	-0.9091352775405982 -0.9686466144108563 -0.9525982145133796 -0.9364126458748445 -0.9642704317117884 0.06518503730812732 0.2506092762411587 0.1689447476141707 -0.9715786210918478 -0.9539234744001288
11	-0.9039265734073241 -0.9672281274754354 -0.9496586865023451 -0.930702128251316 -0.9628539762641626 0.04447348968435728 0.1518665589145747 0.1118353733729857 -0.9698249409855841 -0.950856014417594
