1	1.01656 0.968079 0.497777 0.226262 0.260202 0.20202 0.0323232 -0.108283 -0.43313 -0.583433 -0.6901 -0.6901 -0.704645 -0.699797 -0.588282 -0.437979 -0.43313 -0.428282 -0.389494 -0.40404 -0.326464 -0.365252 -0.185858 -0.714342 -1.34949 -1.29616 -1.09252 -0.821009 -0.884039 -0.869493 -1.33495 -1.39798 -1.19919 -1.0101 -1.36889 -1.09737 -0.762827 -0.292525 0.250505 1.32202 2.08808 2.78141 3.32444 3.68807 3.86747 4.19716 4.3911 4.73534
2	3.7908 2.36507 1.42944 1.4183 1.67449 1.42944 1.34033 1.17325 1.37375 0.460391 0.293314 -0.720289 -1.58909 -1.52226 -2.10146 -0.998752 0.582915 -0.56435 0.0705438 -0.319304 0.0928208 -1.9678 -0.0519796 -2.22399 -4.46282 -2.05691 -0.887367 0.415837 -0.508658 -1.66706 1.74132 1.94181 -1.18811 0.315591 1.13984 -2.79205 -0.775982 -2.37992 -1.22152 -0.842813 -0.252473 0.371283 3.14477 1.16212 3.11135 1.71904 2.06433 2.4319
3	1.6329 0.654482 -0.773479 1.66595 1.79156 1.34863 1.58662 -0.694148 -1.55357 -2.65759 -2.18822 -2.12211 -0.383434 -0.257826 -0.859421 -1.54696 -0.879254 2.56504 1.59984 -1.06436 -1.21641 -0.85281 -1.3288 -0.271048 -0.991639 1.17013 0.132219 -1.54035 0.0661093 -0.0528874 -2.77659 -3.21952 -0.92553 -1.80478 -2.38655 -2.82287 -0.198328 -0.548707 -0.978418 -0.475987 0.621427 0.938752 -1.6329 -2.10228 -2.80303 -1.14369 -1.01808 -1.43457
4	-0.467512 -0.832522 -0.642517 0.122503 -0.427511 -0.452512 -0.347509 -0.642517 -0.107503 -0.947525 -1.03753 -0.237506 -0.407511 -0.327509 -0.427511 -0.622516 -0.577515 -0.502513 -0.102503 -0.0925024 -0.207505 -0.307508 -0.317508 -0.502513 -0.537514 -0.702518 -0.857522 -0.75252 -0.597516 -0.0175005 -0.0575015 -0.037501 0.0225006 0.267507 0.587515 0.78252 1.00753 1.91255 2.35256 2.17756 2.21756 2.18756 2.71257 2.52757 2.64257 2.90258 4.0226 2.72257
5	0.518451 -1.07678 -0.372221 0.425396 0.385515 -0.372221 -0.584919 -0.917259 0.186111 0.438689 0.252579 -0.398808 -1.90099 -0.584919 0.252579 -0.651387 0.571625 1.39583 1.22301 1.02361 0.598212 0.305753 0.199404 0.159523 -0.14623 0.970434 0.983727 0.930553 1.0369 1.10337 0.970434 1.38254 1.8744 1.99404 1.30277 -0.903966 -1.96745 -2.0738 -1.58194 -0.81091 -0.691268 -0.412102 -0.6248 -2.84483 -5.68967 -6.67339 -6.92597 -6.8728
6	2.07015 2.1169 1.6628 0.621045 0.934907 1.00169 0.387318 0.247082 0.227049 0.106846 -0.66779 -0.601011 -0.393996 -0.360607 -0.774637 -0.82806 -0.747925 -0.440742 -0.400674 -0.267116 -0.427386 -0.407352 -0.601011 -0.480809 -0.567622 -0.661113 -0.714536 -0.948262 -1.10185 -1.63609 -2.07683 -2.48418 -2.02341 -1.59602 -1.47582 -1.25545 -0.801349 -0.0066779 0.594334 1.54927 1.73626 2.41072 3.07851 3.33895 3.78637 3.72627 3.53929 3.51258
7	4.21107 2.93145 2.16846 1.18291 0.396071 0.51529 1.31008 1.66774 0.785519 0.507342 0.761675 0.6663 0.85705 1.09549 1.52467 -0.287449 -0.661001 -0.271554 -0.223866 -1.01866 -1.43195 -1.57501 -1.58296 -1.44784 -1.21736 -1.18556 -1.01866 -0.764324 -0.645106 -2.34596 -2.33801 -1.55912 -1.06634 -0.525887 -1.85319 -3.28381 -2.28238 -1.6227 -0.756376 0.872946 1.48493 0.713987 0.443758 1.69953 1.49288 1.50083 1.4452 1.50083
8	0.142432 -0.0340598 -0.00154817 0.0681197 0.0309635 -0.173396 -0.377755 -0.261642 -0.247708 -0.303442 -0.438134 0.272479 -0.4242 -0.368466 -0.637848 -0.493868 -0.131595 -0.108372 -0.32202 -0.71216 -0.47529 -0.233774 -0.433489 -0.150173 -0.558891 -1.02334 -1.00012 -0.856141 -1.09301 -1.20912 -0.405622 0.30499 0.500061 0.722998 1.18281 1.36859 1.4011 1.52186 1.64261 1.7355 2.09313 2.1628 2.27891 2.30214 2.3718 2.34858 2.61332 2.73408
9	0.393907 0.557709 0.487508 0.510909 0.241804 -0.202803 -0.0741013 0.60451 1.04912 0.686412 0.370506 0.943816 0.639611 0.967216 1.02572 0.861915 0.522609 0.932116 1.42352 1.45862 1.24802 0.195003 0.0780013 0.873615 0.159903 1.07252 0.218404 -0.904815 -1.63023 -1.16222 -2.76515 -2.02803 -3.67776 -4.19257 -3.90007 -3.25655 -3.04595 -2.70665 -1.64193 -0.284705 -1.02182 -2.15674 -2.73005 -2.13334 -2.07484 -2.94065 -3.70116 -4.25107
10	2.26575 2.11513 1.92079 1.67785 1.62927 1.44464 1.12397 0.953915 0.813014 0.618668 0.132803 -0.134423 -0.372497 -0.547408 -0.440518 -0.644581 -0.644581 -0.630005 -0.581419 -0.673733 -0.843786 -1.11101 -1.13045 -1.09158 -1.14502 -1.18875 -1.05271 -1.02356 -0.897231 -0.620288 -0.362779 -0.032391 -0.0955535 0.0696407 0.064782 0.273704 0.701265 0.905329 1.23086 1.31831 1.12883 1.1677 1.06566 1.08996 1.4252 1.69243 1.94994 2.06655
11	0.201119 0.0439947 -0.0565646 -0.125699 -0.106844 -0.100559 -0.289108 -0.370813 -0.351958 -0.326818 -0.270253 -0.201119 -0.169694 -0.0942744 -0.0628496 -0.0942744 -0.320533 -0.653636 -0.634781 -0.72277 -0.540506 -0.590786 -1.08101 -0.923889 -1.23814 -1.56495 -1.25071 -1.06844 -0.999308 -0.917604 -0.861039 -0.804475 -0.628496 -0.169694 -0.0125699 -0.465087 0.389667 0.477657 0.603356 1.06844 2.13689 3.04192 2.82823 1.84149 2.41342 3.05449 3.16133 3.04192
12	1.85294 1.88879 1.38693 0.91068 1.02846 1.07967 0.772413 0.705841 0.531728 0.582937 0.398582 0.198864 -0.29787 -0.477104 -0.707548 -0.420773 -0.0623052 -0.425894 0.00426748 -0.169846 -0.133999 0.0145094 -0.098152 -0.364443 -1.01993 -0.804846 -0.917508 -1.50642 -1.79832 -1.6959 -0.425894 -1.17356 -0.093031 0.132292 -0.108394 -0.881661 1.60713 0.454913 0.188623 0.352494 1.26403 1.60713 1.8683 2.47258 3.91669 3.70161 3.22024 3.36875
13	0.945377 0.448645 0.115507 -0.193834 -0.205732 -0.214656 -0.5121 -0.59241 -0.336608 -0.399071 -0.253323 -0.357429 -0.407994 -0.473432 -0.699489 -0.666771 -0.764927 -0.443688 -0.782774 -0.916624 -0.717336 -0.407994 -0.199783 0.0887375 -0.00644462 -0.0480868 -0.00347018 0.0173509 -0.0689079 -0.184911 -0.283068 -0.184911 -0.0599846 -0.0242913 0.243408 0.520032 0.972147 1.26067 1.58488 1.77822 2.1649 2.28388 2.6765 2.41475 2.41475 2.26305 1.93289 1.76632
14	2.55403 2.84134 2.21327 1.65536 1.69545 1.66204 1.51171 1.0774 0.973839 0.709917 0.666487 0.592989 0.12862 0.115257 0.16871 0.0150335 -0.659805 -0.46604 -0.606353 -0.479403 -0.506129 -0.572945 -0.8068 -1.11081 -0.987202 -0.776733 -1.08074 -1.16092 -1.37807 -0.729962 -0.536196 -0.626397 -1.09745 -0.950454 -0.0484414 0.141983 0.192095 0.683191 1.21772 1.15758 0.719939 0.990543 1.05068 1.85915 1.71883 1.94601 1.60525 1.16092
15	-0.634397 -0.186843 1.75111 -1.08195 0.599635 1.18624 1.44695 0.482316 1.59468 1.06023 1.55558 -1.29487 -1.90754 -1.32963 -1.18624 -0.560529 0.825585 0.890763 1.22534 0.682194 0.391067 -1.5773 -1.8076 -0.182498 -1.88581 -1.34266 -2.50283 -2.80699 -0.716955 -0.199878 0.321544 0.656123 0.134701 -2.08569 -2.74181 -1.87712 -2.25081 -1.23838 -0.139046 1.34701 0.808204 0.447554 1.38611 2.7983 1.97706 2.077 1.22969 1.89016
16	2.59064 1.75218 -0.240073 -0.548227 -0.770385 -1.20753 -1.66618 -1.59452 -1.47986 0.490897 -0.526728 -0.985376 0.197075 0.956711 0.139744 -0.154077 -0.777551 -0.569727 -0.462231 -0.734553 -0.698721 -0.56256 -0.627058 -0.634224 -0.111079 0.211408 0.462231 0.512396 -0.0179159 -0.383401 -0.548227 -1.12154 -0.591226 -0.870714 -0.490897 -0.0895797 -0.684389 0.655723 1.78801 1.90984 2.0675 1.47269 0.347569 0.297404 1.44402 1.83101 1.29353 0.0895797
17	1.05491 1.33423 0.62475 0.334255 0.440397 0.356601 0.0884519 0.21694 0.401292 0.172248 -0.051209 0.228113 0.306323 0.211353 -0.0121039 -0.380809 -0.587507 -1.04001 -1.24112 -1.26905 -1.0009 -0.704822 -0.961798 -0.956211 -0.274666 -0.514883 -1.07353 -1.42547 -0.995316 -0.83331 -1.24112 -1.17967 -1.05677 -1.19643 -1.01208 -0.788618 0.390119 0.6862 0.769997 0.786756 1.83701 2.95988 2.93753 3.26155 3.10513 3.45707 3.65818 2.08281
