1	0.9635825325561876 0.6629909793258754 0.2685751585730787 0.175540289003632 0.2023469820929935 0.05599245216072258 -0.2641629677271795 -0.1231353100564594 -0.1495816226827363 -0.1926708665532136 -0.2973630288972035 -0.2242226701722484 -0.1281174238707557 -0.2127253578793293 -0.5071514529579659 -0.3287061057008739 -0.3014582878750597 -0.4229235010564111 -0.5040023708243003 -0.5620693215449246 -0.5303028656687166 -0.538471483404797 -0.8019444675525661 -0.7356602965934933 -0.8823130145557011 -0.9792894012568043 -1.224374216525623 -1.23180814844024 -1.20976328216135 -1.310630564207149 -1.611742022716766 -1.348346385084625 -1.329885005812145 -1.148718224882171 -1.15625030696977 -0.639784295950526 -0.1701337743159851 0.2094677483190464 0.5998701013894199 1.297737528622165 1.96469170064988 2.520793872793791 2.817907895966963 3.740548036746938 4.12502958912748 4.393059804691129 4.301018569187695 4.423798943100212
2	2.510708481963663 2.155120145279441 1.769590554122741 1.401343613522711 1.107107808488985 0.8551860260909044 0.6322681741955878 0.507675329461777 0.3863141925642206 0.2706705496975824 0.1626344874188735 0.08126736548927488 0.02712920769845096 -0.1152500268616286 -0.2518438511654706 -0.3043276793235535 -0.376620290294399 -0.520105633488224 -0.5484345994376346 -0.6751494858567857 -0.6838153937967457 -0.8198906045436708 -0.9336184549143667 -0.9101140274208916 -0.9872928113252432 -1.0211142416035 -1.09281220330827 -1.154981390172302 -1.14512310788125 -1.215646422016396 -1.358188136496834 -1.230017412100812 -1.229829017000759 -0.9829814571058747 -0.8551351906989776 -0.4926589208204262 -0.1648960469220959 0.1309467750590098 0.3580627842692001 0.6718352885049773 1.067105042817224 1.260629848734747 1.321421510214481 1.569570110534071 1.702613502621001 1.734126058839027 1.577009956122672 1.426862394422875
3	1.393895176870059 1.21829304456107 1.002953058196385 0.8733870259911356 0.8095538441730661 0.7551027546589414 0.7127609212079022 0.7141124212802177 0.6328364135455622 0.5785458968061102 0.4951242051695081 0.4534107416128034 0.4169477223628679 0.3116437982969271 0.2172537739715942 0.1688087876740447 0.1078322512945382 -0.03227326557071011 -0.04438235836479881 -0.153414553717778 -0.1522384950882392 -0.3013966057154933 -0.4233910800856405 -0.3329091031823062 -0.3847365448266642 -0.378790909247616 -0.4454009642786799 -0.4960038505365073 -0.5128992416819587 -0.6434811047768675 -0.9240692692801473 -0.8600363325847287 -1.062966741482956 -1.013515454053553 -1.238100015649014 -1.06966657336035 -1.010194211229053 -0.9255474862175067 -1.074640644767272 -0.9403514561846542 -0.6745599851243633 -0.7539492403783961 -0.9920075873141483 -0.8489945227735398 -0.7576845619140544 -0.7248566542005223 -0.9572944246806594 -1.047842610649122
4	-0.1160014457817971 -0.1709536846282146 -0.2175714230707468 -0.2816214712198463 -0.3555205919499664 -0.4644304901135526 -0.6192400010486624 -0.6514044621566923 -0.6229508827408649 -0.6297064475002865 -0.6122319648631397 -0.584839625320659 -0.5429630276662257 -0.5114498088947742 -0.5467129730748438 -0.4668141747726618 -0.4225662245602174 -0.3578450489309497 -0.3798989602840733 -0.3280068483789343 -0.3257166300061208 -0.2151989907657554 -0.1949773839572567 -0.2779315714135905 -0.2944637381241179 -0.3464568208139081 -0.3678116379684239 -0.340337594253889 -0.3078138491835797 -0.20954822836647 -0.01608750398305655 0.0443560011809224 0.3041908264444286 0.4259293960193659 0.7759346495120811 0.9015289966152891 1.132355128715105 1.28994499292075 1.706235458511348 1.896637491309938 1.958306404469991 2.313093363773937 2.724935697649059 2.928678311938312 2.990003368803052 3.037903154758859 3.218967487240416 3.283290489475587
5	-0.3346251687647526 -0.07186789966271254 0.3031842430605665 0.2882604351438751 0.1432006732844088 0.2413441390186748 0.5785179333620779 0.3465735503864266 0.3364191518039842 0.3500564815749357 0.4476736439869138 0.3214283565307717 0.1751953563229305 0.2337261356933744 0.569888839108501 0.3162348036885119 0.2538111495981864 0.360600154767162 0.4565475061125023 0.4861266033069724 0.4411496685558299 0.4019995268980258 0.7063021894131293 0.6273674251925319 0.7914177596346723 0.9060429424801927 1.201530745780268 1.188369697672785 1.16324714191853 1.270275483249802 1.614430132134304 1.316094888604727 1.293493532446732 1.147768084223945 1.207347631749781 0.6637289043983153 0.1694168106288223 -0.2188035179591632 -0.6451720643113669 -1.445020080428253 -2.174725204183833 -2.831839673230132 -3.197384779198961 -4.317098014827467 -4.772835038263376 -5.113265549408782 -5.049514535936674 -5.266367247294001
6	2.092301886516303 1.683922519315031 1.189925494026836 0.9266525299095062 0.7922964721170844 0.5587553491845213 0.2193890549087024 0.25699717657016 0.1681364356505675 0.07396693194062733 -0.06339895631977453 -0.05768435263598003 -0.0218073982533174 -0.1648724588423532 -0.4505594556909215 -0.3577885857744834 -0.3822587259834157 -0.5562246222768694 -0.6285116758445837 -0.745775392872016 -0.7276453936490186 -0.8198291293026847 -1.0762055887302 -1.006398405676286 -1.153825751015592 -1.237583592219935 -1.453161377674105 -1.495574592752887 -1.477500193478006 -1.59989971445328 -1.917550232428339 -1.661703463348344 -1.675230932531915 -1.420468045141889 -1.392214509373448 -0.830247507187368 -0.3323898560870255 0.09001073900159447 0.455581890291968 1.116119927113114 1.812316302994859 2.286485806410916 2.493270119241907 3.280026235792513 3.626612297954878 3.834062859038903 3.661912331120555 3.662150205806767
7	3.117592655425835 2.642350093576828 2.078628027321397 1.713384028056425 1.495976626178839 1.252547433321684 0.9783028873601615 0.9589382293997258 0.8010419197029561 0.6678946022627373 0.4886001275073031 0.4264994872126842 0.3924953523704431 0.1790087107208622 -0.09151820630303702 -0.108751084859089 -0.2008907963625842 -0.4626470194404732 -0.5180094119872084 -0.717621564441846 -0.710419624252854 -0.9387644675977048 -1.214064054166564 -1.087236881422682 -1.231879782388491 -1.27743266465181 -1.467410068820174 -1.555275358860644 -1.559422209439118 -1.764383283018732 -2.228490269492293 -2.003795749129831 -2.202354486720304 -1.954947763991387 -2.113894442992781 -1.568793204067648 -1.168742699392811 -0.791427239815034 -0.6843394791898075 -0.1389437448963646 0.5736375686905691 0.7888832913957081 0.6828491091619335 1.277239184164487 1.573280474154086 1.714802471361157 1.362288043142056 1.229847255075676
8	0.4677361170246494 0.3733624440542793 0.3028513097739824 0.1385680938405739 -0.04330884900182536 -0.1995310959623857 -0.3455085382565978 -0.4586305176951971 -0.4634378682047225 -0.4976556425163946 -0.4878961840157753 -0.507329563032524 -0.5090555516999915 -0.5020460508853501 -0.5041111748180945 -0.4889156051949561 -0.4756541769978605 -0.4251856783406941 -0.4351910324193591 -0.4093457280826296 -0.4185660368791592 -0.349722220601296 -0.2959632241405736 -0.3905195180070152 -0.3935829038331933 -0.4316179801385328 -0.4110099619152181 -0.4019960999141491 -0.3715296902769013 -0.267859236993556 -0.03716075229766696 -0.003865395400114578 0.2558267428633996 0.4139474247958825 0.8156335081914959 0.9256525888043162 1.143846283084325 1.301129143026439 1.695764588379185 1.806082166016879 1.821192807994337 2.096844651321762 2.45613681308753 2.496842346480001 2.499794963033596 2.486425295197624 2.642796818684089 2.62427638915346
9	0.7453458487825759 0.5974531004393815 0.3203208810996471 0.4600440076628612 0.7524064259197623 0.8941580600039409 0.9136699787733098 1.203669527915904 1.140172172150326 1.135522703156284 0.9944641028686706 1.04766604031562 1.088306328634037 0.9503048801311801 0.6997299815288938 0.7559955392112433 0.7093375847090633 0.448026776647991 0.4048841920310629 0.2486099615280889 0.2860858905614258 0.05986858239715594 -0.2868982670643536 -0.01765769533451746 -0.1421539226069297 -0.1344006747411399 -0.3739624041515242 -0.428646817510456 -0.4790434057468541 -0.8136353679242578 -1.601076509326386 -1.445659733245849 -2.024618439387603 -2.150528863509139 -3.009207648560494 -2.753787177060524 -2.791277135444797 -2.763566416567218 -3.301476391356476 -2.95218720030139 -2.367776667814571 -2.543393199394788 -3.139848215436564 -2.517472506642829 -2.212239929149352 -1.99325702216842 -2.4829528916364 -2.432138200404428
10	2.58882980522574 2.280351964344002 1.997535029272704 1.535427958311574 1.087675243659294 0.7822345317374663 0.5951966745155092 0.3230004566291707 0.1997400682893027 0.07194149417003651 0.008529686938811705 -0.1262817088698132 -0.2308654730694349 -0.3427695778794462 -0.3571020835262458 -0.487302599928704 -0.57047096543307 -0.6392592942317218 -0.6389966728081289 -0.73423945369327 -0.7641673287240167 -0.8656819918622948 -0.8343035735486445 -0.8986584887362177 -0.9170532937762506 -0.9330415935947239 -0.8851041106766127 -0.9438642287459302 -0.9241585983647573 -0.889419234234903 -0.7609827105721917 -0.721892713067542 -0.567135593068979 -0.2821275921885701 0.1131456424850455 0.3392122332800249 0.6169551978734276 0.8632184582711058 1.17853092621649 1.26780173052879 1.400520842747071 1.527880864626161 1.682568144529368 1.552631042800996 1.522031602088584 1.424175557427479 1.393418365138648 1.161170095368843
