1	-0.9516699220403713 -0.8448991846674505 -0.7097488359686176 -0.4483210957954374 -0.9487439475955838 -0.764053685470659 -0.8273019795102631 -0.376885012065036 -1.069378774255803 -0.3058436547160527
2	-0.9508115111107103 -0.8418399748303258 -0.7079367790150978 -0.4471851146205694 -0.9485968992430794 -0.7614633220698012 -0.8247793579462035 -0.3763638325236278 -1.068352660219505 -0.3043603682372212
3	-0.9508485707919221 -0.8418020879945348 -0.707905003557038 -0.447071434122932 -0.9486499233413045 -0.7614092704131754 -0.8247620281331957 -0.3763012643366436 -1.068417351044024 -0.3041887882766148
4	-0.9525175187825528 -0.8439203487967289 -0.709391651296563 -0.4476746119962629 -0.9500968744914633 -0.7631864517017253 -0.8267235894434596 -0.3767578582547084 -1.070398387582782 -0.3045400721990656
5	-0.952112160112215 -0.8410059497738871 -0.7070774387553346 -0.4433672035982489 -0.9503056542358836 -0.7599797896488314 -0.8245537787614047 -0.3742162573435428 -1.070633121358291 -0.2986179311814132
6	-0.9534202902153892 -0.8433134505058661 -0.7087884054634602 -0.4450506780858994 -0.9512934060964813 -0.7621416831640215 -0.8265436847717686 -0.3752881089851602 -1.07197245683932 -0.3005866737753943
7	-0.9547023613312192 -0.8461030581477307 -0.7105007622138994 -0.4457786505363894 -0.9520407118611577 -0.7644444135793792 -0.8289544772237084 -0.3756608915097331 -1.073549658460035 -0.3013252743514588
8	-0.9565308999820034 -0.8426500276451313 -0.7095487987539163 -0.4463004136295173 -0.9554976137486707 -0.7620075766408265 -0.8265572705842666 -0.3768272999111517 -1.075175039970113 -0.300964987621466
9	-0.9549034647097723 -0.8443583538726273 -0.7102048553230611 -0.4477552943534753 -0.9529669276299448 -0.7635933644167686 -0.8275226754407023 -0.377234851185255 -1.07315116198683 -0.3037391360914243
10	-0.9557013958112387 -0.8468813391199812 -0.7105580920116155 -0.4432679200088903 -0.9529138475325342 -0.7644722635085478 -0.8298799064450127 -0.3741034264010725 -1.075346204768687 -0.2976197790196276
11	-0.9556059661105728 -0.8463769749498337 -0.7093872764106632 -0.4389622832279078 -0.9527292024864265 -0.7630899604088508 -0.8296698907776919 -0.3713091397414285 -1.076175690533443 -0.2918091974441114
12	-0.9594185427991481 -0.8602744528389999 -0.7156199596574141 -0.4349083921579865 -0.9527985551130971 -0.7727156584982625 -0.8415539133543052 -0.3675786824627152 -1.082854170593176 -0.2861698557970008
13	-0.962571193040472 -0.8724225833768303 -0.720538214809942 -0.4291071395576115 -0.9525124127492277 -0.780601072091756 -0.8520155277680619 -0.3627916893507954 -1.089004775967808 -0.278271016458173
14	-0.9634035871989068 -0.8792062300863097 -0.722331957776568 -0.422519900716655 -0.9510048302461239 -0.7842043762403574 -0.8578396008212246 -0.3577222343951736 -1.092147354472012 -0.2697208872781355
15	-0.9639596537776742 -0.8828461483601915 -0.7230744512808476 -0.417831441549563 -0.9502726459138802 -0.7858725092429626 -0.8610408329702095 -0.3542627102636506 -1.094223720296109 -0.263535059829421
16	-0.9639863868956506 -0.8871587067936691 -0.7243912505826344 -0.4150573027865056 -0.9487557315908831 -0.7884792610285931 -0.8645793769805392 -0.3518713615114847 -1.095322483517408 -0.2602041007500468
17	-0.966247979917282 -0.8888022060801829 -0.7242769684605208 -0.4084798374048397 -0.9507234129684959 -0.7882455634071455 -0.8666237737767302 -0.3477713803851724 -1.099582923064724 -0.2506003454833099
18	-0.9652000741049567 -0.8894352915432758 -0.7235478095791347 -0.4050111719097687 -0.9490120942413461 -0.787891721450941 -0.867087997087612 -0.3451879725987473 -1.099244998750826 -0.2464071111482007
19	-0.9651708477430723 -0.883199787684642 -0.7199029890349555 -0.4008981744968556 -0.9507862132304191 -0.7822362929194389 -0.862362143134382 -0.3432864931359567 -1.099533148126727 -0.2402759417198709
20	-0.9652041905222258 -0.8813831361750358 -0.7174885183881546 -0.3933471359859775 -0.9510187840334144 -0.7791144297159633 -0.8612972885631551 -0.3385488372469436 -1.101124145397385 -0.2299154711943186
21	-0.963689066843034 -0.8797777321387789 -0.7146449366516231 -0.3851832572347532 -0.9491977136754655 -0.7759717873855237 -0.8601313846154702 -0.333066715501309 -1.101106866738119 -0.2193676794265798
22	-0.964433668632153 -0.8758574602755022 -0.7113415435451123 -0.3769839662544746 -0.9509772523917126 -0.7711312295013142 -0.8575751248490829 -0.3283208908606404 -1.103449616074492 -0.2076469768715117
23	-0.9617457150096694 -0.8710190017091808 -0.7072122214403948 -0.3708647970214325 -0.9488380407365616 -0.7659981646647754 -0.8535370362797906 -0.3243758976573177 -1.101298826981254 -0.2000091154008917
24	-0.9584501756617319 -0.8639782900444706 -0.701565977324332 -0.3629255110749786 -0.9465528552869571 -0.7587678458450612 -0.8477329169927607 -0.319396368844145 -1.098651445504595 -0.1899491142977456
25	-0.9572915247435172 -0.8586950448705609 -0.6966628160519682 -0.3523164344676236 -0.9462483708185104 -0.7522941254313098 -0.8438521859626207 -0.3128553807959893 -1.099235761466407 -0.1756099756370886
26	-0.9604400483174135 -0.854573270124602 -0.6938411086253791 -0.3439484149502804 -0.951115507205227 -0.7473210125966179 -0.8416061055117858 -0.3085095400017607 -1.10434521071429 -0.1626834136368565
27	-0.9639761973372883 -0.8547800364327651 -0.693447252235508 -0.3375265936588442 -0.9551660186258393 -0.7460716299373299 -0.8427545358119658 -0.3049579482468824 -1.109883341879483 -0.1526420038478878
