1	-1.293447760366736 -1.166599412655705 -1.179188200194919 -0.8543794564094775 -1.245390200979829 -1.19472762245376 -1.254137317435197 -0.9035298665065533 -1.316971822114051 -0.5857584917423877
2	-1.292018969647011 -1.162960676217615 -1.176580584829731 -0.8531650572826817 -1.244208890880917 -1.191589846111232 -1.251012598537654 -0.9031785326167271 -1.315577108350943 -0.5833733229993224
3	-1.29353615279541 -1.159595483329102 -1.175954239049718 -0.8570860286817592 -1.246212890235169 -1.189958117948674 -1.24883086757819 -0.9089833120889018 -1.317060692755452 -0.5838371720948273
4	-1.295552417922305 -1.162239323218555 -1.17805340604741 -0.8574090966217881 -1.24803765479476 -1.192258579181119 -1.251444278798368 -0.9090677232379271 -1.31915058553366 -0.5843161885665059
5	-1.296587914279451 -1.156714066506447 -1.174947545037509 -0.8547592229848239 -1.249455595461451 -1.187747940377904 -1.247779331253376 -0.9089947402126165 -1.320506212989863 -0.5775570097073444
6	-1.298850340057681 -1.158265400425953 -1.177132043504928 -0.8583993532885621 -1.251770822036998 -1.189858984617862 -1.249515976913163 -0.9128980654463148 -1.322706480531968 -0.5803034548778153
7	-1.302090753865426 -1.158682531853424 -1.179108930278133 -0.862567848085532 -1.255199497887179 -1.191334353790683 -1.25070364322261 -0.9181532664800185 -1.325948030513748 -0.5821099374436109
8	-1.305241792195564 -1.153007961282911 -1.177842102853101 -0.8669688986807685 -1.259082413663279 -1.188255525631321 -1.247313254424634 -0.9259779418124452 -1.329200470443641 -0.580361044388926
9	-1.304505896817368 -1.153867372441793 -1.178705609275655 -0.8705104445184009 -1.258416498560474 -1.18945344544565 -1.247560957444537 -0.9288729176745939 -1.32820966763852 -0.5847995215651549
10	-1.306822595567948 -1.155393068659355 -1.179296399967062 -0.865216613521113 -1.260397877735358 -1.189930100535469 -1.249681373351897 -0.9239293899397624 -1.330938386620685 -0.5790357361206373
11	-1.307362763809359 -1.155044205639405 -1.178191913422744 -0.8591403858793848 -1.260709744876699 -1.188631886131683 -1.249859536232886 -0.9182395967823949 -1.3318430069963 -0.5726657909512916
12	-1.315860795998026 -1.167846455929989 -1.186953153347697 -0.8550561858354293 -1.268016655882493 -1.198587946830459 -1.262345398905509 -0.9125370447368739 -1.340905410187306 -0.570577860145885
13	-1.323664086023475 -1.178108103215748 -1.193807789801449 -0.8491158350786204 -1.274761445053926 -1.206207962247535 -1.272791770022688 -0.9057064228642648 -1.349371245166687 -0.5656461123009624
14	-1.326377882794402 -1.185219046312372 -1.196689245431874 -0.8392367326371205 -1.276454240812265 -1.21010583925741 -1.279400883814624 -0.8941863079697588 -1.352657288931656 -0.5587714994319418
15	-1.328909434093847 -1.188472973223245 -1.198182335283562 -0.8334464746065953 -1.278479883970138 -1.211820050650746 -1.282900451495097 -0.8881606259558711 -1.355608415401234 -0.5534686532860756
16	-1.329942744242625 -1.193658416208296 -1.20039755911264 -0.8285271885125679 -1.278856301649369 -1.214959147878746 -1.287313104930079 -0.881658265501878 -1.356872178211994 -0.5513182145255191
17	-1.334845584329425 -1.193655764865557 -1.200665919652057 -0.8214977564561544 -1.28351580913048 -1.214293270504321 -1.289212836206069 -0.8766032337559488 -1.362490484442784 -0.5410320080442501
18	-1.334184557155596 -1.194390843876066 -1.199940738018541 -0.8163928135449997 -1.282558156676543 -1.213837272866972 -1.289765094262619 -0.8709835950176168 -1.362036986649035 -0.5371547773545561
19	-1.334743219640493 -1.187746891797008 -1.195705998623345 -0.8116045062809012 -1.283497592038447 -1.208036831428445 -1.285203331487148 -0.869033752366994 -1.363016436221054 -0.528019913544917
20	-1.335686137690409 -1.185404477049044 -1.192951351236875 -0.8015588618231497 -1.284218671814539 -1.204567746954273 -1.284198570941114 -0.8603345761202736 -1.364599842007282 -0.5163382334875094
21	-1.334543649445253 -1.184190052074346 -1.189646451991307 -0.7886921716267987 -1.282604579476664 -1.201175160251859 -1.283475916962503 -0.8475717527264146 -1.364077154104754 -0.5042436917823333
22	-1.335531339252494 -1.180691324073194 -1.185795690936549 -0.7758955151660413 -1.283352069846966 -1.196341885876512 -1.281742799930601 -0.8366068949730732 -1.365875718912952 -0.4891964502258651
23	-1.33188568623264 -1.175549086662245 -1.180388213088185 -0.7673758259368184 -1.279737054148103 -1.190469387025128 -1.277089950660695 -0.8287092455451381 -1.362521337844417 -0.4805930472292979
24	-1.327892426982961 -1.167568168024307 -1.172974583570942 -0.7567302279074762 -1.27592594486637 -1.18203085451408 -1.270300332696828 -0.8196682077412905 -1.358962002925207 -0.4684453686183455
25	-1.328748127886233 -1.158061107219693 -1.166275826866783 -0.7462048144776894 -1.277166430449924 -1.173070916599402 -1.263949488289948 -0.813249533392864 -1.360616995673965 -0.4518560301861496
26	-1.333967812557747 -1.151318261334858 -1.162622937258968 -0.7368499879884619 -1.282636650787477 -1.166949075229603 -1.261030713634873 -0.808634532872616 -1.366828230046766 -0.4348840011968845
27	-1.339981831327909 -1.149181101938134 -1.162114784221846 -0.7299267339332962 -1.288613846040926 -1.164834576251719 -1.261697775311304 -0.8049539966826239 -1.373672112429259 -0.4225288128679484
28	-1.34631671071981 -1.143501699928883 -1.159273867739093 -0.7199909168998597 -1.295095091569077 -1.159546980895982 -1.259960039620272 -0.7997861569403426 -1.381086996139594 -0.4048513362173426
29	-1.347143239608942 -1.132514148350392 -1.152906448711966 -0.7157990942204933 -1.296713200863755 -1.150618825579653 -1.252223514826168 -0.8002269143594488 -1.382406538076593 -0.393343181589127
30	-1.350744097543178 -1.124383508549701 -1.148366631262886 -0.7084533740670486 -1.30075315480731 -1.143614967261485 -1.247656242280761 -0.7975121312974119 -1.386806195779309 -0.3785965983674842
31	-1.354261731855885 -1.115023808369297 -1.143235594856133 -0.7016218680182769 -1.304839167517595 -1.135768946794612 -1.242123899086392 -0.7957544861597323 -1.391113686680235 -0.3636231694673489
32	-1.354623799003923 -1.110948934211615 -1.138840722882511 -0.688594331046008 -1.304993305642527 -1.130381966044357 -1.239767460196933 -0.7845384644819441 -1.392265891033539 -0.348457684061912
33	-1.357748629753313 -1.111363994686453 -1.137278682447415 -0.6731714790649925 -1.307447465024801 -1.128284735428436 -1.241760551625251 -0.7702799149934234 -1.396414088451729 -0.3318100019643783
34	-1.356948311409489 -1.112668591390641 -1.134837453712643 -0.6570047584182358 -1.305814493772187 -1.126231870687011 -1.24316864993278 -0.7533908172159842 -1.396382127500844 -0.3179278268092667
35	-1.357528423142141 -1.109577801061813 -1.13151239693665 -0.6466386338619273 -1.306219668723089 -1.12209599504461 -1.241501798568885 -0.7445219737492402 -1.397608592694516 -0.3057397645250762
36	-1.35704388565261 -1.104961303923286 -1.126965092578706 -0.6358530754729095 -1.305661800087834 -1.116602620832616 -1.238369092306044 -0.7354117951714975 -1.397747147100278 -0.2929815152668342
37	-1.358522756912441 -1.097954711503994 -1.122421113850487 -0.6288169636724431 -1.307466911993725 -1.110236062939675 -1.23393408719547 -0.7317316195473043 -1.399836982000077 -0.2808091010842474
38	-1.359646366841962 -1.071871813346315 -1.109051549694274 -0.6300933886442679 -1.310950119355637 -1.090975366303009 -1.214811231283979 -0.7436050933242867 -1.401481353974818 -0.2647355017729973
39	-1.361527807495312 -1.058548253455927 -1.102946381739688 -0.6325200133756221 -1.314131668759606 -1.081622128388403 -1.205392785634766 -0.7519483383247046 -1.403627676315414 -0.2572352820467255
40	-1.36203864170741 -1.051145239887428 -1.097779492296227 -0.6248708421340122 -1.314964031836866 -1.074725004575417 -1.20037319856606 -0.7474324220402434 -1.404721185386371 -0.2449500442863125
41	-1.362402931114108 -1.050012301187323 -1.097226042781995 -0.6245294161835907 -1.315417567688899 -1.073855743983231 -1.199662555449805 -0.7476779248955027 -1.405151213089512 -0.2436425643525743
42	-1.360686049967382 -1.049364410768808 -1.09433530276913 -0.6132852681944394 -1.313242874831446 -1.071112419554043 -1.199104779672206 -0.7360807247281284 -1.403917248324843 -0.2338662560998061
43	-1.361808687417131 -1.047915653848243 -1.093022386058449 -0.6083190183536571 -1.314289946722787 -1.069260550056423 -1.198605486169667 -0.7321517678501452 -1.405408485132172 -0.2274214101475499
44	-1.36186031937053 -1.046006469010908 -1.090075206328578 -0.5974524229241295 -1.314034122651612 -1.065857225850033 -1.197668299878493 -0.7221172004785613 -1.406072481942469 -0.2158965262934661
45	-1.360478846990088 -1.041337144226191 -1.087125422559519 -0.597324467022322 -1.31303875247808 -1.062146861925225 -1.193744284693104 -0.7232657046887055 -1.404691383561561 -0.21385442533482
46	-1.360862527689335 -1.04081887064185 -1.085398160820436 -0.5885434200265121 -1.313088549767673 -1.060210557895407 -1.193861810670922 -0.7148923972167741 -1.40557403621987 -0.2049341346615898
47	-1.359997892372997 -1.040701768021416 -1.084102325483685 -0.5831499222070897 -1.311986780973055 -1.059035309227462 -1.193725165164776 -0.7092379155497917 -1.404934367309052 -0.2003973058813807
48	-1.357920224731949 -1.047399296648589 -1.083298769286222 -0.5622362410060715 -1.30837867134443 -1.060020461297953 -1.198939662036911 -0.6850275110290729 -1.403679463603178 -0.1863707404558644
