1	0.0186635002561705 0.01643842165800311 0.01439478807928272 0.01352978709544197 0.01102273397015117 0.01036366149834545 0.007684521532582505 0.006889278753229928 0.002064980296132835 0.001668344107129345 0.0005760136919478227 -0.001068160787144372 -0.001501641445460148 -0.0012684700401731 0.001643029999156825 0.001327872446707314 0.0008270604454514934 -0.0002181312747700271 -0.0007190529610992617 -0.0009151133364377601 -0.0007704799264611396 -0.000172737401495017 0.0005364649151000476 0.001187264793699202 0.0006290793278364738 0.0003437263550646921 0.006153484617275301 0.004233059660849944 0.003891433064620733 0.001291895744581333 0.0006720814767811765 0.0007556938786358533 0.0009428434108163825 0.00109290962700948 0.0009258431200447582 0.0004370254476336059 0.0001093237918757412 -2.107134518498845e-06 -0.000833294300402371 0.001291465026020968 4.299885669592026e-05 -0.0006735255663326605 -0.0004578719955990676 0.0004881263424767528 0.0001186447372040797 0.0002662474138090058 0.0006537179374310185 0.0001782744196758842 6.000603949745843e-05 0.0001144121419181316
2	0.01598027920978542 0.01455053026782483 0.01275032947452776 0.01199500188697109 0.009799951095936956 0.009216609410575781 0.006872725336765782 0.006129985554337991 0.001744930734133891 0.001400188625462359 0.0004427759409565379 -0.0009144034584211822 -0.001255039980775639 -0.00106052902068329 0.001414144917207615 0.001163712692748397 0.0007669688368044898 -7.890433249734303e-05 -0.0004592035358836997 -0.000588538251159873 -0.0004302295151645216 9.030060214539634e-05 0.0006769639576003732 0.001179022765387668 0.0005985054825895317 0.0003246630798755275 0.005518317048069523 0.003879118483159229 0.003587233255208723 0.001350890752834191 0.0008380258851959084 0.0008914803903316627 0.0010187941124124 0.001084356832214361 0.0008788645856624991 0.0004218134156552805 0.0001284549792386066 4.774429753975099e-06 -0.000573773463894676 0.001137911985858711 0.0001029205691442815 -0.0004460906884741382 -0.0002228001532662885 0.0005030784948995453 0.0002143434134308244 0.0002605033348476761 0.0006883699428813895 0.0001857481219493903 7.095493175838605e-05 0.0001287992543194025
3	0.01329700123957832 0.01266260438215998 0.01110584089404429 0.01046018882377623 0.008577146338322893 0.008069536795117632 0.006060915016292507 0.005370678589437658 0.001424873454454492 0.001132026479137686 0.0003095341393542015 -0.0007606434782776731 -0.001008433387066024 -0.0008525836342506337 0.001185254394914632 0.0009995491113039129 0.0007068760317777707 6.032622886793777e-05 -0.0001993472591452917 -0.0002619543616350651 -8.996949387902823e-05 0.0003533467955271647 0.0008174684755801659 0.00117078250748077 0.0005679316982068079 0.0003055997361086631 0.004883138541291138 0.003525172380988521 0.003283029604492632 0.001409889493491287 0.001003976617331069 0.001027272492148934 0.001094748828514638 0.00107580557804872 0.0008318860509862569 0.0004066015922135602 0.0001475869583643187 1.16561988303873e-05 -0.00031424605623206 0.0009843554173716146 0.0001628438094458247 -0.0002186500009990072 1.227840516209601e-05 0.0005180319385497177 0.0003100453672951351 0.0002547594897641703 0.0007230241837924924 0.0001932223387898677 8.190426414366081e-05 0.0001431869985694652
4	0.0106137266541151 0.01077468179471583 0.009461355285565692 0.008925378613438107 0.007354344060641075 0.006922466567276405 0.005249106740001071 0.004611373528887261 0.001104817450329374 0.0008638655162148496 0.0001762932938794053 -0.0006068828371962275 -0.0007618264016423721 -0.0006446379819874994 0.0009563651102797105 0.0008353867053886764 0.0006467842650424798 0.0001995576524639375 6.050967428099873e-05 6.46300536318418e-05 0.0002502909449895163 0.0006163933591434597 0.0009579733031981906 0.001162542507693661 0.0005373580540217715 0.0002865365012075241 0.004247961844410132 0.003171227761980804 0.002978827346660141 0.001468889160071313 0.001169928015957052 0.001163065098774075 0.001170703951815024 0.001067254640761972 0.0007849077557334855 0.0003913899149028123 0.0001667190102846566 1.85379970992366e-05 -5.471791549881466e-05 0.0008308000055463417 0.0002227678210090001 8.791406623019435e-06 0.0002473573400807123 0.000532985556422469 0.0004057475157403785 0.0002490157487363895 0.0007576786329831651 0.0002006966530149141 9.285364961958371e-05 0.000157574831129833
5	0.007930472204297798 0.008886778196016694 0.007816886127090755 0.007390583758654997 0.00613155401202657 0.005775407704438404 0.004437306353619479 0.003852075219652897 0.0007847612504096792 0.0005957039593544664 4.305065480767477e-05 -0.0004531255508230298 -0.0005152226142978091 -0.0004366948651108838 0.0007274752079009899 0.0006712234391019166 0.0005866913569383182 0.0003387869859410074 0.0003203644845348638 0.000391212547956778 0.0005905501155228855 0.0008794397388133694 0.001098479110134466 0.00115430438607411 0.000506785281999652 0.0002674736494171677 0.003612791084401012 0.002817286974742094 0.002674628627762231 0.001527889503554121 0.001335879879485407 0.001298858637381169 0.001246660404684658 0.001058705223825298 0.000737930650153629 0.000376178744117197 0.0001858511954029883 2.541974551266232e-05 0.0002048076555323396 0.0006772437490873049 0.0002826901988483957 0.0002362304852119347 0.0004824353336316807 0.0005479398508153112 0.0005014498372039372 0.0002432722929032572 0.0007923341164733058 0.000208171136075074 0.00010380307629863 0.0001719627472830413
6	0.005247216308591689 0.006998870626229185 0.006172413459603888 0.005855785556117404 0.004908761110881215 0.004628346157228208 0.00362550381402912 0.003092775180103108 0.0004647052325057345 0.0003275426404842574 -9.019153942709729e-05 -0.0002993679864862107 -0.0002686187370529948 -0.0002287516850890608 0.0004985853513654847 0.0005070601287950105 0.0005265982460928933 0.000478015914911661 0.0005802186195126363 0.0007177941357168469 0.0009308081365625671 0.001142484836068855 0.00123898365616086 0.001146065235700804 0.0004762121183836765 0.0002484106048116899 0.002977618553156389 0.002463344540102259 0.002370428277774267 0.001586888479763128 0.001501830286032238 0.001434650777593559 0.001322615606327438 0.001050154883729539 0.0006909529873962464 0.0003609672773586529 0.0002049831811532762 3.230146254841004e-05 0.0004643326800628227 0.0005236874173054868 0.0003426123635340928 0.0004636690484197625 0.0007175124820066251 0.000562893631020879 0.000597151532189003 0.0002375286396760721 0.0008269888203547224 0.0002156454273672564 0.0001147523939538292 0.0001863504904074202
7	0.002563954713339807 0.005110955261701953 0.004527934109484892 0.004320981139005675 0.003685963327079556 0.003481280138883392 0.002813698349891195 0.002333472933153649 0.00014465099878631 5.938321507793517e-05 -0.0002234314133616239 -0.0001456079716386527 -2.201297976957016e-05 -2.080707601058256e-05 0.0002696972753515735 0.0003428985373729114 0.0004665066513036136 0.000617246345048469 0.0008400737590704666 0.001044376261846798 0.001271066059214463 0.001405529199617498 0.001379486935503362 0.001137824611725902 0.0004456383789143578 0.0002293473434773978 0.002342443998722297 0.002109400683885918 0.00206622653539704 0.001645886947555149 0.001667779874056909 0.001570441769820081 0.001398569522428125 0.001041603391551221 0.000643974574281619 0.0003457554865900478 0.0002241150040871887 3.918320448263424e-05 0.0007238591111302895 0.0003701327447570387 0.0004025359185853508 0.0006911089334839565 0.0009525896447496745 0.0005778468373028613 0.0006928527763340665 0.0002317848000267571 0.0008616425836925501 0.0002231195779204259 0.0001257016515530335 0.0002007381355296969
8	-0.0001193076234225075 0.003223042869295281 0.002883457296694172 0.002786179101276891 0.002463167460184853 0.002334215851136399 0.002001894045088336 0.001574171328580205 -0.0001754050429757579 -0.0002087780133274737 -0.0003566731912223534 8.150642542795871e-06 0.0002245919834365067 0.000187136969045762 4.080760971749786e-05 0.0001787355471894065 0.000406414036769525 0.0007564762034846465 0.001099928966131964 0.00137095896181949 0.001611325078824759 0.001668574976025769 0.001519991739284037 0.00112958529002216 0.0004150650942922112 0.0002102842554949833 0.001707270210520656 0.001755457678676657 0.001762025710960567 0.001704886336774859 0.001833730812812745 0.001706234249668068 0.001474524852887341 0.001033052955688842 0.0005969967573059816 0.0003305439821794025 0.0002432470381400806 4.606495408366804e-05 0.0009833853034688243 0.000216576742648034 0.0004624587598769305 0.0009185485645119741 0.001187667530138941 0.0005928006243959597 0.0007885547100771462 0.0002260411402669833 0.0008962972952386264 0.0002305939011544659 0.0001366510067498322 0.0002151259317813562
9	-0.002802582668466488 0.001335125050331772 0.001238975816833344 0.001251372794530034 0.001240368413180424 0.001187148590566408 0.001190087938883621 0.0008148677018827281 -0.0004954630188767263 -0.0004769409634865592 -0.0004899162115210562 0.0001619097560382643 0.000471198168202949 0.0003950820589774105 -0.0001880833377146788 1.457173012949499e-05 0.0003463213435918688 0.0008957072951187821 0.001359786376675051 0.001697544498849439 0.001951587297506217 0.001931623693855001 0.001660498799281529 0.001121347147926529 0.0003844921111908886 0.0001912212945443396 0.001072095116467496 0.001401514732602224 0.001457825193620442 0.001763887672258285 0.001999684379087736 0.001842029124518312 0.001550482081043317 0.001024503572434531 0.0005500193507810082 0.0003153327482980228 0.000262379412423704 5.294677812424299e-05 0.001242913544697165 6.30200078880019e-05 0.0005223821797837654 0.001145990034721912 0.001422747686662161 0.0006077551038675657 0.0008842579042931183 0.0002202976846405181 0.0009309531208442173 0.0002380684929386757 0.0001476005506691688 0.0002295140114760156
10	-0.005485807768633542 -0.0005527700378271536 -0.0004054860076118803 -0.0002834154290813163 1.75831119059297e-05 4.00942346787751e-05 0.0003782901173325175 5.557307878651151e-05 -0.000815512777652201 -0.0007450965589042276 -0.0006231538369350475 0.0003156675456467627 0.0007178001232246731 0.0006030234754014799 -0.0004169685280708631 -0.0001495880737900314 0.0002862297670012428 0.001034934478165175 0.001619636099022293 0.002024119881070745 0.002291837922928054 0.002194661736164804 0.001800997684913571 0.001113104800622091 0.0003539181095519141 0.0001721579435997225 0.0004369262851246767 0.00104757271337826 0.00115362460901017 0.001822882475850392 0.002165628670109198 0.001977815461386399 0.001626432546632503 0.001015950505666304 0.0005030405959796508 0.0003001206180359571 0.0002815105746610693 5.98283478381147e-05 0.001502434736648565 -9.053308001312772e-05 0.0005823040578892028 0.001373425226170204 0.001657819675936471 0.0006227071351906845 0.0009799565507348567 0.0002145535482540996 0.0009656049508678547 0.0002455421591274516 0.0001585494324577345 0.0002439011033487671
