1	-1.017955586639242 -0.9479038429437437 0.0102177559209097 0.6768455867245493 -0.9930343772633046 -0.895438183709599 -0.6084512949063304 -1.02789452495449 0.1600902896915272 1.266076810063197
2	-1.200435946783086 -0.9657100352283823 0.4755242055269018 0.9228858416663803 -0.968478317830457 -0.7831526141577049 -0.9057920907066253 -1.007516332764307 0.3028820859499577 1.40461689772766
3	-1.301131574563362 -1.13876113418465 0.2380858177145416 0.9344779761220096 -1.126395946328213 -0.9750924084464466 -0.8378767086525123 -1.170761914358794 0.2482047976447019 1.533475042237012
4	-1.301818368786114 -1.314007183720916 -0.2735879133208277 0.8545645203342225 -1.060664388204932 -1.035957918292285 -0.4269482177901246 -1.112642314230103 0.04540327299978904 1.359226230245015
5	-1.329270010763846 -1.381554626285762 -0.3938799618010473 0.8611183178226465 -1.035162680685801 -1.043874775838342 -0.3207298188502944 -1.090538435371451 -0.007810651436011749 1.317662254939104
6	-1.563542499578616 -1.801179108911759 -0.9885004020782465 0.9038895978473269 -1.283559382006819 -1.401102286251522 -0.04913961591082863 -1.354032063457038 -0.1818776930743148 1.496263644248504
7	-1.696955033651502 -1.975675879922626 -1.093226211826591 1.096868180969755 -0.7879051984570248 -1.022572595574432 0.3857800572724245 -0.8757073593942164 -0.3653331920029039 1.050412974442502
8	-1.681753682543494 -2.095083495753586 -1.478370310625075 1.045092766926114 -0.6279526500997769 -0.9754969265565732 0.7711249235116251 -0.7226833488338581 -0.5456412433003281 0.8102785613935028
9	-1.539787818368281 -1.862046349260851 -1.202480049883206 0.9408923676645746 -0.7955286784834809 -1.042293602226335 0.4435633990840741 -0.8763481023759203 -0.3863437488657291 0.9825592085249807
10	-1.246007697631446 -1.063243440257219 0.3082544868266114 0.9084702330757307 -1.084146908665822 -0.920224018278733 -0.863428441580586 -1.125533395429021 0.2682036523246598 1.491324312889274
11	-1.147152282068486 -1.349647120360071 -0.8275825040092168 0.5888654000096456 -1.223176728557452 -1.284830953614206 -0.1605640868707227 -1.271011879075246 -0.09582978923091066 1.339894797971922
12	-0.7968093247286163 -0.6240794816926699 0.3438382550447343 0.5542457911366067 -0.9641563489730457 -0.780361874534822 -0.8467670441393069 -0.9838436926241173 0.2965012360718422 1.240671192695133
13	-1.075122513596814 -0.8754256431162118 0.427982281129961 0.9234898395266719 -0.3786833689722001 -0.2950002609768834 -0.4698690577930759 -0.4225532024189296 0.1423706766039808 0.7989406504539197
14	-1.117784338615695 -1.056554145456662 -0.0111020006696922 0.8091073374972487 -0.7363329052176059 -0.6941717462333398 -0.4037859662573874 -0.7813623398308193 0.07376589470958687 1.052383256894182
15	-0.8948909344018088 -0.4148403152609731 1.289155773226494 0.9540581167780268 -0.2396677466256922 0.02762663098787416 -1.003140902117289 -0.2659414923180791 0.4362989319829516 0.7994044765339279
16	-1.296449247985235 -0.9354751007942215 0.8281641748132632 1.045104547686598 -1.091883315741607 -0.8129895657649319 -1.234740916637979 -1.129284382766318 0.4532236503633845 1.629434587149579
17	-1.003899594518044 -0.7321962132871725 0.6069646627179487 0.7703963550834434 -1.010508657627958 -0.7743418545182531 -1.0474222978821 -1.036881201534984 0.3823022837218161 1.409347279742055
18	-1.256232064251412 -1.304296013089518 -0.379353314436814 0.7802350835138399 -1.141594921943421 -1.123773686494088 -0.412611272739642 -1.191031415676195 0.03336881475320463 1.397252558925088
19	-1.810550318375092 -2.088440363172703 -1.118158443168906 1.151883263428858 -0.9784378594238134 -1.194593548450589 0.2805383308288952 -1.068997721449927 -0.3357603006575566 1.260913146907021
20	-2.079835370961316 -2.456432469862588 -1.423065326029764 1.388057653708871 -0.6675698839748915 -1.024436712790889 0.7412650629267526 -0.7816681878445051 -0.5569727189670777 0.9887952601322574
21	-1.185762524211497 -1.437742098353002 -0.9447261608318409 0.6995090632891201 -0.7221170764482905 -0.8978233830973187 0.2781030282752621 -0.7825863196423012 -0.2752450813039672 0.8554852055422874
22	-1.123449410132843 -1.286650040678859 -0.699639530427018 0.6174332800609766 -1.094238979350506 -1.147174521869043 -0.163531747179134 -1.141599761453968 -0.08121309508187001 1.239142831097561
23	-1.075974077557843 -1.06226073248036 -0.1632894518713338 0.6960230624292369 -0.9868308944428467 -0.933577101560605 -0.4749691252125824 -1.026994737070331 0.08951071833186515 1.240853160919909
24	-0.6044723422700128 -0.3949951015204934 0.5469494426330632 0.6303224942722973 0.06612809051831027 0.1350127786674744 -0.2867703788011352 0.04017846788124391 0.1169432511426902 0.2542690697452283
25	-0.5785875514647963 -0.3254923801922377 0.6418025800232078 0.516819582315156 -0.4839083135374554 -0.2986156407969491 -0.7427149020832438 -0.4972705700903957 0.2999418971290299 0.7839488805249289
26	-0.6058217080137002 -0.2802593747315096 0.8852138507541587 0.6794753411103385 -0.003749476047293524 0.1531738219442861 -0.5768014176813512 -0.02427802374946172 0.2578345397175504 0.3948935450214659
27	-0.6679500752600758 -0.2838363934595791 1.053387022802611 0.7720154958246348 0.03998741176106215 0.22298770523858 -0.6601680302033169 0.01751127240221313 0.3005962694254147 0.4109453799052441
28	-0.8627857989231972 -0.6604272346551451 0.4212351546192221 0.6195906496882287 -0.9907811498809723 -0.7897440189785256 -0.9144274156015875 -1.012461699880505 0.3246530752742143 1.304142476556746
29	-0.7692968404625863 -0.4687812514325272 0.7458069398196647 0.6643066147114303 -0.6596747489783648 -0.4348101454254003 -0.922272467153141 -0.6784838324299537 0.3641778265409446 1.033961359190563
30	-0.8605886814938806 -1.063385839706685 -0.7914539480915123 0.3519629886323145 -1.214347792459657 -1.248826793972444 -0.2070176894944213 -1.246934943877069 -0.05494882781232306 1.246622955971508
31	-1.30338207378127 -1.544637420119171 -0.9416526580223535 0.7609602185842012 -0.9234043038262547 -1.072748523187027 0.145729757824925 -0.9862958329281416 -0.2331006099684399 1.083569227677311
32	-1.662898207426342 -2.021737806450889 -1.303510786732639 1.093963761228969 -0.4606403704264611 -0.795729864689802 0.7620907530145824 -0.5552667166711436 -0.5247256344766751 0.6853462646380654
33	-1.490126585527547 -1.823260902690154 -1.247303199902984 0.8350182123646592 -1.074811720471377 -1.280829015471106 0.2749133472891616 -1.148491963620239 -0.3232569496200631 1.219189788975688
34	-0.8476746164822474 -1.070936219307607 -0.8466019762781681 0.3416201663562279 -1.159761824580071 -1.215000572983267 -0.1306204130453991 -1.193359686564632 -0.08804301122964447 1.178966142717534
35	-0.4026437919335703 -0.5271186134932615 -0.5063331812404338 -0.001322934776807327 -1.282472647787413 -1.208306374694454 -0.5010395964683761 -1.286356607397735 0.1145404822985936 1.224960180609009
36	-0.2759355472400488 -0.0635347470124704 0.5878223017190657 0.3289251565121323 -0.07403993226644077 0.05133129930896922 -0.4450795950190131 -0.07976775477425495 0.2034865309960205 0.2885297944183693
37	-0.4654417007549455 -0.3337783955524391 0.349911918677266 0.5199150170341594 0.2917456753030981 0.2879295164773261 -0.001069010615996728 0.2664748461214146 0.0003563720354017379 -0.04634431971662864
38	-0.4300130862549607 -0.1887327734704081 0.6560395717548912 0.4802969723775503 -0.03838799063518931 0.08529852198930687 -0.4542354686268479 -0.05196085348342298 0.2025255565836453 0.3199912264555352
39	-0.6633951186796294 -0.4794709793418033 0.4122780285702419 0.5060282196386715 -0.6936106485933787 -0.5306465935522001 -0.7182635220752736 -0.7104262709337205 0.2635402270932852 0.9580895674826827
40	-0.6389056071575102 -0.4605043873258861 0.357230485307982 0.3534034005117334 -1.30907258029398 -1.052531580087804 -1.113121904159139 -1.314045225752233 0.4094668905873788 1.516733456991853
41	-0.737698746868406 -0.6980272760702871 -0.04162686055714535 0.4343503012823406 -0.9584781422317534 -0.8583593141725465 -0.5735512120752473 -0.9799857941498562 0.1616249625756351 1.131288420647098
42	-0.7070613809691316 -1.025806421338756 -1.126206860978839 0.1260159511537908 -1.383341521106513 -1.45371205914438 -0.1013607802156854 -1.408995498339215 -0.1151889992325522 1.282029968092853
43	-1.041321568831252 -1.448006479408409 -1.408348404606875 0.4196093132164786 -1.084355914893094 -1.29294303123766 0.3408989294580821 -1.13643936703525 -0.3318390094015206 1.047167322958716
44	-0.9226748175677205 -1.26105280690641 -1.170875234720292 0.4209226765202785 -0.7834029584975047 -0.9809002513601248 0.3716259623110212 -0.8318355542576075 -0.3132090294711012 0.7780025771734701
45	-0.9084044055761691 -1.314300156789502 -1.398321885214233 0.280942234004454 -1.219714624194381 -1.393596193006503 0.2263113552877659 -1.262260281523975 -0.2783168383834796 1.133548388528266
46	-0.08081801086150689 -0.5750195370743049 -1.553620776629927 -0.4540277313955787 -1.211245402436528 -1.362326400562506 0.265290591627868 -1.212678684204218 -0.2497575300967624 0.8230243418235591
47	0.03117551148401673 -0.1480627195425321 -0.5873948561407333 -0.3127009912427141 -0.9043844073827935 -0.8814724969712097 -0.2187056961339237 -0.8935431541044228 0.03050559754015015 0.7109260119066524
48	0.1664780243403499 0.2064704503469861 0.0621992455151817 -0.3555065239439002 -1.135668790103094 -0.9173704813833981 -0.8567343675560987 -1.105443846334421 0.3413322850205057 1.027556955189229
49	-0.05834970612787706 0.02805356944071886 0.1647346765629207 -0.1620762170523625 -1.225335707772202 -0.9848226381323203 -0.9716364341685441 -1.20393081346601 0.3786051405856194 1.207352139399697
50	-0.4221694888691002 -0.3707882119392706 0.05115866955869904 0.2337775610743358 -0.6927150291042579 -0.594083531279717 -0.4828492437603689 -0.7014533994784765 0.1579035546103434 0.7995091539136243
51	-0.2612167437726016 -0.04363574870396135 0.5624736158056465 0.1880503193877792 -0.6998180938586225 -0.4731233832151412 -0.8674296400906197 -0.6936544212871554 0.36187720539724 0.8665816099702103
52	-0.3240088212255856 -0.3121714555641333 -0.08438855242990265 0.03454040692117918 -1.150548971925356 -0.9979198608410181 -0.7166472784635251 -1.147482812495541 0.2406083096937054 1.168323775543508
53	-0.4166512647104539 -0.3695587158062709 0.02509705458047774 0.1833503865838313 -0.8999272620354767 -0.7716838992135014 -0.6101667054470996 -0.9049145053322978 0.2040207772720042 0.9868186065933603
54	-0.5933080089958825 -0.9003252592638219 -1.060522406357358 0.08879082232980072 -1.139772798441317 -1.228434145994916 0.01202528754288151 -1.163122595430885 -0.1440585474425009 1.03058305502459
55	-0.5790043147939231 -0.9384267004227292 -1.208100440985589 0.06566282429339491 -1.058402930335023 -1.193109718132195 0.1729723158070776 -1.084332010260787 -0.2175837844887853 0.9169390986204197
56	-1.336050440115033 -1.386805684216789 -0.3511206939897749 0.9883975616237408 -0.4599080231183184 -0.5568908260344207 0.05301736299904959 -0.5256204190840452 -0.1456574251514142 0.7883760708036732
57	-0.7024549756856635 -0.9885184287160772 -0.982494689011305 0.2835350010203264 -0.6990744588392297 -0.852592245087484 0.2758351172478788 -0.7352056578504539 -0.2442019729758168 0.6687780399693268
58	0.140078844548017 0.04624948849103333 -0.3429103013815022 -0.4247615974457149 -1.225905125981536 -1.085592110720824 -0.6287825114738337 -1.200455760775318 0.2157950887331939 1.031763788403793
59	0.06600368258212372 0.07336017577302119 -0.03436273769113347 -0.2502688633759204 -0.9489558193979661 -0.7912568362059905 -0.6474749984279489 -0.9285918929284721 0.2462611085762141 0.8633138985891207
60	0.3040191207799147 0.4714346177651224 0.5097641175552746 -0.2362675391257439 -0.3503278135195753 -0.1542376964963511 -0.6377038826253708 -0.3217027002770783 0.3095187116445978 0.3430653150695108
61	0.5855803708762038 0.6144765287116115 0.1482624304363046 -0.5077605215723533 -0.1705365876241996 -0.06627607144583671 -0.2802914561163902 -0.1350035021341613 0.1605241376124947 0.00310905137791036
62	-0.09761058010178893 -0.08807919867479341 -0.03040352103258466 -0.05624957746740927 -0.6793508650528196 -0.5781381249756187 -0.4457907247451867 -0.6724069159624659 0.1589586893437395 0.6637376749639159
63	0.03756327965451437 0.2704856520351939 0.6485851327083672 -0.04383049316335199 -0.6588809709328277 -0.3982999767504785 -0.9281334564027424 -0.6367957959099293 0.4136247412137546 0.7501633798433681
64	-0.03700805684417596 0.07040696245165097 0.2460162248452945 -0.1176650832248287 -0.9832938770634575 -0.7639126222781346 -0.861767327992627 -0.9641866867694394 0.3460691038946644 0.9907420410069795
65	-0.1277859625502507 -0.09481968521010889 0.01835097721731747 -0.07003901864031797 -0.9249232740960416 -0.773281935403173 -0.6500042428563395 -0.9144582026543228 0.2385917295666961 0.9151647109157502
66	-0.76971028988204 -1.100501742128496 -1.165935372564914 0.1835576619397634 -1.326738307062162 -1.420143352236754 -0.02744858410978202 -1.35719233261319 -0.1511821332686588 1.240374765922637
67	-0.7322037241815343 -1.041247138487438 -1.078528950182478 0.2207582597355843 -1.056837073198102 -1.173553297189667 0.0960831688078404 -1.089177908310476 -0.1871912329537322 0.9936758093602448
68	-0.647903661572236 -1.096936233270017 -1.475997623931526 0.09247402811047102 -0.9734103281186987 -1.187874069145377 0.4300392188529168 -1.007827272825828 -0.3443919903480467 0.8003763149748335
69	-0.6459459925102702 -1.134614958920944 -1.580158625377693 0.1088848587417564 -0.7855566678584145 -1.05519167414106 0.6359027625606277 -0.8246029614849756 -0.4317439900964481 0.6001713529954054
70	-0.08299353182084918 -0.4712299122519769 -1.258394794498381 -0.44986797019779 -1.472614218965435 -1.512991067009838 -0.1283308916935896 -1.465705364018469 -0.07373490786879175 1.134495350023294
71	0.2947928961118546 0.04912399924701499 -0.7719878085238191 -0.6351439691070593 -1.223762591455586 -1.16951744568223 -0.3359303380203394 -1.195621513817165 0.07611906004745583 0.8851007305625369
72	0.2023825666706446 -0.01945535031208656 -0.7122194030240636 -0.5420504961841895 -1.208143933250106 -1.149680166551574 -0.3589059151071841 -1.184367782427485 0.08389950264138925 0.9135415727731563
73	0.1437784968016311 0.2171708924997396 0.1651555806741127 -0.2966278457783468 -1.031206797910186 -0.809003410088226 -0.8547073620156217 -1.00279368362637 0.3485136855741044 0.9593643507644625
74	0.2480162191760149 0.314170576705339 0.1652720933732483 -0.3617865406887142 -0.9095946455454983 -0.7004976295881521 -0.7792513262953196 -0.8779616418921595 0.3272551119507334 0.8112389540392326
75	0.06012217109106235 0.2270881438229752 0.4423437192260989 -0.1418668501823055 -0.8666211715985063 -0.6157606045845478 -0.9289790778454029 -0.8421303820830528 0.3964265438399157 0.8927696025960873
76	-0.4980316075368151 -0.7732348674885015 -0.9616862281498626 0.004012743827352157 -1.247556427290792 -1.288845860222647 -0.1429915329634895 -1.262731011496892 -0.06965087472700711 1.122796797403354
77	-0.401629504493994 -0.4556381835613351 -0.2874393677794397 0.06816440230863839 -1.128815903608541 -1.031227127579671 -0.5493698836356617 -1.132728654934162 0.1531484313665793 1.12834926277653
78	-1.015655486395654 -1.157013684980538 -0.6301635093080962 0.5122989569437422 -1.223678659208122 -1.231300617577054 -0.3139875067681874 -1.262180698269014 -0.01037547423605023 1.341195378920534
79	-0.8381542296089637 -1.156172330809773 -1.070413465503847 0.4527841361444426 -0.3489617261678517 -0.5913265491547055 0.5968783092306951 -0.399671959050253 -0.3831988638268499 0.3642192584642464
80	-0.8551173622453072 -1.183501746294225 -1.125913415249386 0.3911780474167125 -0.6829032399576568 -0.8824423798770409 0.4037440944355792 -0.7290861219296346 -0.3164846804724334 0.6714977416996095
81	-0.1103394142870835 -0.4139183813132221 -0.9738122110712292 -0.2646312263086431 -0.9167279973378972 -0.989021309982164 0.06137347063915279 -0.9178626051727402 -0.1210356558772004 0.683336865000983
82	0.3868478357728776 0.0782079645081737 -0.9547611590654067 -0.7714812727141105 -1.346034566550254 -1.305715217338349 -0.3000638157713791 -1.31312996745438 0.05205358855624743 0.9299745709686347
83	0.5075892385046641 0.1553273740761707 -1.064466079593938 -0.8834934787199211 -1.288512897709413 -1.274034877762694 -0.1928353433149339 -1.251723517387335 0.009765157704074982 0.8125788126618211
84	0.5129519813296718 0.3727402222561427 -0.4129062506533327 -0.6992990295168029 -0.9355771066137569 -0.8335230525757252 -0.4101886597168193 -0.8968419842539028 0.1526404007868289 0.6224486064605517
85	0.3581434417654282 0.3138065458142668 -0.1172709894315525 -0.4201355895995511 -0.4666310189052821 -0.3884032203346916 -0.2773972064449947 -0.440866284580416 0.1190014699515463 0.2968047394004584
86	0.2750394355008348 0.2893348889642263 -0.0036576472592247 -0.4711652848927134 -1.189904873492993 -0.9695013425408644 -0.8580278857147293 -1.153841821728891 0.3432911747091674 1.028849268399118
87	0.0998452062936037 0.2889578067435534 0.4919988739128633 -0.2274489615718574 -1.173616567626643 -0.8567155824769039 -1.183488136241378 -1.140821790297406 0.5000333395590927 1.179483431658192
88	0.037003618764066 0.06746683471280034 0.02484027704175002 -0.2303949508670751 -1.028728419491527 -0.8462411504900212 -0.7429238756251053 -1.007682590937433 0.2858139489383717 0.9607623323545696
89	-0.09976039651631038 -0.1837391322635769 -0.3340213502283354 -0.1880778370215387 -1.075089538575774 -0.9754901982720828 -0.5068000219917643 -1.064806441247264 0.1537760505967835 0.9696860641574947
90	-0.1800776809601244 -0.4142335618159124 -0.7961021194836601 -0.2267329104490493 -1.191314602605715 -1.182010682243325 -0.2514093758902522 -1.188856434843024 0.008832020374115275 1.003269339323815
91	-0.3858175940897206 -0.8673958083510426 -1.54869112362254 -0.1735645677093423 -1.117431976980025 -1.30513158257808 0.3562186331137639 -1.136440401074108 -0.3049408261353074 0.8348026254941261
92	-0.4180867067607115 -1.00307766019089 -1.84955286735734 -0.1748677470781625 -0.9855860503690311 -1.265790551062451 0.6662184285139783 -1.012437293862282 -0.4522640731698302 0.6550479000122335
93	0.1009163201726988 -0.4187222937339747 -1.584721740378394 -0.5541926673307392 -0.9022689842558791 -1.099681855567956 0.487179674445227 -0.90025072142804 -0.3238784682092186 0.4667202262456105
94	0.08821215039290095 -0.2426789265436481 -1.055262206303224 -0.5248533490313374 -1.298404919783251 -1.310207705418666 -0.1669785433408 -1.283212517008795 -0.02838678561621653 0.9599000592719671
95	0.5959284784889409 0.3647107317723055 -0.6953168782028272 -0.8914292499921596 -1.287404458867921 -1.183521398307049 -0.4634968646382538 -1.241424870069669 0.1524409829123558 0.8641733931949904
96	0.8497702510960943 0.9349379717753894 0.3228507693141003 -0.7756462870986573 -0.5434585452571999 -0.3177368987035783 -0.6911785428436616 -0.4851422212100709 0.3504721398244749 0.306532396887947
97	0.3593568587413382 0.6060728175140833 0.733035924364308 -0.295739282317578 -0.6180905477885823 -0.3223249855664996 -0.9899161329194232 -0.5789005170991548 0.4672303285905761 0.6260546992898842
