1	-0.47049 -0.282507 -0.177338 -0.0803135 -0.107223 0.628105 0.536068 0.278152 -0.635918 -0.391187 -0.272782 -0.1698 -0.233809 0.78499 0.604429 0.322273 -1.06954 -0.958988 -0.843135 -0.77395 -0.817769 1.04121 1.02787 0.983041 -1.06488 -0.96036 -0.832122 -0.756518 -0.688025 1.0463 1.01241 0.880468 -1.29005 -1.19184 -0.846556 -0.556519 -0.47785 1.23007 1.15148 1.11067 -1.24913 -1.07723 -0.896263 -0.652073 -0.713658 1.19813 1.16199 1.24169 -1.20711 -1.08445 -0.839505 -0.697429 -0.782725 1.12171 1.09059 1.02253 -1.19988 -1.08227 -0.849525 -0.710734 -0.752976 1.12254 1.07928 0.959565 -0.391978 -0.181116 -0.0738947 0.0193856 -0.141993 0.593484 0.532185 0.328639 -0.360137 -0.133636 -0.0604904 0.00827074 -0.201974 0.548835 0.481779 0.345292 -1.04674 -0.93427 -0.844862 -0.757426 -0.979622 1.01767 1.00019 0.827236 -1.1489 -1.00118 -0.90099 -0.814097 -0.962514 1.10526 1.09911 0.884294 -1.23193 -1.14071 -0.811609 -0.457773
2	-1.01221 -0.939481 -0.928579 -0.878311 -0.5969 0.930557 0.741172 0.355736 -1.15878 -1.16747 -1.10818 -1.0593 -0.944167 1.12428 0.81563 0.395621 -1.09368 -0.982338 -0.904323 -0.963437 -1.00486 1.07174 1.02118 0.877301 -1.08956 -0.985474 -0.895655 -0.952886 -1.02461 1.07149 1.01035 0.830947 -1.47798 -1.39559 -1.39077 -1.43841 -1.65946 1.33888 1.19572 0.790694 -1.44345 -1.34478 -1.42406 -1.5252 -1.50033 1.29861 1.22167 1.16605 -1.301 -1.19283 -1.02427 -1.01473 -1.11305 1.18193 1.12995 0.986983 -1.27979 -1.17387 -1.00796 -1.02243 -1.07996 1.17229 1.10808 0.842394 -1.01891 -0.977218 -0.931352 -0.870008 -0.710722 0.965677 0.822043 0.476019 -0.98443 -0.948213 -0.880059 -0.829044 -0.638173 0.895626 0.778074 0.495085 -1.08199 -0.970202 -0.896284 -0.913036 -0.868129 1.04647 1.02106 0.736791 -1.19826 -1.05473 -0.973437 -0.995137 -0.99802 1.13892 1.10312 0.795259 -1.44942 -1.38398 -1.37864 -1.38347
3	1.79998 2.03627 2.25317 2.38405 1.39221 -1.70511 -1.66276 -0.75719 1.43135 2.12819 1.94601 2.16982 1.75714 -1.48031 -1.20959 -0.591996 0.247656 0.209923 0.146095 0.140855 -0.0222365 -0.318633 -0.277312 -0.348161 0.201039 0.175303 0.103376 0.11653 0.256081 -0.29329 -0.239653 -0.503321 0.322291 0.49157 0.548786 0.761473 0.429922 -0.264384 -0.199044 -0.221387 0.126219 0.716154 0.335291 0.586861 0.272071 -0.0496555 -0.04013 -0.165714 0.511793 0.709935 0.492943 0.368033 0.304823 -0.59414 -0.588757 -1.34683 0.460729 0.612321 0.416048 0.29362 0.292803 -0.540109 -0.519257 -1.16594 1.77641 2.08442 2.22068 2.35746 1.79408 -1.51501 -1.52938 -0.927176 1.83057 2.24666 2.27793 2.36875 1.91939 -1.56947 -1.59948 -1.13066 0.406761 0.337539 0.314825 0.169086 0.00144851 -0.43485 -0.397099 -0.188151 0.276904 0.400444 0.236055 0.181683 -0.071257 -0.334733 -0.281341 -0.315282 0.307425 0.497342 0.584258 0.816921
4	-0.879054 -0.857088 -0.825311 -0.787497 -0.518456 0.770524 0.649541 0.347469 -0.97587 -1.03195 -0.971251 -0.944966 -0.85047 0.912844 0.690979 0.35489 -0.278359 -0.350061 -0.279106 -0.356035 -0.503364 0.253805 0.290588 0.520029 -0.285095 -0.346535 -0.278946 -0.332837 -0.495633 0.249688 0.308601 0.396833 -0.858251 -0.809773 -0.933814 -1.01583 -1.33735 0.741389 0.788403 1.1023 -0.910885 -0.744568 -1.0247 -1.177 -1.23551 0.824764 0.85107 1.01248 -0.500897 -0.484605 -0.423239 -0.454255 -0.559757 0.408022 0.403411 0.698323 -0.47654 -0.475588 -0.418436 -0.461665 -0.53273 0.383635 0.409827 0.505575 -0.872697 -0.885743 -0.818856 -0.78112 -0.679262 0.765764 0.696702 0.437012 -0.850088 -0.861194 -0.774095 -0.737642 -0.630823 0.713065 0.652339 0.441797 -0.232291 -0.322966 -0.205868 -0.285105 -0.401546 0.217036 0.291677 0.420076 -0.395892 -0.369328 -0.35573 -0.371891 -0.470261 0.346103 0.391205 0.610244 -0.909183 -0.875723 -0.986268 -1.00555
5	1.51849 1.38746 1.39531 1.31786 0.753204 -1.36003 -0.998605 -0.507723 1.09796 1.24965 1.0822 1.13204 0.965467 -1.03022 -0.710299 -0.303773 -0.155914 -0.211333 -0.318756 -0.288851 -0.450549 0.151801 0.148343 0.41276 -0.183716 -0.228383 -0.332969 -0.298616 -0.441319 0.160517 0.226612 0.384564 -0.143319 -0.0355965 -0.106259 0.187342 -0.0523659 0.180636 0.234511 0.712994 -0.254012 0.160308 -0.233263 -0.0214943 -0.0262657 0.31407 0.312047 0.426241 -0.0108865 0.0569035 -0.175116 -0.163641 -0.139869 -0.00893561 0.0234086 0.18996 -0.0576403 -0.0204565 -0.224607 -0.193905 -0.203845 0.0322529 0.0808043 0.359998 1.49199 1.27836 1.39758 1.37486 1.19194 -1.22722 -1.13775 -0.736901 1.56605 1.4243 1.45442 1.42169 1.15845 -1.27998 -1.13987 -0.862142 -0.017503 -0.101924 -0.231719 -0.248083 -0.389716 0.0511691 0.120909 0.161888 -0.139744 -0.0968718 -0.2973 -0.266605 -0.417868 0.151536 0.204171 0.329887 -0.138942 -0.0325747 -0.0575133 0.213014
6	-0.734654 -0.761358 -0.754713 -0.735823 -0.538683 0.656045 0.565572 0.306795 -0.818274 -0.904941 -0.877601 -0.866716 -0.780939 0.7882 0.620335 0.322426 0.0615698 -0.0628707 0.0915717 0.0765387 0.0262462 0.00977166 0.111468 0.354787 0.0487148 -0.0607489 0.0778083 0.061773 0.0789489 0.00499923 0.0641431 -0.00454196 -0.531163 -0.485279 -0.642378 -0.699334 -0.939351 0.457816 0.414823 0.462371 -0.602396 -0.377629 -0.799456 -0.901361 -1.28769 0.597935 0.522655 0.0218927 -0.129471 -0.138326 -0.0733338 -0.0547086 -0.14323 0.144742 0.172565 0.313186 -0.100108 -0.126344 -0.0573222 -0.0545741 -0.20548 0.125769 0.151068 0.247278 -0.728087 -0.791386 -0.739376 -0.717762 -0.626059 0.64784 0.572947 0.395481 -0.698161 -0.759066 -0.702076 -0.664113 -0.468717 0.594133 0.547492 0.366338 0.123179 -0.036116 0.191681 0.160502 0.0372386 -0.0181052 -0.0101792 0.166669 -0.0609825 -0.0666322 0.0119379 0.0477797 -0.0472767 0.133674 0.216644 0.315661 -0.573253 -0.543844 -0.743133 -0.793582
7	0.331617 0.120314 0.24972 0.258281 0.160486 -0.254587 -0.161801 0.0349703 0.0378239 -0.0260466 0.0695296 0.122456 0.0136085 0.0140097 0.0586935 0.159142 -0.778719 -0.800346 -0.691059 -0.594355 -0.627323 0.710384 0.719765 0.549014 -0.780717 -0.799754 -0.687856 -0.607974 -0.656075 0.712926 0.73272 0.675739 -0.808912 -0.728908 -0.692917 -0.397746 -0.470546 0.778743 0.754381 0.622253 -0.82191 -0.622906 -0.71024 -0.402719 -0.607238 0.798887 0.840679 1.21796 -0.807318 -0.824896 -0.66883 -0.49006 -0.594242 0.705758 0.685903 0.807098 -0.813084 -0.834423 -0.684946 -0.540129 -0.640034 0.725011 0.735298 0.822064 0.400521 0.181112 0.338532 0.33047 0.282164 -0.257182 -0.172386 0.0167351 0.442379 0.211886 0.365696 0.369779 0.216468 -0.317203 -0.234691 -0.0245749 -0.703982 -0.757461 -0.653767 -0.604509 -0.421579 0.657719 0.69241 0.684705 -0.800307 -0.813923 -0.708708 -0.618877 -0.613513 0.732106 0.729386 0.794376 -0.771902 -0.705404 -0.62463 -0.322986
8	-0.835431 -0.819034 -0.838556 -0.810867 -0.576772 0.830155 0.691128 0.353255 -1.00791 -1.04313 -1.02999 -1.00152 -0.869532 1.0277 0.785495 0.37895 -0.604429 -0.620519 -0.813049 -0.909049 -1.01188 0.888839 0.867764 0.684205 -0.589878 -0.610127 -0.804037 -0.911592 -1.04252 0.891427 0.85272 0.726432 -0.954821 -0.862559 -1.27044 -1.46194 -1.68003 0.911981 0.659864 0.629979 -1.06229 -1.02832 -1.35049 -1.50843 -1.33588 1.00426 1.06257 0.927825 -0.736716 -0.726852 -0.945738 -0.996781 -0.987591 0.962858 0.947151 0.863853 -0.711965 -0.709737 -0.933466 -0.998614 -1.03327 0.956145 0.929675 0.897295 -0.892002 -0.888539 -0.870235 -0.817614 -0.643529 0.871342 0.746323 0.430951 -0.817326 -0.829721 -0.798947 -0.759916 -0.631629 0.781651 0.686164 0.42319 -0.659387 -0.673373 -0.784124 -0.835482 -0.82293 0.867788 0.837658 0.56625 -0.743107 -0.71129 -0.879973 -0.932293 -0.967451 0.969692 0.931907 0.764465 -0.952222 -0.899397 -1.23366 -1.32359
9	0.994027 0.501836 0.875256 0.819211 0.467595 -0.897654 -0.643206 -0.276153 0.580202 0.379432 0.571525 0.578157 0.411247 -0.569776 -0.36701 -0.0330611 -0.519009 -0.748133 -0.388885 -0.265956 -0.33676 0.383473 0.419739 0.388916 -0.532255 -0.748438 -0.407205 -0.287738 -0.402622 0.389832 0.444534 0.58207 -0.436819 -0.489052 -0.37493 -0.0628268 -0.191408 0.437493 0.532659 0.612315 -0.493783 -0.432642 -0.407003 0.00173375 0.143964 0.478837 0.550841 0.579382 -0.441483 -0.689793 -0.324594 -0.170665 -0.311911 0.315389 0.335296 0.378538 -0.461654 -0.708096 -0.351811 -0.202723 -0.27717 0.340472 0.39756 0.499639 1.02115 0.672932 0.945635 0.903716 0.71625 -0.840333 -0.674419 -0.522053 1.10109 0.668928 0.992729 0.957514 0.614072 -0.893157 -0.922349 -0.424549 -0.363367 -0.653829 -0.302712 -0.294018 -0.404736 0.296369 0.341658 0.502384 -0.44315 -0.717598 -0.346603 -0.244911 -0.116117 0.339674 0.394663 0.544558 -0.398598 -0.463524 -0.316921 -0.0485521
10	-0.373717 -0.555996 -0.464746 -0.488272 -0.340047 0.362479 0.291495 0.184245 -0.751182 -0.8697 -0.79568 -0.791539 -0.69016 0.707555 0.519395 0.306028 1.16063 0.359734 0.48707 -0.021956 -0.0937254 -0.462438 -0.486451 -0.669601 1.31772 0.461229 0.575759 0.0331416 0.205833 -0.551857 -0.512894 -0.743926 1.22596 0.949216 0.364559 -0.110244 -0.634913 -1.24318 -1.18101 -1.07597 1.08658 1.03926 0.270058 -0.293215 -0.579358 -1.14273 -1.17288 -0.374676 0.869405 0.23659 0.300344 -0.206399 -0.246062 -0.265132 -0.346066 -0.439087 1.0014 0.330352 0.353363 -0.206194 -0.219316 -0.317149 -0.291488 -0.450434 -0.525034 -0.663352 -0.571823 -0.576722 -0.539462 0.420169 0.357664 0.306016 -0.343318 -0.55008 -0.413861 -0.424923 -0.375834 0.28727 0.248264 0.245902 0.36877 -0.130212 -0.0173799 -0.276839 -0.463147 -0.02221 0.0311125 0.0883955 0.785867 0.160391 0.141399 -0.275001 -0.322114 -0.266429 -0.284518 -0.64686 1.11014 0.846108 0.273174 -0.241795
