1	-0.330037065516723 -0.1066030955728375 -0.3357536514370818 -0.3363851142358762 -0.3653410963265417 0.3089945717019371 0.3524904512206868 0.3540106129530499 -0.3521040662823844 -0.1576780253919388 -0.391809406857656 -0.3768518446191828 -0.3890442820242905 0.3842779328062642 0.4078116745026543 0.3773850205729956 -0.9742845656110124 -0.8923360673551273 -1.016155357288125 -0.9852820916265977 -0.9950268624633526 0.9456223142419159 0.96234532148605 0.9923778216902359 -0.9860570053229138 -0.905116182063978 -1.024855339823728 -0.9988944612257254 -1.008155808249682 0.9625207248722667 0.9759836799359497 0.9994859846933914 -1.026814233977669 -1.015930475576633 -1.038353306489006 -0.8841643290208934 -0.8177278391381253 1.036659283347484 1.041836717467307 0.8627378218279794 -1.022376633041905 -1.02517809058253 -1.039663003984707 -0.8741100409674604 -0.7736421024524645 1.031812908124305 1.03712251311985 0.8198851915820007 -0.9629145513065194 -0.8990164405451112 -1.021369032142498 -0.996548372255086 -0.9945634423571511 0.9238217368445001 0.9440271033635389 0.9685000453833907 -0.9778249606370881 -0.9128645729413328 -1.028004460535453 -0.9969095256032303 -0.994760746512603 0.9335421814875715 0.9473202968466575 0.967373119333681 -0.2235694655524059 -0.08465500066808283 -0.2746503030318406 -0.2835067207899155 -0.3340397490605869 0.2711853354685809 0.3116020792770839 0.3465205285718725 -0.2672535572994083 -0.1327845782264182 -0.3151440187069134 -0.3218946833544429 -0.3643247069257806 0.3000578831730563 0.332431051245146 0.3607191017765959 -0.8808320726739802 -0.7999325561618279 -0.9454240211192478 -0.9140105998072694 -0.9178472358617976 0.8565265788061056 0.8762775139376392 0.8902576701674172 -0.9675583522016354 -0.8693353217659329 -1.028554225244357 -0.9845792017649622 -0.9894543722283364 0.9351859645830135 0.9569202621938449 0.9711424658835676 -1.016656838099946 -1.0043283969197 -1.007877783707468 -0.7911880370450233
2	-0.9565000181686066 -0.6085818540037404 -0.9058568553843855 -0.8949310521321654 -0.815329592284164 0.8902512561430854 0.893663115181951 0.7240102082317239 -0.9151762852859286 -0.6851297045255693 -0.9338130167274959 -0.9253277890488653 -0.8982393469842495 0.9415875499322912 0.9052001958121609 0.7201035449460291 -0.9453921470506771 -0.7955617056222086 -1.061013822530621 -1.066200744290468 -1.111671537262912 0.9244293558433088 0.9567102036419235 1.095843814361433 -0.9755452809925136 -0.8184681152971847 -1.081084911635997 -1.089490429547265 -1.135641515226758 0.9477017639193513 0.9731609027635503 1.105466087143932 -1.382065697779721 -1.307183668496112 -1.421459979060505 -1.342187884948716 -1.299212044104695 1.42530360624469 1.444115383535434 1.316309160039726 -1.382864643800087 -1.343187469289013 -1.451898428404227 -1.345577491971992 -1.26739187187201 1.425721545425452 1.444344827470337 1.263590901735971 -1.041843298068356 -0.9104170415522926 -1.135133598784589 -1.153289013148775 -1.176403635467623 0.9902605708997326 1.012088664311031 1.123178991058644 -1.059543256224373 -0.9278654114970756 -1.141746473711581 -1.155937459756352 -1.184067767639263 0.9932980251147224 1.007141352651748 1.096467483711442 -0.8179861496437789 -0.6172755388592722 -0.8420383954357754 -0.8410085135752983 -0.8721969130726981 0.8503035996982411 0.8746227905048342 0.7840898182309227 -0.8222790692076053 -0.584866106828979 -0.8458103504629293 -0.8494968745641788 -0.8732722254014175 0.8331891342150383 0.8609555429278423 0.8016783105529082 -0.7839779883294489 -0.622127786440266 -0.9190498256870587 -0.9099455563760145 -0.9542390348159417 0.7995187473794281 0.8288467125384975 0.9193802112040368 -0.9875611621682956 -0.8043349955751198 -1.122122647459544 -1.100032294935253 -1.151794249053175 0.9717599297580273 1.012641283929479 1.118144985921551 -1.404462963942825 -1.326383920223897 -1.44884652895085 -1.282022376875862
3	1.969074862765877 1.186138494206859 1.791063073956768 1.787651454927824 1.738646580871426 -1.709894263849214 -1.806283682061979 -1.60949334540768 1.803851857350092 1.270009587229862 1.781521679334366 1.781864218909743 1.805151566185987 -1.752561575004809 -1.807117127273639 -1.589778665765353 0.02635530727696427 -0.1450228093379 0.1168152054038224 0.2115356771924036 0.2856300013389279 -0.2139633190851085 -0.2510668335760747 -0.3942350945088631 -0.001148383329942434 -0.1670568759154457 0.07613747179970325 0.172554881946296 0.2452173028578178 -0.1820532945828074 -0.2131112899260014 -0.3850194656388857 0.4298764768067893 0.2977422430107992 0.4645193618089479 0.6841571806912863 0.6938422126586137 -0.4298730961882306 -0.4034282932108322 -0.5758769895946872 0.3804087606990542 0.2570005240250742 0.477895743123847 0.7429899714461805 0.7503745792509905 -0.3922546113277574 -0.3906085831764196 -0.5465516389722348 0.3646869998129127 0.1259945840525352 0.3887629060349838 0.4283686664294106 0.4896676653424185 -0.4805500323749753 -0.4820173266617989 -0.6882166076841638 0.3317307522787897 0.09275921336465173 0.3530353207360209 0.3989732940721711 0.4751270488446117 -0.4457833109454647 -0.4440866560876291 -0.629874075176583 1.757359419729297 1.310319716693396 1.754591517240644 1.754375487060792 1.789486221806048 -1.657228645667057 -1.784926117283031 -1.719125747196962 1.690324553736653 1.1881903401496 1.69309027350492 1.705697909480438 1.741185570513077 -1.575114894128576 -1.702708629386562 -1.712852615963045 0.1770193297092957 -0.06837727486952647 0.2483086921127273 0.2690890993191264 0.409831850999391 -0.3414078906520958 -0.3717738607202981 -0.6167769172054318 0.2238785356274801 -0.02493130839858207 0.2970847962290971 0.3596295781787004 0.476495606710713 -0.4034420631588749 -0.4393846707344731 -0.6620372978078054 0.4455652611770514 0.2986926954910064 0.5379928812542567 0.7617392255545687
4	-0.8843587175796637 -0.7027311787861463 -0.817582215084394 -0.799419985987912 -0.6392540847349173 0.8366625020863286 0.7744727496895978 0.5215674419901061 -0.81032721574299 -0.7516762407006937 -0.7930985397419975 -0.7982454092362671 -0.7356045688428168 0.819080838207414 0.7228326523286301 0.4880344602148298 -0.2982357949710614 -0.1804536467287139 -0.4216893749054672 -0.4571508641533025 -0.5092705824327678 0.2762829377072364 0.3028214787384321 0.4728205759154724 -0.3359483672762649 -0.2043722313369464 -0.4485843262774983 -0.4828252906211984 -0.5368528965558416 0.2968382410260351 0.3171883872587595 0.4806512849972134 -0.8907480864268283 -0.7996582702768883 -0.9357838893287888 -0.9742749879401335 -0.9874669426701146 0.948675601912741 0.9761581956155634 0.9733418735294203 -0.9040821353019325 -0.8518227421093325 -0.9819808136481755 -0.9849781617874124 -0.9843671924409945 0.9603777172408714 0.9841813048014391 0.9457199258226607 -0.426116790475166 -0.3240682615018033 -0.5006823302066095 -0.5566980139372703 -0.5889600208873477 0.376807418637818 0.3864934094653483 0.5097290336931758 -0.4402559684746945 -0.339184062503744 -0.5076363492072022 -0.5643514607290432 -0.6030741149426165 0.3738903449602587 0.3791471964616133 0.4751810764945589 -0.8213953762404428 -0.7287533125973787 -0.7960008629993048 -0.7830919471792326 -0.7651262723477028 0.8264502241510997 0.7981921058664001 0.6148066308510458 -0.7815154229396715 -0.6305446966979803 -0.758613088671238 -0.7544083391633074 -0.7346178427023644 0.7724712118966034 0.7600682797361958 0.6262218160944482 -0.1345999631449025 -0.005464614478324853 -0.2633334743645633 -0.285751266868226 -0.334853118613251 0.1695795999444367 0.1883284556747118 0.2863990207197711 -0.3499690127185826 -0.2084720548627601 -0.4821950122609344 -0.4940294831621022 -0.5570634124580335 0.3421812421338685 0.3765109099720321 0.5015506716375049 -0.9381234678054619 -0.8455658153128786 -1.009652200074082 -0.9844291103402079
5	1.299428932533363 0.8317639133801257 1.165494520282067 1.162157617818774 1.107907566184896 -1.119889476985868 -1.167262770423195 -1.015935184301355 1.166791168347625 0.8698975172979446 1.131217658716027 1.138722297764841 1.147895108209082 -1.114583180954927 -1.140021521992825 -0.9895032868403311 -0.4339138735672655 -0.5230195002716194 -0.3843271661605662 -0.2998574785719093 -0.2491094016819131 0.2848756537327674 0.2650686279311327 0.1701824145423181 -0.4582877179116311 -0.5443298249746219 -0.417136350149622 -0.3338039812444333 -0.2838064110914182 0.3154095038601283 0.2986334913947149 0.1799990451360601 -0.1477295784167074 -0.2412537614608223 -0.126675879558533 0.107029908939314 0.1459868778267163 0.1506106711296948 0.1714036952228848 -0.03860489496437237 -0.1811025961094007 -0.2735872680235263 -0.1161625960906004 0.1548174245192638 0.2078249629351671 0.1752430733396149 0.178219994147069 -0.03680536600412108 -0.179086808060596 -0.3251094952618744 -0.1870459209660954 -0.1448002294091228 -0.09838488615883284 0.07800045502096946 0.0862228933247336 -0.0555860153515876 -0.2096350424550258 -0.3553260122331635 -0.2159010319223295 -0.1660624575454519 -0.1085916453977173 0.1079275975585765 0.1155331724649622 -0.01272145731735332 1.194386481867453 0.9330819609815585 1.16735634373118 1.16259808857135 1.163540443617903 -1.099301310784775 -1.171900959220013 -1.101917513382831 1.123788960681907 0.8185966895884341 1.102364561796136 1.108178915536569 1.113182877265283 -1.024354650298782 -1.101186051754554 -1.090982562942924 -0.2853236966064707 -0.4289821705437215 -0.2602631218845707 -0.2295877012303382 -0.1277732909300107 0.1534376850035617 0.1401967483850938 -0.0339658538103449 -0.285809473722464 -0.4241075157842851 -0.2575438163622534 -0.1909338546430992 -0.1065047470372893 0.1404092457056283 0.1235811089229238 -0.0350849104780399 -0.1300613337114374 -0.2336388253256157 -0.05662209995524923 0.2077475139957229
6	-0.7905782509693686 -0.6591452905569861 -0.7200408233420164 -0.7032021588085251 -0.5465906327028267 0.7419422943725349 0.6764156193163363 0.4373619876553416 -0.7089708643454341 -0.6915777963230799 -0.6799981675574224 -0.6893237131080652 -0.6297472894415427 0.7045930522539802 0.61242449814589 0.3987724922411477 0.03016240125151617 0.119514497103131 -0.07306043408967079 -0.1191591726269422 -0.1668409395082711 -0.03261480245169877 -0.01201127797748293 0.139546532546911 0.000838196845642826 0.102773798316915 -0.09291457917608018 -0.136459912683386 -0.1859579025891347 -0.02065613705449203 -0.004936021945261885 0.1440289785344376 -0.5098727401226847 -0.4245122940860057 -0.548761803073312 -0.6415648172529427 -0.6745827298998821 0.559403474477208 0.5815348041634051 0.6424046839807479 -0.5210881507918927 -0.4671320241467151 -0.5909031287779358 -0.6570912345491327 -0.6880262404880085 0.5698066682995614 0.5896926174223797 0.6292756350789078 -0.104934249365976 -0.02118607529243182 -0.1555982873292176 -0.2159553533155219 -0.2486625942894675 0.07759897485226766 0.08019359340523616 0.1939112046111228 -0.1116372168314317 -0.02909216607087933 -0.1582178702154297 -0.2214451385507086 -0.2607478138372488 0.07034553945651027 0.07076765193847273 0.1602291146932271 -0.7567437292471716 -0.6952567226092092 -0.717726878402914 -0.7032529045980328 -0.6728833692731848 0.7419845914148391 0.7096471442476913 0.5293405412843701 -0.7039293151073319 -0.5855942445108271 -0.6684172647398424 -0.6630844109878566 -0.6335881111765737 0.6802740844176772 0.6648184057141493 0.5350129938486624 0.1428290103141093 0.2462005052132857 0.0427359301504865 0.01169480708000997 -0.03813035025381416 -0.09601493278385778 -0.0837297430368716 0.01217412800154754 -0.0279257579455632 0.08145177823448556 -0.1323918972393197 -0.1596327930118658 -0.2206897332875476 0.0391137956095245 0.06518272012665785 0.1844696028539803 -0.5567452017533067 -0.4698256060090336 -0.628628253645094 -0.6831623057619127
7	0.2261965338082849 0.2157050692381813 0.1767924079667195 0.1750563787095959 0.1359154325847715 -0.1794695444290875 -0.1658106389029753 -0.1113225215244831 0.1663017354347966 0.1951402214645124 0.1278548718767218 0.1403477830883182 0.1346476462110298 -0.1275612697312476 -0.1194203958543957 -0.08659308040370008 -0.7884041510901184 -0.7651945891310451 -0.7982094513456004 -0.7490365984933675 -0.7379241960488845 0.7196904755449876 0.7238553454125698 0.710118451343095 -0.8039674668941005 -0.7805508876201289 -0.8146798675808437 -0.7691600176514087 -0.7579575335235283 0.7409061454046879 0.7439920059353047 0.7180371869446156 -0.7208583985356606 -0.7459762338211827 -0.7209642096682806 -0.5399513941299263 -0.4826834695998503 0.7277196647641974 0.7378205023759382 0.5486775933297232 -0.7289518036030334 -0.7623736564579903 -0.7178038950345701 -0.5171515577241185 -0.4327526027040742 0.7326308754266619 0.7368896343079988 0.5211578956800074 -0.6940701447625112 -0.7017340584678249 -0.734694717815212 -0.7034605147664859 -0.6862369113125172 0.6348056652622507 0.6508576092051941 0.6182217674077261 -0.7140422344025694 -0.7208796539731719 -0.7486891502575238 -0.710741058307253 -0.6896333702424708 0.6513138546335079 0.6629442440671639 0.6322163909278952 0.2609305751113023 0.2644999642900152 0.217711390232087 0.2101007903661911 0.1766997727631443 -0.197538613237509 -0.1947471302246281 -0.1461245596885759 0.2078600082636001 0.1931350282271558 0.1686628394596133 0.1660872201037832 0.139402174998835 -0.1526811148865188 -0.1568169034900993 -0.1331670887564802 -0.6784157489451078 -0.6743066938425404 -0.7114533209822467 -0.6800911821453427 -0.647980821465498 0.617715862009043 0.626174838867957 0.5760130435746019 -0.7337468583015971 -0.7164858261026281 -0.763286787342709 -0.711666713305666 -0.6859182998655819 0.6636360185723164 0.6720378616445891 0.6269339472470887 -0.7076811508491214 -0.7352255674602515 -0.6764650752737098 -0.4444165821798955
8	-0.8934404280672646 -0.5751118991589371 -0.8408087173579276 -0.8310220761650005 -0.7564298309640352 0.8260833970014729 0.8292301802554635 0.6718131972122143 -0.8480257618627316 -0.641152014618338 -0.8597409814062125 -0.8536946252240555 -0.8298226614124369 0.8660013071474691 0.8342806554680706 0.6653792713523348 -0.7402986562242354 -0.6090613271592309 -0.8417366687179172 -0.8532272516709364 -0.8954050791631558 0.732669747774601 0.7610385454388722 0.8864647200614771 -0.7644654276500816 -0.6270168875716088 -0.8567763169845791 -0.8707095768223864 -0.9134666484236565 0.7501394911269024 0.7725656327900223 0.8938485786068908 -1.135819400604823 -1.065446745707386 -1.170797791808604 -1.124999437693823 -1.093859967692395 1.172826862501888 1.187702368513711 1.099601721929603 -1.13479091931194 -1.094404636391694 -1.197946937784785 -1.131442373278499 -1.072466594947463 1.172014192822824 1.187784212337518 1.056057477912154 -0.840551468454677 -0.720878198497699 -0.9180077058269189 -0.9379297144317419 -0.9610320074100215 0.8039323751095697 0.8212734022111549 0.925345678343643 -0.85327282288269 -0.7334648456382676 -0.9216501480408208 -0.9389481491303342 -0.9671059870939062 0.8041964951531713 0.8149916606525689 0.89950407005369 -0.7726444945086869 -0.5901279082041574 -0.7889050455411617 -0.7871757310400586 -0.8113819686470778 0.7922636706685159 0.8153816364653413 0.7299274868401328 -0.7694820504555366 -0.5519892448297629 -0.7858192318661449 -0.7889743320934478 -0.8074436774980612 0.7710432275716367 0.7979214940080128 0.74377020475414 -0.6138857186348058 -0.4688117578187492 -0.7294553611551474 -0.7252674400696194 -0.7698388699850901 0.636861488930464 0.662070352947095 0.7507613831563713 -0.7864358802251641 -0.6240674431514868 -0.9019725355145011 -0.8893610094543886 -0.939353676562146 0.7833276386997885 0.818725891478761 0.9195559238991167 -1.157074788799243 -1.08339479018374 -1.200800256288371 -1.084169132367126
9	0.8105452902786875 0.560820191436788 0.715650780771528 0.7121352084788056 0.6570875115301141 -0.6951176368235125 -0.7088307990916025 -0.5925195018614586 0.7108011699500697 0.5726392518435459 0.673308318767406 0.683432040845134 0.6818238187834085 -0.666245368225703 -0.669766614532211 -0.56538972885552 -0.5847737049318799 -0.6246606357020237 -0.5578852821951927 -0.4896413352378957 -0.4559129598461591 0.4777805632144698 0.4684110453405452 0.4047890559730773 -0.6025021648168176 -0.6415084785635506 -0.580881170489444 -0.5150514513751512 -0.4815511059778482 0.5022905702670751 0.4942568169348593 0.4131358767549234 -0.3758051184780286 -0.4399470559909995 -0.3628206519615326 -0.1554125190886091 -0.1072902911930596 0.3774077566008008 0.3912444988288186 0.1940400829841129 -0.3957542959722538 -0.4612816500491126 -0.3534727158988156 -0.1197591146026815 -0.05214993318345321 0.3915132738496208 0.3937714770131394 0.1830755224403031 -0.4040157638032316 -0.4866121613050168 -0.4236732124839714 -0.3842111847416171 -0.3507747474534928 0.3271797878254649 0.3385803215534264 0.2447905070634718 -0.4282803951745544 -0.5102547910637305 -0.4445755969941594 -0.3980002331803493 -0.3567730702595528 0.3503844457188745 0.359568247576328 0.2750004483360827 0.7712759066040511 0.6368158967450982 0.7353005386945819 0.7285031709331932 0.7117457950749964 -0.6930144476551734 -0.7265328247547047 -0.6577050186068835 0.70785424075917 0.5392743947971569 0.6767844155453773 0.6782183688901368 0.6666649476756217 -0.6306309297052682 -0.6705119050304887 -0.6465433367959161 -0.4657095286186311 -0.5428809703231305 -0.4621359707633671 -0.4302614421122472 -0.3608640062574019 0.3680947395160336 0.3645357467539052 0.2473702863468811 -0.4810403360143364 -0.5498044886466229 -0.4739658836355621 -0.4147899162134336 -0.3564448700002465 0.374415517815046 0.3681735690659262 0.2597629679041546 -0.3579309006045355 -0.4283778234238333 -0.3019746542117188 -0.05785797184885769
10	-0.5869605020824057 -0.3013518270026511 -0.5155750999338451 -0.5222798402794386 -0.5627364321581073 0.4686477470572934 0.5397685032748939 0.5499428943326196 -0.5209874824720188 -0.3084678321767301 -0.5033218468655971 -0.5060048717302709 -0.5458855532127077 0.4765375931040953 0.5469774803704909 0.5472023087940496 0.4563184997311311 0.4696723652156233 0.4787448918270369 0.4314210112437332 0.4176448892723721 -0.3284120288318777 -0.3256876152310709 -0.3366642817999698 0.4944519266525361 0.4982671098199892 0.5181222364344132 0.4708712632038513 0.458686789887241 -0.3624048442137455 -0.359034639847937 -0.3481517029129234 0.5319004369745955 0.5595460019671672 0.5378902881449512 0.3791730539862095 0.3578505528200421 -0.5634924671806149 -0.5938161145721245 -0.4336556813977985 0.5653019995981635 0.6114876999407092 0.5532243137026875 0.347297680875139 0.309173563791223 -0.5891642188814838 -0.6035119059457634 -0.4226536568654193 0.3209448118915789 0.3866266681515935 0.3631065554057413 0.3594574108464133 0.3393973192900531 -0.2173349679593257 -0.2279806268492203 -0.178103496410934 0.3517386249972601 0.4177025027108654 0.3892131083300009 0.380176182812674 0.3546977568468919 -0.2390996902623544 -0.2472473914171773 -0.1943108217756523 -0.5318897123512605 -0.3671996415880833 -0.5256295427816419 -0.5288508074836669 -0.5408693071595213 0.4560722730735969 0.529602542251613 0.5697760201200101 -0.4983197523054675 -0.3290393787454838 -0.4950824915038472 -0.5021104545443086 -0.5179457373841265 0.4256937742734579 0.4941083179377684 0.5558545431659435 0.2587243253741929 0.3093346789468305 0.302321534345098 0.2908520188741085 0.2354012787046112 -0.1734040169014337 -0.1717507718070969 -0.08381674810706484 0.3660562169987285 0.4067934074469987 0.4090578510306667 0.364265167035829 0.3296617608311072 -0.2484429436998335 -0.2518659056872687 -0.1900063797904762 0.5426500245509553 0.5775484234623125 0.5216475415514217 0.3085521084809871
