1	2.219910203855258 -0.3023307175643718 1.611221124577819 1.967868538810439 0.4065662815686472 1.535340759131145 0.6525057936266825 0.852300773969289 1.146407915237876 0.9561252044187327 1.84700832200404 -0.9209964043384311 -0.06239840015890344 1.647589241820199 1.035126406817536 1.061084687656376 1.841177367342091 1.841243461024211 1.216427654097366 0.3498253541051632
2	2.023453226619298 -0.343389779128714 1.537434464767745 1.754822333964471 0.3590630873300559 1.332464097294256 0.5923414926606503 0.6888382889650088 1.000103543854116 0.8332546122308039 1.637344139034434 -0.9133752383026865 -0.130936984288844 1.45144876644283 0.8570015169854148 0.8864267139563959 1.642921052073286 1.641674981716578 1.035466333320765 0.2429610262852027
3	1.75896218499562 -0.5930699872438726 1.652603323973739 1.333983714958606 0.3027358739069644 0.8842824837268707 0.4943388573095001 0.24000252916381 0.7315674229211334 0.6008104340505863 1.237486671901986 -1.017161567465617 -0.3389766380003686 1.024606944160336 0.3810158252648591 0.4559205338801776 1.256750972113391 1.260842647864407 0.6023093502567129 -0.04398288380239637
4	0.7261235689395232 -0.8857485977410346 1.35629383464647 0.1520477556960076 0.07213016695976762 -0.2447257352845743 0.1673247174137804 -0.7004109219400939 -0.04328077730558738 -0.05473719697242675 0.09464857616429458 -0.9834015083933415 -0.7067743627675128 -0.07821958861461985 -0.6440729858736998 -0.5251851080762604 0.1601855355035886 0.1644874228379507 -0.4157763844605738 -0.632790978421452
5	0.3929428741811667 -1.081467080794097 1.412759000677191 -0.3515565660902684 0.09650207509167121 -0.6604545966834109 0.02950099916494577 -1.067959190510082 -0.1976378756443534 -0.2017203557058195 -0.3006060441452531 -0.8040424668466429 -0.6606814094816906 -0.56190673936045 -1.070212023108887 -0.8592461458170183 -0.2976990258500686 -0.2643349357021692 -0.7948712059338913 -0.7235513909259321
6	0.2064415964538255 -0.7381579799709302 0.9084349610042277 -0.2740419549592862 0.007100660981132429 -0.5210958559918835 0.01307948387842201 -0.7902905567175944 -0.2368852686386881 -0.2173037579358019 -0.2791404620325035 -0.6430023502768577 -0.5676851723627366 -0.4146825915274024 -0.783415093637323 -0.6669211261412326 -0.2384065880156115 -0.2280788934260071 -0.6088293805522698 -0.5973712387558303
7	0.2651967276146628 -0.4525852000421858 0.6027228767210818 0.01225208931847811 -0.05113493555811979 -0.2401825829553753 0.07026041568469904 -0.4556333131053387 -0.1790538869136582 -0.1510680403426468 -0.07371721161483838 -0.6333489090578451 -0.530993096603315 -0.09912039000961617 -0.4161051283633171 -0.3948914315119643 0.01588802265338005 0.0001518096387884175 -0.3195821053928679 -0.477407035965288
8	-0.2151439958716084 -0.3844611041109428 0.2243086120695279 -0.3767596675369171 -0.2022837082421895 -0.5963716498185972 -0.05507276527046669 -0.6734830164253552 -0.5145399971378388 -0.4231684470906306 -0.4948119080853701 -0.5841175509417956 -0.665635009576506 -0.424675666276345 -0.6551702313596875 -0.67781695815284 -0.3528960834451277 -0.3855745574887308 -0.6121512358282517 -0.6667118168595122
9	-0.5254711946569334 -0.3417683893441189 0.01273884356043881 -0.6699899152959755 -0.2258506498914152 -0.7966763736672505 -0.15449320126989 -0.772800337078446 -0.6279762392221799 -0.521770486850165 -0.7405709747694317 -0.375090515433646 -0.5776246372289323 -0.6697737311869552 -0.7896554024620726 -0.796138076486776 -0.6247646839794384 -0.6485866834761103 -0.7648934922280131 -0.6542911752709774
10	-0.01028003894970696 -0.1662294642699255 0.1268273981533505 -0.05861116054810597 -0.1145945248905171 -0.208003210842888 0.01185650718175725 -0.2704584126999561 -0.2342599390705913 -0.1873300965775784 -0.1535950569350704 -0.3808793950344809 -0.3827727336411881 -0.09374257416255789 -0.2431944262173115 -0.2793805826019066 -0.05850182610632969 -0.08420579826940819 -0.2295803292207326 -0.3436314223266061
