1	-0.61626 0.122872 0.0141759 0.0793932 -0.0510414 0.340263 -0.0510414 0.16635 -0.159737 -0.485824 -0.246694 0.120697 0.209828 0.379394 -0.203216 0.209828 0.425046 -0.398868 -0.246694 0.144611 -0.159737 -0.531477 -0.246694 6.40549 -0.594521 -0.0945202 -0.531478 -0.398868 -0.227129 -0.703217 -0.553216 -0.35539 -0.381477 -0.0945198 -0.637999 -0.333651 -0.137999 0.0141756 -0.181477 -0.531477 -0.35539 -0.0727813 0.142437 -0.442347 -0.137998 0.533742 0.101132 0.753308
2	0.296784 0.40548 0.294611 0.470698 0.318524 0.251133 0.644611 0.859829 0.470698 0.185915 0.425046 0.403307 0.0576544 0.275045 0.0772197 -0.0749549 0.0576542 -0.0510417 0.122872 -0.118433 0.275046 0.0793932 0.0533061 0.270698 -0.072781 0.251133 5.77505 10.4707 5.9707 5.85983 4.16635 0.16635 6.44897 10.1011 5.34027 5.09896 0.0576539 8.97071 4.86201 6.53592 1.90548 -0.0314766 0.644611 10.4707 0.40548 5.4707 4.79679 5.40549
3	4.64462 4.62288 4.79462 -0.0945202 0.0576542 4.27505 5.6207 0.185915 0.231567 0.207654 0.275045 0.0793932 0.492437 -0.0553895 0.185915 0.492437 -0.377129 0.16635 0.209829 -0.224955 6.99245 0.644611 0.338089 -0.116259 0.142437 0.270698 -0.118433 5.40549 0.709829 5.88375 0.209828 5.44896 5.40549 5.85983 5.14462 4.66636 -0.116259 4.94679 5.64462 2.10113 9.90549 5.34027 10.2316 -0.203216 4.88375 -1.20539 -1.89887 10.8403
4	5.10114 4.5794 5.05766 5.38157 5.44896 0.446785 -0.268433 0.57722 0.0576542 -0.118433 -0.224955 -0.292346 0.0576541 -0.0314761 0.188089 -0.420607 -0.333651 -0.401042 6.92723 0.188089 0.185915 0.120698 -0.224955 0.0576539 -0.137998 -0.0510419 -0.181477 5.01418 -0.268433 9.77506 0.403306 0.231567 5.20983 10.6011 5.64244 10.4272 5.53592 3.99244 5.86201 0.207654 0.270698 4.99244 0.251132 5.79679 6.73157 5.99244 0.688089 0.751133
5	0.883742 5.84027 10.9707 1.68809 7.20984 0.42722 0.968525 5.5794 0.57722 0.794611 0.644611 0.16635 0.775046 0.0772197 0.188089 -0.137999 -0.618434 -0.377129 -0.00756355 -0.681477 -0.00973747 0.251132 -0.531477 -0.335825 -0.444521 -0.227129 6.14462 0.379393 5.94896 4.99244 4.99244 11.9924 7.97071 5.79679 12.3185 6.10114 10.7533 0.403306 5.73157 0.622872 5.62288 9.64462 -1.40104 4.75331 4.92722 0.101132 7.51418 9.73158
6	11.2294 0.753307 0.16635 5.79679 0.122871 5.84027 5.01418 4.79462 -0.072781 -0.0945202 0.0359148 0.120697 -0.811912 0.383741 0.0337408 0.0793931 -0.811912 5.20983 0.16635 0.101132 -0.746695 -0.0945202 0.0576539 -0.420607 -0.0314766 -0.181477 0.0576539 -0.703217 0.162002 0.122871 -0.661912 -0.159738 -0.246694 0.0337408 -0.985826 -0.311912 -0.118433 -0.246694 -0.661912 -0.61626 0.0359148 -0.181477 -0.0945202 0.318524 0.275045 -0.0293027 0.42722 0.970698
7	0.92722 1.012 0.818524 0.881568 0.601133 0.514176 -0.246694 0.253306 -0.181477 0.0533061 -0.224955 -0.20539 -0.00756355 -0.509738 -0.116259 -0.248868 -0.637999 -0.61626 -0.442347 0.188089 -0.224955 -0.118433 -0.181477 -0.401042 -0.987999 -1.64017 -2.55104 -1.98583 -0.248868 -0.724956 -0.724956 -0.594521 -0.833651 -0.707564 -0.833651 -0.618434 -0.574955 -0.81626 -0.529303 -0.227129 -0.724956 -0.464086 -0.398868 0.296785 -0.422781 0.188089 0.16635 0.0359148
8	-0.333651 -0.833651 -0.0749549 -0.137998 -0.140172 0.0576539 -0.357564 -0.268433 -0.246694 0.231567 -0.442347 -0.072781 0.362002 -0.444521 -0.224955 -0.0749549 0.101132 -0.183651 -0.377129 -0.333651 -0.833651 -0.485825 5.99244 -0.381477 -0.46626 -0.659738 -0.377129 -0.00973747 -0.292346 12.0555 4.18809 11.2968 5.38375 4.34027 7.44897 10.362 5.53375 5.40331 8.6881 8.51419 10.1664 5.81853 9.36201 -1.07496 6.16636 9.64462 5.27505 -0.00756355
9	-0.224955 10.5794 4.31853 -0.681477 -0.442347 -0.224955 -0.381477 -0.311912 -1.0293 -1.05322 -0.703217 -0.224955 -0.0945202 0.0772191 0.207654 0.209828 0.229393 -0.0945202 -0.00973747 0.383741 -0.181477 -1.29235 -0.833651 -2.22496 -1.57278 -0.183651 -0.137998 -0.116259 -0.401042 3.34027 -1.57278 3.77505 7.34027 6.42723 3.55548 0.231567 6.42288 4.49244 0.535915 10.2968 0.209828 6.09679 5.81853 9.84027 9.62288 1.81853 9.81853 5.40549
10	4.99244 0.275045 6.27505 10.1446 -0.118433 -0.618434 -1.07278 -0.61626 4.40548 -0.0749549 0.253306 -0.507564 -0.724956 -0.659738 -0.574955 -0.116259 -0.181477 -0.724956 -0.490173 -0.485825 4.94896 -0.164085 -0.574955 -0.268433 -0.140172 -0.661912 -0.659738 -0.724956 4.92505 11.1207 10.7098 3.42722 5.20983 0.338089 5.81853 5.42723 4.01201 4.18809 4.09896 9.44897 3.86201 4.88375 10.1446 -0.224955 -0.0510419 5.81853 -0.203216 5.55766
