1	0.02544947115718456 0.04832348530413969 0.05364148576917648 0.08920703604952096 0.09992784864263236 0.1192797468266718 0.1237230127776767 0.1173649754706401 0.11919076036571 0.125327182440739 0.1225140168632335 0.1181618143785388 0.1089094501585493 0.1152395822937933 0.09133856179503359 0.09778384193905511 0.1000241641356598 0.1073892504825765 0.09266050052428187 0.1059912903044378 0.1004223480195764 0.09279641521755964 0.09505870343130175 0.09281480092453298 0.08337567587703727 0.0790844770407248 0.03488522873992791 0.03414126504568839 -0.001377219726059717 -0.01999874570305216 -0.02510382861467202 -0.05013132146571186 -0.07206947439934212 -0.1029085386690875 -0.1090688774041614 -0.1190685747730123 -0.1373625519076298 -0.1462375479172896 -0.133253563034425 -0.1414852023289562 -0.164924787066675 -0.1764740713199596 -0.1852096608770194 -0.1754750754539882 -0.1821635521698358 -0.1898535714549883 -0.1795976936447335 -0.1668056294674453
2	0.2340006961749439 -0.01134210916185905 -0.1303979888032046 -0.4727048776454315 -0.432216899460665 -0.6752900193265843 -0.4988620005392747 -0.2726072571467262 -0.1638930051495779 -0.1837264873640268 -0.03634902841454102 0.2076441497605032 0.4161461976409333 0.3941271970831557 1.102184443793809 1.154659627675468 1.249105515151573 1.296509024545619 1.694869470902142 1.428504052896121 1.464571314314951 1.692811477998584 1.792810301943566 1.961144759263634 2.117849641947079 2.197478118651263 2.84046527042591 3.084511806023119 3.577658026859747 3.856059722947419 4.051991231706253 4.463104108669221 4.503698510266948 4.968406774708432 4.776899458332555 4.758242907413636 4.816670243234482 5.0621346336861 4.754343632681618 4.811187045998739 4.968664291648526 4.83358374527459 4.878253761132589 4.580678886269856 4.512958551173099 4.588267351703563 4.368546599228879 3.996357158168171
3	2.569298145064143 2.284517665536517 2.21617592628531 1.728624254233488 1.630908574655875 1.35535905014486 1.254388819434323 1.288239595291875 1.203536495971148 1.142727039726197 1.184091759739629 1.213082920076917 1.266021117782575 1.114761956328962 1.385386135913757 1.231506376022677 1.203085961391164 1.118628194950587 1.28799825540773 1.126157706401192 1.243510193022769 1.328551405622359 1.236014039240937 1.250159511033265 1.39322039922805 1.384194755539667 1.927644574909664 1.869691272168195 2.247379904335858 2.506160278551727 2.547549601447557 2.789715037439861 3.154762887124031 3.58804876071274 3.793865494514737 4.007947206238564 4.370939375383264 4.460340855632369 4.346193918946972 4.4070498868643 4.71663765441139 4.946802731020658 5.055319668147105 5.030620579536575 5.134346675620937 5.195460958693196 4.966180720336084 4.8483041888002
4	2.503479578992584 2.215360911379503 2.146553893638158 1.654572944957283 1.553882021743722 1.276379734517006 1.174745854829263 1.209785904334487 1.125551693902071 1.063325392719775 1.104465278041597 1.133766672924702 1.188878128255018 1.038002269426932 1.31073259745654 1.156918509371814 1.127672931931638 1.041446802666326 1.21222395311946 1.048882516180242 1.16615239065215 1.251882699192877 1.159817682933305 1.173956935414314 1.317626601857274 1.310379473959354 1.859695469615059 1.802231773969353 2.185961305677464 2.446561727705127 2.488549621530057 2.735195840041286 3.102373604314767 3.538559967552375 3.743701811935413 3.957923915071293 4.321370201105903 4.411858966550099 4.295555157690594 4.358611915362083 4.671655234710392 4.902825279038189 5.012832777948977 4.98553965910734 5.090416525924577 5.153402853915328 4.925206884468222 4.805614161130232
5	3.126254000061045 2.745926046168531 2.650598233210936 2.0074650246308 1.883548896860049 1.517164204877038 1.403266247517063 1.464796141447746 1.36789333052643 1.288037922124531 1.350675144809607 1.406070270129349 1.491700050993496 1.301420633385583 1.697397296448999 1.50901863776978 1.47935518418057 1.374488027259712 1.619033368537397 1.393835744005125 1.543255832940011 1.668169950256444 1.560807131359608 1.59134633883613 1.783246942077299 1.780890614718023 2.519213761141415 2.466140256632884 2.985947751344923 3.333840424792803 3.401537170998506 3.743048847448896 4.206211256891929 4.788356373572404 5.030109797060174 5.296709288965825 5.755973327970055 5.888295914592311 5.718543345898443 5.80254084206125 6.207379419288211 6.486594657643878 6.628143101022292 6.570361302658513 6.696789288436833 6.781992532818358 6.48014279772251 6.301514242517339
6	2.964193742408453 2.967233338172935 3.027119429157877 2.939108317689029 2.828682220673104 2.825035055174904 2.547718884902807 2.335114902576997 2.133217198984947 2.106970267430684 1.997526971911802 1.770261759417752 1.585504331604077 1.453679087129923 0.9684593242869907 0.7598312134933169 0.6415453604114696 0.5253754210584004 0.2672904258260902 0.3968511896494799 0.4773294718559427 0.3186319113835929 0.1179262868336754 -0.04255734844472746 -0.06835561818254558 -0.1773661114901316 -0.3596024839450602 -0.6754286408042185 -0.8692973038446896 -0.9177407810592405 -1.085586390855932 -1.314313423623493 -1.013011784632533 -1.091202684234224 -0.680541963203197 -0.448948408604293 -0.1518201023025173 -0.3279306081054618 -0.1013876129866749 -0.1211575906558049 -0.009425372513560189 0.3505628044093397 0.397921549566723 0.7073878605699069 0.8699005216095617 0.8344426112724584 0.8230461538825411 1.108378036142212
7	0.6749079767478772 0.6380339100252316 0.658874326608057 0.5675942747366038 0.486709331575774 0.4612196474949526 0.3299871539188942 0.2483543959372022 0.1624298956458962 0.1353975175764631 0.08511438144521993 -0.01211362476139873 -0.07102725000538847 -0.1276700093900693 -0.3175363290505659 -0.4115460926861491 -0.4728833950914876 -0.5437426763733535 -0.6414335837623574 -0.6016146468161364 -0.5651333506168218 -0.6272772307923304 -0.7127461440460796 -0.7838044580653453 -0.787013079094015 -0.81723773682416 -0.8303130687707694 -0.9661924137990981 -0.9849352405679367 -0.9841482709598577 -1.051885520903001 -1.103988739098954 -0.9433979858351716 -0.9422929766694397 -0.764194307317411 -0.6570459158295651 -0.5155384011860585 -0.5812584359477621 -0.5044901347515237 -0.4898224748806923 -0.4004862205826406 -0.2272829076360536 -0.1894662625692324 -0.07915910777876263 0.00618529126936763 0.01052251281221217 0.01341508912525585 0.1207344106496104
8	0.203764124195656 -0.2549980736845988 -0.4268050356595372 -1.101886416339704 -1.15164611565836 -1.579184613281848 -1.436270317514311 -1.145920858135645 -1.051962459337394 -1.125840219235289 -0.9461480126415508 -0.65360418608395 -0.3574344903687107 -0.4408834955440799 0.510305944946542 0.5038625547912843 0.5830996738548236 0.5683539949275189 1.114871042651026 0.718423247708271 0.808345752925125 1.114190217382047 1.195013609543295 1.390385316583296 1.6394574660932 1.756794735105957 2.819903603087454 3.07804848540151 3.903928720487886 4.361581914935069 4.610566299246326 5.257693160950731 5.499381238755815 6.261422639903403 6.123114331075485 6.197341358066525 6.428355031069215 6.762554347448642 6.328480169130752 6.45797106857937 6.830728375032775 6.796354555673695 6.920144176300367 6.528514179155819 6.517751808606319 6.662271382669561 6.335125728190578 5.834843729405321
9	2.926370651114515 2.363248607345072 2.264640220428199 1.307315560968513 1.002840982114787 0.5004899390098224 0.2033497296385969 0.210003253731944 0.009878124768387774 -0.1465127629537704 -0.1352505840340793 -0.1734639016893068 -0.09044795632244845 -0.3686881714515086 -0.07215277705610308 -0.3977301384956952 -0.5207377182000982 -0.7640677886004896 -0.5563479274564084 -0.8091071985379139 -0.5947022198559978 -0.5031430317858505 -0.7149211266390867 -0.759799539593189 -0.5248704666384456 -0.5213691542678718 0.4619206700697704 0.2569985526492932 0.9819815407667646 1.431674126229939 1.447838463773689 1.890733310496843 2.66348220601088 3.412430169188442 3.881889735307207 4.318633761027229 5.027039898555005 5.132290058118528 4.971371843757183 5.136457405260567 5.790382005490224 6.336413723275212 6.578937703926591 6.577167391808173 6.848089068025138 6.995398012335467 6.66992188095386 6.543254115471204
10	2.045205471175132 1.728604781525416 1.641943884242522 1.121103256675951 1.029727037999501 0.7277326784632614 0.6707941213211974 0.7515477988472461 0.7002732449648698 0.6362033796305299 0.7016561831893919 0.7778922274770693 0.8762425612366657 0.7391711207685976 1.131148248226506 1.005396136184327 0.9956505569060032 0.9226244702265662 1.159302816191921 0.9555032625258171 1.066596760810684 1.191045730730732 1.131074910699475 1.177526007254291 1.338722712236566 1.354399032429824 1.991627356982842 1.991459219059499 2.452088767511512 2.745744624358089 2.824541826310525 3.141624389643578 3.483032884948773 3.973792625575028 4.115018578489584 4.301915754024844 4.637890670592824 4.771392547479878 4.598766855377292 4.673704794843492 4.995127545845765 5.176558674133344 5.288302801959626 5.195265159510644 5.278648770844212 5.356124040532054 5.112963468036916 4.925944157979373
