1	0.2869557933297587 0.2831756179004132 0.2628434871242994 0.2229551387975414 0.2005092379306029 0.1501779757944237 0.09322208098492409 0.06948479226777624 0.0395357013336492 -0.007439988422693738 -0.05167372733823665 -0.07815011871987687 -0.07815071711360752 -0.09094768309671003 -0.1321091866577344 -0.1659047814416341 -0.182025592069836 -0.1825015310035982 -0.1933013007140744 -0.1940414674987986 -0.192710832244926 -0.209350648883116 -0.2174915616824883 -0.2170624275585989 -0.2250705367880756 -0.2328996379063241 -0.2386408610814188 -0.2309621619434955 -0.2121709238620295 -0.2183916903286292 -0.2282233909486917 -0.2076540421785354 -0.1911734142628292 -0.1780609516322385 -0.09853285625481643 -0.03899863596314113 0.01605618326228677 0.01948037177593862 0.04492946959669521 0.0983170538868669 0.1432399797019014 0.19765297008864 0.2370983974806199 0.2553224874967108 0.2908743091768568 0.2776919833582736 0.3116719905635371 0.3224444437438446
2	1.278118290544407 1.265893121824369 1.04715186968214 0.8868122139447723 0.8557819780580198 0.7837905469351835 0.6791004502138033 0.7230780252531938 0.6165632750646903 0.4499433722622839 0.4179762460056226 0.5355752158873887 0.5596740173162422 0.552552110207202 0.6460714813287862 0.5567698977721132 0.6782330139544932 0.7294013193633867 0.6689697990567166 0.652007990293643 0.7376830352111314 0.7315817544110266 0.7025769986518634 0.7324775785048562 0.7713434931072114 0.8199404807370095 0.8144869834467949 0.9520490788079909 1.134332185696776 1.173128249288977 1.217114777000324 1.278996391902687 1.398510192416919 1.543229646161427 1.953279036283229 2.433912243311081 2.556310561131706 2.729252074303642 2.756399723823195 2.858974373449511 3.176879978101014 3.482391607924455 3.550725576319026 3.701544485288551 3.758455642928757 3.728534578612125 3.71793382730273 3.619014416649281
3	-0.5352906603621957 -0.5187850589345067 -0.5076783178771671 -0.3739631613815241 -0.3156233140246879 -0.1005577200032938 0.1308470565127259 0.2480695981010159 0.3286895869704949 0.4719624551858316 0.6817008191043976 0.858675883326816 0.8624634623445689 0.8838523612788572 1.104209945808509 1.244170380929889 1.363338415859321 1.369606959559662 1.388854426547959 1.403357454040203 1.428431154622389 1.50185539378542 1.509042346306513 1.533290425932921 1.587676440989851 1.637703279767573 1.646895551306 1.658275356272797 1.636987503169823 1.674070992121378 1.720533957862862 1.651450279834668 1.630335137368656 1.622686088410518 1.401724464991551 1.292593639442672 1.095009630087678 1.129280647914664 1.021104764295745 0.809857893762208 0.7103621492152913 0.5738217166172044 0.4061179495551332 0.3741696955095796 0.2157394078706513 0.2650556879942104 0.1045465347281108 0.02399736059558797
4	1.697789496298877 1.66674638503526 1.340390743708616 1.026691993332359 1.000851774538542 0.7783780903502888 0.5027643923709859 0.5240926033365541 0.353850406077461 0.05584350929847078 -0.1162314252160125 -0.04268504204020616 -0.001561756657139913 0.02739345681565264 0.06657814254347114 -0.1564691721912468 -0.03339170021988119 0.06039339053223977 -0.02651004484621338 -0.08315127143471304 0.03231942717026359 -0.01016022055964873 -0.02862201950898952 -0.0174684035931571 0.009757896864722088 0.06357860311971124 0.07280800523206785 0.2766724052649289 0.5593446273151435 0.6075286551226727 0.6719743383172712 0.7922974632594817 0.9639655782753059 1.18267420986645 1.902730387776214 2.683154030079109 2.942593895265183 3.201825430233375 3.294692255145121 3.551214663145333 4.082884780922934 4.597810662810389 4.79443841031026 5.037970187717206 5.219614518092841 5.152459651431468 5.213026339513442 5.096938280164046
5	0.2574693778672326 0.2561092860946368 0.2768459508424038 0.2583132152169373 0.2180339874687019 0.1627334464799836 0.1043406129233175 0.05435355793385322 0.02704572860680828 -0.009158245980759367 -0.06154294094361241 -0.1252451417553603 -0.1330832503541857 -0.1649589118682281 -0.2514355483655909 -0.2744435091180046 -0.327996319667626 -0.3469621940246074 -0.3522229902018057 -0.3422663634083268 -0.3609268361468317 -0.3851506921733292 -0.3985115649450148 -0.3988740542866062 -0.4190761420107779 -0.4442189543429377 -0.4578050008077573 -0.4806981993470814 -0.4965939934588819 -0.5177212391880548 -0.5492890288374456 -0.5316985385544657 -0.530940812805494 -0.5459298763770394 -0.5256493285411095 -0.5552147067990822 -0.4964560717601966 -0.5382370705601728 -0.5064482301622699 -0.4511512798518563 -0.4629946811980694 -0.4528975825486446 -0.4138463295089641 -0.4237419777049941 -0.3896721896020571 -0.4026908458708963 -0.3485350999448675 -0.3062186904867769
6	0.1544403134304683 0.1517309366466001 0.11628607208859 0.08792057160819117 0.08864464804034079 0.0742679081388145 0.05486310463001844 0.06307342081824598 0.04858583326714156 0.02288139547358615 0.01363047972069609 0.03004531280994861 0.0348824489550621 0.03989783978183553 0.05496323743162675 0.03672387545477842 0.05606974685650888 0.06705760434251067 0.05858023862086585 0.05263952022463542 0.06660691368811651 0.06549043766753132 0.06424087067226202 0.06630316079522634 0.07186740381106649 0.08031647772637102 0.08212225966515797 0.105265247544432 0.1354819866361403 0.1427260941237167 0.1524247879050439 0.1623017684453937 0.1799889956609192 0.2037748083436247 0.2727031065867933 0.3538444400072652 0.3726830159281432 0.4032637591674492 0.408305079261573 0.4264761880776068 0.4805725779352102 0.5307766977321653 0.5446230205594786 0.5700412932219965 0.5827821160164167 0.5777625388824588 0.5766878432806826 0.5598536628025135
7	0.8417648767735681 0.8163742826486609 0.753909314286983 0.5428060367936984 0.4750147233212746 0.179151284510489 -0.1441040510435727 -0.2810527081823176 -0.4007690138186592 -0.61691306096655 -0.9002992021390791 -1.105637237166185 -1.10297625297411 -1.11749739794028 -1.377458636692502 -1.584017109421929 -1.709606361692499 -1.700040173758492 -1.734844397242595 -1.764432490295292 -1.777214836724915 -1.872295814965751 -1.879868835509303 -1.910556825384601 -1.972876176846679 -2.024472400096082 -2.031153798528819 -2.013269193927488 -1.944331550183968 -1.980735645497682 -2.024196481901745 -1.922957904376518 -1.873564345023095 -1.831078671545839 -1.453544233999874 -1.200932217675927 -0.9247508774103851 -0.9242360371893917 -0.7790909661997146 -0.4840161756074858 -0.2811851036402124 -0.0383086445434027 0.1966195822989503 0.2728652339336544 0.4951928699680318 0.4254276305725088 0.6288314593391624 0.7076166191011666
8	-0.3313601475449123 -0.3501417662636138 -0.5539584015419633 -0.6826441144512767 -0.5420061266931575 -0.5436656716159354 -0.5604926680944166 -0.4211919718826609 -0.4095269143775358 -0.4521465061079499 -0.4504139578641472 -0.2911391386803633 -0.2437637783163732 -0.09287144011666576 0.1295581958711043 0.04059501974920414 0.2223730537192433 0.3387050832015301 0.3231107474368929 0.24076088642394 0.3405298460187516 0.3764635566121048 0.4338492091307233 0.4121655735758984 0.4655662989483625 0.5563533610367746 0.6197907690841876 0.7791659179093653 0.9576077053350147 1.040047422046403 1.171051261225222 1.184945440369596 1.247748395802008 1.390277763483261 1.708472999544366 2.181057096321452 2.154991515281074 2.402383065534201 2.377572061061362 2.383768153689672 2.689697553212872 2.916902928080757 2.94540259900316 3.094082843360935 3.134727871809437 3.132001059903835 3.038929598308293 2.875654284936249
9	2.281735218440847 2.247348842938334 1.931353010386926 1.570227816091199 1.472378393446473 1.151415554277984 0.7685218016386184 0.7115713998906159 0.4835290608246468 0.1069159185801889 -0.153977918988886 -0.172082908352755 -0.1416078061275517 -0.1682765156351106 -0.2619368692244399 -0.5315670258865491 -0.4837012214256508 -0.4166133713623044 -0.5192880337933561 -0.560227654904522 -0.466284405193513 -0.5494794108159126 -0.5943990994774739 -0.5796276957094658 -0.5813301833555286 -0.5639923343219492 -0.5787561150956797 -0.3980010679774856 -0.1219005750491679 -0.1047569740159464 -0.08860879360844431 0.0676554765922925 0.2542369311918586 0.46387658751072 1.261569354609283 2.044603307732769 2.41503201969793 2.623192685717832 2.771425870338898 3.130174728316647 3.676190150449759 4.241053368722881 4.50885608331642 4.752198374756896 4.995269694342193 4.903349662838962 5.05216490641416 4.995548183443032
10	1.203292164266817 1.192998285695503 1.016770260581938 0.8767865341127304 0.8321438506455375 0.7531362517709879 0.6453353156654811 0.663242249045186 0.5618810055815372 0.4077144604450693 0.3643091382173471 0.4415096196743622 0.4582736434011044 0.4365326423780529 0.4834603608873291 0.4024486145692512 0.4851030759191368 0.5193730694206354 0.4657891696284422 0.4572881739693238 0.5223898761771285 0.5084590518252937 0.4769096571386375 0.5037376598897666 0.529472710599992 0.5607123676413939 0.5493743164706024 0.6560249534421844 0.802941303680086 0.8271650198734222 0.8508584091411192 0.9094179289659478 1.011243538214795 1.127149570223109 1.477571501890061 1.868515839923609 1.993594938378165 2.121927571802375 2.155983116489731 2.261456784531108 2.52258774044012 2.782592129685462 2.852523368418197 2.975000248347422 3.033013159253363 3.003203068878418 3.013739377868415 2.94666006087939
