1	-1.09639153190359 -0.8030734227157547 -0.6309403145564958 -0.4824090407084549 -0.4524911441013686 -0.4379352470304164 -0.404933914492887 -0.3778873379680258 -0.3534021306205752 -0.3683146069434753 -0.362842800354228 -0.3265764755156534 -0.3200068718873124 -0.3438137400129566 -0.2844942756020554 -0.2857461672224137 -0.2925758538259446 -0.2375328260500684 -0.2091288850935751 -0.2052504796330736 -0.2355639337353948 -0.173406473569865 -0.1236676655764541 -0.1382228195844943 -0.1637419986260239 -0.1257284824997704 -0.1264850741988819 -0.1688548973629347 -0.2137839048652378 -0.1316395540445754 -0.1250466559101253 -0.1238659172263124 0.01036777531019945 0.0488881983833559 -0.03093195086780826 0.1521288447205581 0.162693993448417 0.1473155526184362 0.1413497907058898 0.02454840129292167 0.2003251925693948 0.0803224537862134 0.1541101698703235 0.2498025976764836 0.2194097908106156 0.4018326728217768 0.405149828697989 0.3363032590025047
2	0.485077078486366 0.198177037809086 0.2371673832256055 0.1030415559612346 0.1249735242779294 0.0563226561942029 0.1829502806388289 0.09681060269692029 0.09596636659844819 -0.2431439400421945 -0.4305743216033603 -0.164760653340321 -0.3121095547919951 -0.3906240307746544 -0.1546607012870066 -0.1044866545990047 -0.4027137460598134 -0.05164443422154768 0.3615274757169518 0.1247220916273536 -0.06437091772290143 0.2904254223393536 0.3925313487202616 0.4010458604723262 -0.04569102169445815 0.7476700914703077 1.013715257392473 1.397205214667609 1.543558740015349 3.117648485485561 4.81033055028669 6.370028232736251 10.39739288665797 12.10916643450907 12.5628352278119 15.7405210906821 15.27568899058902 15.17414172292355 15.69774655560084 13.56055467603701 15.08253360598438 15.99203941605226 15.53531977006147 17.75767425511715 17.4068772458494 17.26152855948298 15.38655051877744 11.75332607546957
3	8.830760249357617 6.400703301977807 5.242975135147814 3.666559797758305 3.390913749233773 3.102566893994551 3.025429773531964 2.834487810119972 2.666615408598327 2.47659255347281 2.238530605496767 2.168783911673928 1.791426618793763 2.024614299261417 1.659832289091346 1.854664880612619 1.546357704917724 1.294640789505729 1.56869184010388 1.309498518201677 1.439857064918305 1.223346379453708 0.8570088507896633 0.903623542540519 0.6929375122425178 1.107427561180904 1.107146176855836 1.753214765403818 1.913474522236983 2.363805301334152 3.853801787179163 4.363014940838863 6.844653138479206 7.641503242750822 8.83965966341534 11.52172725034499 10.7093315108388 10.8988567751897 12.23044354753419 10.25759160651418 11.66466600034767 14.27105029767015 12.77137321061647 16.0868285259401 15.81868771397637 14.17349586523083 12.3810211225145 8.606637371180716
4	7.949447185875044 5.664847338467079 4.567779881965989 3.353036872339801 3.161644525554911 2.965163428543612 2.892991599004672 2.633939962077453 2.471378445755573 2.200328480675102 1.952217236978783 1.992402996247053 1.747963774371413 1.846805369484194 1.680222878877391 1.771344570226511 1.472122244587164 1.456200815771298 1.741020599977432 1.451693510732273 1.462742804388296 1.419784043656117 1.180097925794968 1.273630783915992 0.9552428523182424 1.567021038709957 1.815733317560123 2.51857769888335 2.920998166514884 4.026192164711341 5.842457918714834 7.371637245856659 10.86036577942543 12.38982861605544 13.46286451701449 15.95258752899345 15.30933805522289 15.33407841833997 16.10948757922367 14.36849171662513 15.12195105247992 17.10301754241595 15.99949879714827 18.19426811614278 17.97845964298018 16.56167399372145 14.46600144940013 10.74155734679062
5	10.41705762167697 7.767995968738143 6.436722146963765 4.292524169368562 3.864814798432217 3.454643149814456 3.306537094349973 3.247570370971754 3.062806213759431 3.142541654714721 2.994040985772596 2.631009734875205 2.102060502264757 2.586642427307732 1.793633529511881 2.131533223628992 1.931988217224657 1.148018131211168 1.227825761793852 1.110276815320888 1.515473439520993 0.8603827547912121 0.2357835811105273 0.210549664773815 0.3588760215350894 0.1289927283854873 -0.3696398129608163 0.04762276313077043 -0.2153133405690358 -1.459665579502832 -1.168746726059841 -2.892449409398742 -3.669315742730585 -4.729080441540686 -3.488802061576092 -1.855607433969621 -2.749613004557072 -2.254634779511062 -0.2589726821201658 -1.689666853660203 0.06495735041310237 3.329431964254002 1.365349508539524 5.50793371101352 5.310434878676794 3.299004994965893 2.739460686934145 0.3802845475758697
6	6.085147794354398 4.543054572131651 3.693138327141423 2.576637483972485 2.344576326466592 2.162137230331552 2.022019122702282 1.967688203910446 1.849867496489298 1.969814909043363 1.933015278640389 1.672759049556774 1.468724122979786 1.724435231720026 1.252150565584853 1.385536335409709 1.36838983319992 0.8861053092217539 0.7962748750220601 0.7840049675053793 1.037802542187611 0.5964243992277516 0.23460501961483 0.2470588331186821 0.4329444428659633 0.1290554324517505 -0.1252992433860523 0.04957838800706143 -0.01072746406458468 -0.9525278601070712 -1.150825596764334 -2.152974130016099 -3.434689491066479 -4.251448175387412 -3.684334638791294 -3.892063748970016 -4.196731051069817 -3.946688520734425 -3.202671560505396 -3.211663717050473 -3.055313788606263 -1.662420770852059 -2.519601097809296 -1.3636863548799 -1.330768576122134 -2.44707919456782 -2.343900105161755 -2.547100472989934
7	0.5775392756986963 0.4303459338522507 0.3050017294269675 0.2873046402243379 0.2780526735508001 0.2968941954993328 0.2520070349924272 0.2315967242102988 0.2141370086158106 0.2645033299663004 0.2889540915729267 0.2401792893693108 0.2863538318533498 0.2900000749801789 0.2465017774526844 0.2181216615803883 0.2739858573435131 0.2225712593398333 0.1354819229626193 0.165137338219577 0.194905846284143 0.1247756490888221 0.09591815742010211 0.1151854060091632 0.1858228084299989 0.06717762439755035 0.07493430140159899 0.05606615109784098 0.1157168870908757 -0.0711563482320806 -0.2867287977826393 -0.3351138830895868 -0.8914486137344055 -1.051736219855605 -1.090567855390552 -1.789414564161142 -1.686954450144514 -1.692168955709153 -1.886588577894857 -1.400514631169693 -1.916810280948771 -2.101465448751089 -2.002325890977233 -2.667274416038008 -2.576022341720752 -2.644882994416816 -2.402339687874433 -1.745085539163606
8	0.2171259469319228 0.07061624858710835 0.01863769111501471 0.1125459191816189 0.1493911512411809 0.1781156591823115 0.1920141978448736 0.1177866471716793 0.1070010685948615 -0.01006896836264998 -0.06245503951585711 0.04229280379685355 0.08076586266243196 -0.001420093198357957 0.1342683955388869 0.08703083322774352 0.02674189193827904 0.213170182216238 0.2995640114173075 0.2250484740075864 0.129427409930623 0.2769906334801076 0.3457908587491349 0.3828399005215865 0.2313358982596916 0.5079219573542548 0.7132601283791866 0.8586222997612951 1.056824410161919 1.75322397144707 2.330454617228314 3.278418828319257 4.718396712437076 5.515778826404287 5.59379131904694 6.11983822578137 6.103113530796136 5.993387209258056 5.798805408127789 5.500382273622347 5.380600131318342 5.299511612738002 5.379900314525027 5.199119071630902 5.164591029973785 5.160428908930661 4.548565452910084 3.771178696427244
9	7.604754201296503 5.523179802634155 4.408320035946415 3.270327353883919 3.060955960035481 2.905434913446982 2.750678037758891 2.555488253247661 2.39487957404108 2.354565003470013 2.232710175351517 2.090772381703542 1.936653696785512 2.094944655365755 1.762109947018926 1.826321954467639 1.725271974559643 1.463466129502665 1.473563651086172 1.344664611414689 1.487608004678198 1.200798920212927 0.8882335324654298 0.9720175627069615 0.9572421030756444 1.028928501891514 1.083760668130059 1.523735002219298 1.809557042630885 1.826625547788206 2.491418438239621 2.912775507208713 3.655303042226058 3.996547188832257 4.768928671750979 5.161047629615103 4.818168098047201 4.920308255548473 5.381409143743322 5.045008826086431 4.83630632295391 6.241648576938251 5.422887078602725 6.212088930157616 6.225113791050378 4.903582399357814 4.080383257135187 2.775161406025501
10	8.895596725067616 6.53361916977559 5.255134760549967 3.801015943993154 3.517813034232935 3.301077486021933 3.110952145813584 2.942995387636544 2.761538752008242 2.803584875327775 2.696423188451509 2.44420836265661 2.215228138029949 2.476890647144732 1.965977151973001 2.090155203644418 2.008624705236991 1.541461651621912 1.496757914852081 1.399114584216523 1.648516932016332 1.188425489923229 0.7567808796676814 0.8222740333646998 0.9208237336092698 0.792915332693044 0.6805150320063134 1.091170598383218 1.253865536480424 0.711477338668286 1.061292213277902 0.7629211400917185 0.5313510854423271 0.2886257498618534 1.163555629895139 1.325446161545948 0.9043501290261201 1.123639026273516 1.88867125883152 1.640844225607165 1.596175865496422 3.403599139339217 2.32369260351682 3.56893599680566 3.59602033080093 2.014833086417354 1.497811556875378 0.4565717516299762
11	8.195024936726039 6.085046629397511 4.918834469523223 3.490661836087409 3.19833709458301 2.976506188069623 2.784846126286719 2.68093085346549 2.517948198119772 2.64783652679411 2.588523973203248 2.2716521323683 2.033608212871024 2.338725231208051 1.758026882768429 1.906250740001257 1.879441096273208 1.301521845305542 1.188524041671693 1.154851504523519 1.460709137426336 0.9163732206885727 0.4602204194304849 0.4957640935055572 0.7055378558896923 0.3720259942146901 0.116550379995176 0.3911973359071725 0.4023376077370459 -0.6332702284925332 -0.750734255167651 -1.731671085763629 -3.057156299629181 -3.885060542348309 -3.129150365506735 -3.42673808503115 -3.798538603335091 -3.513472751258684 -2.673041343412342 -2.64197963643361 -2.640744978075617 -0.9099424837274976 -1.968573535467821 -0.731285051440379 -0.6725683876391523 -2.151623525097158 -2.162379514573765 -2.504229494999103
12	9.293528217584026 6.749190231822394 5.232412955083347 4.144268793931862 3.931513975368576 3.865898974671903 3.566763853020734 3.277222109376455 3.059354239895533 3.148396700462872 3.097691845472004 2.837802684324647 2.875500115923687 2.999814267940877 2.593698927946293 2.531234285015138 2.608624018351254 2.263826293278502 2.001450085776418 1.952708100825821 2.149811759466782 1.697157694608385 1.332065735631528 1.496206862920843 1.666000280291601 1.434777333696301 1.606801831577205 2.017900496590029 2.588643315818477 2.252524621673067 2.367598374956591 3.018958891406088 2.380649909243103 2.489214681621832 3.110368573145236 1.221089887765815 1.257711335245477 1.285260557198608 0.9356120635147273 2.220476574136579 0.1271992098319735 0.7494643354260946 0.3717849799469668 -1.343780058262419 -1.021387888800616 -2.508729639885337 -2.691764481252298 -1.921190418736624
