1	-0.8642041316767231 -1.027569404896692 -1.022840891140712 -0.9592953943770016 -1.09087903805042 -1.080249365359458 -1.401064427709843 -1.164282634599412 -1.126242297987055 -1.240998243219793 -1.413809593562736 -1.325304035179079 0.3380930466456245 0.4927677469056714 0.1459308633224956 0.3262788338195214 -1.500021441952827 0.5147436194018994 -1.409786781991453 -1.377501348790632
2	-1.02184098771296 -1.090327252624944 -1.095532491423424 -0.9841904943672977 -1.134423714195335 -1.098693218690845 -1.247156359933239 -1.170429452675554 -1.187943839412367 -1.189325697453961 -1.222460258215384 -1.185898385895339 0.02128308771313883 0.1191196216965414 0.01234502542236544 0.1389495165037713 -0.4515080291730458 0.2796858105795971 -1.233394953600663 -1.208728485939864
3	-1.143177164530156 -1.147041773872048 -1.172532714774431 -1.03462667659305 -1.199569090580633 -1.14196475040554 -1.22901909011566 -1.220830625252449 -1.271098425036276 -1.211596499854287 -1.171339737866887 -1.170167093423364 0.04156214890453579 0.0985479799378419 0.1555176492691977 0.2501513039566501 0.2451572401706759 0.3578882300378469 -1.204748540837759 -1.173618361596915
4	-1.134335549941082 -1.133909861674953 -1.149371655314592 -1.005354947551301 -1.168843888773719 -1.114034046049426 -1.150033601378029 -1.180104036685072 -1.236539543691737 -1.1596879385438 -1.096665639029587 -1.097829357473776 -0.1537759255495295 -0.09797196862829959 -0.03063579115981963 0.05759374964442252 0.3046396560256997 0.1630647469425172 -1.121180255488765 -1.099464940703544
5	-1.161300148213007 -1.168442664424964 -1.169545729231859 -1.016113125523905 -1.183820797993203 -1.133447498043307 -1.125726534878584 -1.187261311585659 -1.247337663972349 -1.158587890209293 -1.080712674439504 -1.077766361697231 -0.3855724057676274 -0.3202857458548898 -0.2691764474694388 -0.1773233800661486 0.2538623225948972 -0.06246078983053371 -1.092205418733879 -1.081169935104931
6	-1.128461834173225 -1.121415297297603 -1.126439400802761 -0.9748798528529332 -1.137243405516521 -1.084852233479126 -1.062867126659217 -1.137065949880683 -1.201266442992945 -1.103511425179319 -1.013261191667533 -1.018036484874603 -0.3682027362203797 -0.3148856082088043 -0.2313112826437023 -0.1510467343472576 0.3906546550148522 -0.04901216080072781 -1.028653856537079 -1.01710473543917
7	-1.124501633207861 -1.086318309504865 -1.105859053591624 -0.9526745108066764 -1.113124615813985 -1.051484525772038 -1.02117654304846 -1.109654204025083 -1.184119186958904 -1.068478634553144 -0.955744264393948 -0.977519620187095 -0.250239099691495 -0.2208788531485882 -0.06229816177608205 -0.0008236075722402816 0.7009348928928848 0.0787386391011267 -0.9856467822508889 -0.9674054110929315
8	-1.107626428500978 -1.064920911769326 -1.088995590473713 -0.9391842499798467 -1.097005576617957 -1.033993693959108 -1.01297549227182 -1.094995028633667 -1.16899559825666 -1.055286004471007 -0.9446538646597901 -0.9688846975052119 -0.1836628315010035 -0.1591499448277051 0.009256969749501374 0.06743413709218869 0.7374821629162372 0.1418566658153763 -0.9786924674664051 -0.957530858225691
9	-1.067625688320031 -1.014260624731371 -1.036868878349148 -0.8879616188441117 -1.039560426786213 -0.9770664461447527 -0.9273246616153156 -1.03133885236544 -1.109499655781811 -0.9846093908034773 -0.858425468586368 -0.888444850084415 -0.2435867217886808 -0.2279318505574239 -0.03584945874172926 0.01130796597954692 0.8428669548834958 0.07522995549962515 -0.8912836613196674 -0.8736205824544609
10	-1.066505258657518 -0.9876117353231846 -1.009342633055401 -0.8513750007863257 -1.00171795933787 -0.9354814820804195 -0.8256318617065753 -0.9806458313568158 -1.072878670128996 -0.9165816817207503 -0.7502165504147982 -0.7941765194025896 -0.3757789690347195 -0.3769421224644065 -0.1226841463552278 -0.09417097364093759 1.118162670548136 -0.04675144979627914 -0.7835006779296383 -0.7712493119443661
