1	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.06413 -0.864023 -0.520452 -1.04302 -1.22182 -1.73945 0.790417 0.950293 -0.0142426 0.988545 -1.48752 -0.851668 -1.69463 -1.41475
2	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.08792 -0.656847 -0.507611 -0.935801 -1.20959 -1.79128 0.96132 0.902359 0.0847155 -1.31388 -0.138101 -0.161418 -1.78752 -1.18069
3	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.21423 -1.30208 -0.6081 -0.725893 -0.908997 -1.14845 -1.68763 0.695472 1.19596 0.295002 -1.27287 0.653812 -0.200861 -1.88041 -1.31072
4	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.24259 -0.803089 -0.687372 -0.828583 -1.24628 -0.910145 0.784087 0.896368 0.307372 -1.37832 0.679153 -0.845094 -1.92022 -1.36274
5	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.32587 -0.620287 -0.918493 -0.801779 -1.20959 -0.858313 0.695472 1.05815 0.0352364 -1.86459 0.7235 -1.35785 -1.89367 -1.47977
6	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -1.24151 -1.30208 -0.486232 -0.944171 -0.81518 -0.977229 -1.00085 0.644834 1.05815 -0.00805774 -1.94074 0.799524 -0.983144 -1.33635 -1.44075
7	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -1.25514 -1.29018 -0.656847 -0.725893 -0.788376 -0.512515 -1.19522 0.73978 0.980256 -0.16268 -1.43691 1.0656 -0.654454 -1.36289 -1.2457
8	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.25514 -1.195 -0.534979 -0.879973 -0.748169 -0.720413 -1.0786 0.784087 0.944304 -0.16268 -1.13226 1.05928 -0.59529 -1.28327 -1.12867
9	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.21423 -0.968959 -0.474045 -0.648851 -0.761571 -0.806019 -0.949015 0.423295 0.938311 -0.236899 -1.0561 1.12896 -0.470387 -1.09749 -0.933623
10	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.15969 -0.695322 -0.583726 -0.802933 -0.721364 -0.329074 -0.884229 -0.0387721 -0.134235 -0.0637219 -0.786606 1.10995 0.134403 -0.964797 -0.673562
11	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.11878 -0.374099 -0.364365 -0.815773 -0.734766 -0.267927 -0.780566 0.113141 -1.68013 -0.230714 -0.382365 0.850206 0.653734 -0.924984 -0.0884155
12	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.07787 -0.290819 -0.425298 -0.751572 -0.748169 -0.463597 -0.68986 0.0181952 -1.23674 -0.181235 0.0570277 0.951571 0.495962 -0.725938 -0.218448
13	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.05059 -0.397893 -0.486232 -0.469091 -0.667755 -0.280157 -0.49549 -0.0451017 -1.3386 -0.509035 -0.171456 0.698159 -0.154845 -0.65959 -0.192442
14	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -1.02332 -0.219437 -0.486232 -0.19945 -0.788376 -0.41468 -0.469575 0.467603 -1.38054 -0.410076 0.144906 0.476423 -0.0299423 -0.779017 -0.231452
15	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.00968 -0.24323 -0.522792 -0.417731 -0.801779 -0.377991 -0.547322 0.543559 -1.84791 -0.168865 0.314804 0.457417 0.357912 -0.818827 -0.166435
