1	-1.93678 -1.90056 -1.63333 -0.991784 -1.54872 -1.6699 -1.19508 -0.833605 -1.42703 -1.41958 -1.2279 -1.50621 -1.59865 -1.51908 -1.17181 -1.21566 -1.17732 -1.7532 -1.57164 -1.58451 -0.896448 -1.35533 -1.12601 -1.14092 -1.43045 -1.27261 -1.72328 -1.07695 -1.35416 -1.31056 -1.49268 -1.07924 -1.20537 -1.75295 -0.733427 -1.71627 -1.69819 -1.39668 -1.45218 -0.882742 -1.6674 -1.7728 -2.14994 -1.90452 -1.69889 -2.19713 -2.30198 -2.2774 -1.96106 -2.20177
2	-1.73476 -1.77456 -1.68119 -0.974114 -1.43259 -1.58706 -1.27369 -0.63296 -1.44576 -1.41958 -1.12273 -1.23651 -1.48209 -1.39363 -1.20281 -1.25395 -1.17732 -1.48037 -1.4514 -1.33082 -0.75174 -1.35533 -1.14602 -1.02128 -1.2579 -1.22687 -1.36732 -1.4311 -1.13741 -1.11006 -1.47014 -1.3666 -0.857974 -1.68331 -1.21164 -1.59372 -1.68535 -1.24985 -1.59251 -0.998755 -1.48371 -1.56913 -2.03822 -1.74064 -2.02273 -2.41627 -2.42739 -2.26161 -1.97749 -2.10458
3	-1.49907 -1.49255 -1.35816 -1.46886 -1.58971 -1.46972 -1.34624 -1.25998 -1.38956 -1.43252 -1.15366 -0.917779 -1.16478 -1.50588 -1.17801 -1.38798 -0.957191 -1.22702 -1.25099 -1.12386 -1.22361 -1.26853 -1.23277 -1.23397 -1.12369 -1.10272 -1.13001 -1.43791 -1.70096 -1.89436 -1.12454 -1.42248 -1.71407 -1.76561 -1.06509 -1.52632 -1.76877 -1.66482 -1.54298 -1.08577 -1.53381 -1.4091 -2.12201 -1.68849 -1.95164 -2.40963 -2.41346 -2.14316 -1.67352 -1.76443
4	-1.42051 -1.43255 -1.36414 -1.54543 -1.78098 -1.60777 -1.44298 -1.68008 -1.5207 -1.54254 -1.562 -1.46331 -1.54037 -1.65114 -1.81041 -1.68795 -1.72152 -1.5908 -1.67852 -1.53778 -1.34316 -1.56233 -1.60642 -1.63275 -1.64774 -1.57973 -1.56275 -0.797711 -1.02594 -1.63489 -0.846554 -1.24687 -1.46593 -1.52504 -0.910829 -1.48343 -1.45435 -1.62652 -1.14677 -0.757061 -1.49206 -1.67096 -2.20581 -1.42777 -2.03063 -2.38971 -2.48313 -2.08788 -1.69817 -1.74014
5	-1.48785 -1.54655 -1.68119 -1.43352 -1.72633 -1.70441 -1.81181 -1.57975 -1.76425 -1.65903 -1.8466 -1.59816 -1.70226 -1.67095 -1.90961 -1.79644 -1.95999 -1.5843 -1.67184 -1.67797 -1.22361 -1.50223 -1.5864 -1.57958 -1.71804 -1.69734 -1.70234 -0.981598 -1.01356 -1.32825 -1.05692 -0.975467 -1.2488 -1.26547 -1.1268 -1.37926 -1.32601 -1.34561 -0.989937 -1.24045 -1.40022 -1.64187 -2.07313 -1.11491 -1.82527 -2.34986 -2.34378 -2.03261 -1.84604 -1.84542
6	-1.73476 -1.54055 -1.65726 -1.35106 -1.55555 -1.56636 -1.86622 -1.52959 -1.70805 -1.65256 -1.95796 -1.6901 -1.69578 -1.72377 -1.92821 -1.74539 -2.01502 -1.71422 -1.7854 -1.84488 -1.36203 -1.64246 -1.59307 -1.64605 -1.82029 -1.95218 -1.77214 -1.12462 -1.22411 -1.15724 -1.10951 -1.11117 -1.15575 -1.25281 -1.27335 -1.4099 -1.29392 -1.24985 -1.21281 -1.39513 -1.51711 -1.5473 -2.21978 -1.47247 -1.95954 -2.39635 -2.42042 -2.17475 -1.73103 -1.88591
7	-1.85261 -1.62455 -1.53164 -1.34517 -1.28914 -1.53184 -1.61833 -1.24744 -1.60189 -1.5749 -1.7043 -1.72688 -1.60512 -1.38043 -1.62441 -1.33054 -1.64203 -1.45438 -1.51152 -1.72471 -1.19216 -1.35533 -1.37288 -1.36025 -1.78195 -1.78229 -1.60463 -1.05651 -1.08787 -1.47568 -1.1621 -1.2788 -1.27982 -1.42374 -1.18079 -1.44054 -1.33242 -1.35199 -1.54298 -1.50148 -1.5839 -1.72188 -2.19184 -1.50227 -1.92005 -2.3565 -2.44133 -2.19054 -1.84604 -1.9669
8	-1.68987 -1.50455 -1.40003 -1.3864 -1.3028 -1.24193 -1.25555 -1.2349 -1.4083 -1.38722 -1.32071 -1.38362 -1.372 -1.48607 -1.31441 -1.36245 -1.28127 -1.40241 -1.4848 -1.57783 -1.10407 -1.38872 -1.3929 -1.32702 -1.24511 -1.32489 -1.42315 -1.27445 -1.36035 -1.49337 -1.37999 -1.25485 -1.31084 -1.56302 -1.20393 -1.53858 -1.57627 -1.37753 -1.45218 -1.4048 -1.57556 -1.75825 -2.28961 -1.67359 -1.99114 -2.42291 -2.47616 -2.18264 -1.95284 -1.9912
9	-1.76282 -1.54655 -1.4778 -1.34517 -1.28914 -1.26263 -1.6546 -1.191 -1.63311 -1.47135 -1.55581 -1.80043 -1.54037 -1.43325 -1.68641 -1.51563 -1.66649 -1.70123 -1.66516 -1.71135 -1.17957 -1.36201 -1.33285 -1.3669 -1.55188 -1.57973 -1.38826 -1.36299 -1.63283 -1.85308 -1.06443 -1.31073 -1.55898 -1.60101 -0.733427 -1.56309 -1.50568 -1.57544 -1.27884 -0.902078 -1.49206 -1.7728 -2.27564 -1.74809 -1.91215 -2.40299 -2.47616 -2.11947 -1.86247 -2.03979
10	-1.75721 -1.74456 -1.65128 -1.45119 -1.46675 -1.35237 -1.64251 -1.37911 -1.7018 -1.45194 -1.60531 -1.75752 -1.54684 -1.5587 -1.58721 -1.57307 -1.63592 -1.57781 -1.51152 -1.73806 -1.32428 -1.35533 -1.38623 -1.39348 -1.47519 -1.42944 -1.53483 -1.00884 -1.24269 -1.24569 -0.921685 -0.98345 -1.21158 -1.62633 -0.548312 -1.61823 -1.56985 -1.39668 -1.21281 -1.04709 -1.45031 -1.73643 -2.22676 -1.75554 -1.94374 -2.36314 -2.44829 -2.0563 -1.76389 -2.04789
