1	-1.357891892297843 -1.394704893446203 -1.33888112469523 -1.396557509955118 -1.328617153746865 -1.359752243003634 -1.37296773475904 -1.34556285015039 -1.403213725976072 -1.383028294299062 -1.402944775530149 -1.396466254811826 -1.390478584455005 -1.401683405984657 -1.422421766546747 -1.404978388829517 -1.40236519714876 -1.413294308810993 -1.412864819311062 -1.389733425297243 -1.415244330435759 -1.434207614899263 -1.430604115067151 -1.419696246822541 -1.424590175230091 -1.424667914252727 -1.400068662635784 -1.118054404979865 -1.345575528727988 -1.31567272933807 -1.113593330805208 -1.258618077509215 -1.376020271000429 -1.516364156321464 -1.088798787354987 -1.513264175498815 -1.513484713283387 -1.538807556880665 -1.37737621640462 -1.337146383480371 -1.555709837559438 -1.853235971861877 -2.02269451617062 -1.897311306985088 -2.032934947228525 -2.048508322106781 -2.050505407589657 -2.207963644045257 -2.057431868611764 -2.160947660854884
2	-1.284431990950186 -1.314017213641974 -1.251672991140321 -1.310504064930145 -1.237608635554839 -1.27305408035477 -1.282554618711084 -1.245508300832321 -1.312876733581696 -1.291854010179874 -1.307582974087407 -1.300576744115767 -1.297657588363504 -1.306413830007593 -1.322598674645107 -1.30722314692116 -1.301299798805051 -1.316690837624117 -1.314802707560913 -1.290743504870041 -1.328844352997984 -1.337767865361515 -1.329977273367883 -1.316695695106638 -1.327212950435213 -1.325632510669448 -1.303163836190711 -1.154109791323979 -1.366145806183423 -1.336901220763076 -1.152147963319872 -1.296208662838699 -1.39347902972613 -1.527340884336916 -1.130756523607026 -1.529479244277648 -1.529403422421385 -1.554458103546007 -1.403494921058465 -1.364544241856441 -1.571322054194623 -1.845747718558704 -1.993837197343293 -1.883331064827652 -2.000505630728016 -2.011398542653049 -2.02051019623517 -2.160954856843287 -2.020343503671449 -2.125922909294424
3	-1.285800740438267 -1.307131396519832 -1.242690102773478 -1.284055667582464 -1.219461426923276 -1.256896922869704 -1.263574545437462 -1.210860631227447 -1.288691468664496 -1.2687000137239 -1.282385229479822 -1.275662499995513 -1.275264628845141 -1.278773375461195 -1.291349175427321 -1.278005582408744 -1.271115834627613 -1.288182652187214 -1.285544722310404 -1.261272139214691 -1.30316383881131 -1.306614217965508 -1.29368057989246 -1.280243576319059 -1.296551031681946 -1.292775697215179 -1.276169542780385 -1.324726154281736 -1.48936438417006 -1.465687586475815 -1.328436137222208 -1.447806539766547 -1.494455753048076 -1.610177287909761 -1.316277298701356 -1.618702277739102 -1.618612672020987 -1.638147593077338 -1.523527111618707 -1.495393944828487 -1.653148883720425 -1.853277437436994 -1.950145684662214 -1.868924508925943 -1.948040572243332 -1.95497973076636 -1.975106175813294 -2.06100960865191 -1.953210198525948 -2.056079781087396
4	-1.488636556921109 -1.542046984716612 -1.509174894889343 -1.553299530541217 -1.507995530440159 -1.524564662177372 -1.547196794327485 -1.545569923324713 -1.573322472318124 -1.557431046520135 -1.588012945541209 -1.583684282080455 -1.569645853962838 -1.585708027887472 -1.61762486797449 -1.595793257614905 -1.603098034160658 -1.600279031980869 -1.604057676924933 -1.585265341725889 -1.572024019886838 -1.618336945366876 -1.625935859185895 -1.622947884798269 -1.612404599555697 -1.616760335946891 -1.589405869880333 -0.9908298954461192 -1.23336187604847 -1.205446947027329 -0.9810414392794439 -1.110448036420639 -1.263449208645669 -1.407568610870087 -0.9508042089054562 -1.390959855638084 -1.392062419489247 -1.414541680904054 -1.244982504906386 -1.207386092799646 -1.429751378364952 -1.751300285870477 -1.9563376146027 -1.804476362785766 -1.973694499942256 -2.001067746844086 -1.985105090381075 -2.164556087569153 -2.005586615289948 -2.094766263703409
5	-1.557154174030345 -1.616275752624773 -1.598523716606826 -1.622118639817386 -1.598146738973303 -1.605581312404561 -1.632687330902038 -1.639514227382062 -1.652439968278476 -1.640380506896212 -1.676646245212974 -1.674040967967519 -1.656161161933031 -1.672188766059488 -1.709184580200789 -1.685870460204557 -1.699344215855693 -1.688063993870247 -1.694245822781285 -1.678613995471217 -1.641043934138083 -1.702283259180771 -1.714428647362145 -1.716871465087325 -1.699285729985685 -1.705216926095406 -1.679892753770464 -0.9900777171140914 -1.210843232767343 -1.188071211439778 -0.9801574885794193 -1.081966280175674 -1.226875825510209 -1.360518574778453 -0.9521580546976568 -1.338651925806921 -1.340339495020938 -1.357195797927883 -1.206414978124095 -1.177706410727618 -1.369884487951999 -1.658550614644246 -1.854327211669936 -1.704045055985423 -1.871076370013202 -1.903820976108175 -1.882289156553663 -2.041480091567026 -1.898793958339515 -1.975068164515527
6	-1.605384819262354 -1.664528042806005 -1.644237048352789 -1.667608513691414 -1.642117264319582 -1.651099667438996 -1.678200115334739 -1.681591885410464 -1.698360852747476 -1.685672192902182 -1.722272796306761 -1.719451562227612 -1.701784389358511 -1.717437364584313 -1.754573741927212 -1.730952961964656 -1.744101862808405 -1.733584242728016 -1.739605305452327 -1.723062595027756 -1.687319264476726 -1.748219311178634 -1.759406657008316 -1.761356206578048 -1.744906406863024 -1.750492179328721 -1.72512254504511 -1.055769970293662 -1.278011867081838 -1.25491533849885 -1.04653306057303 -1.150296640802246 -1.292037692344172 -1.428197647455201 -1.018978740443866 -1.407241916032511 -1.408927141950344 -1.425956609039554 -1.274484161359882 -1.245805372531201 -1.439014059068063 -1.727843953088581 -1.92225766306658 -1.771778906912619 -1.938081767256702 -1.97072525545905 -1.950980060569901 -2.108037193805643 -1.964563484236338 -2.044352221790422
7	-1.471529045274341 -1.516100201502076 -1.475499138211466 -1.513040833723026 -1.466302902974511 -1.488131593406383 -1.506798962639515 -1.488756347311386 -1.531129810377463 -1.514552656683129 -1.541404020226913 -1.536630508566129 -1.526107156232912 -1.537857763821187 -1.564967102413543 -1.545294161191184 -1.549463438060908 -1.551278049411115 -1.553526421152321 -1.533243713915504 -1.532434262589088 -1.568679015148782 -1.570254543521959 -1.565040257428183 -1.562004354823383 -1.563935168690938 -1.540584474904406 -1.13984489218063 -1.35217081332558 -1.326816974687448 -1.134821999891478 -1.254736475868946 -1.369105585659303 -1.502761159384937 -1.111326429583176 -1.493445244404835 -1.494318112331747 -1.514431345164089 -1.367321043931088 -1.335212531633074 -1.529122257124259 -1.802534655537222 -1.96916214517115 -1.840498308036014 -1.979469982084446 -2.001609653545571 -1.996952807550259 -2.139278153307634 -2.000801893037498 -2.093123748050591
8	-1.350679645081793 -1.382434596050771 -1.322623574617187 -1.375456316201558 -1.307579064000882 -1.341477315463483 -1.352507092359562 -1.315609350810383 -1.381399577207286 -1.360967867798164 -1.37889236155686 -1.372221284263581 -1.368177205962356 -1.376791705967737 -1.394864990454373 -1.3786525355423 -1.374424504448725 -1.387768945880531 -1.386524947459059 -1.362634619291227 -1.394554742277045 -1.408121885050275 -1.401098444047026 -1.389089168356672 -1.39818576690881 -1.396875688781071 -1.374767956765174 -1.207584867864991 -1.416030804047052 -1.387888205832077 -1.205979942604345 -1.344111412293326 -1.437966421830218 -1.571578240387299 -1.185330284302754 -1.572629264515576 -1.572737320903165 -1.596395952622061 -1.449254798834181 -1.412705339360335 -1.612877948766217 -1.88008044311378 -2.026077479611957 -1.914687676856875 -2.032058485746808 -2.044723306644257 -2.053268301758829 -2.187556914790874 -2.050032842859648 -2.154880329400712
9	-1.457980092463147 -1.500013883638057 -1.452131446037062 -1.498091327261784 -1.44190342698119 -1.468145620430062 -1.484868728214727 -1.461902310863372 -1.511970078859651 -1.493573911414523 -1.518087106063855 -1.512514651849978 -1.50372918082984 -1.515300481679554 -1.540244422240243 -1.521131350950971 -1.522557966224584 -1.528241627235032 -1.529405323329184 -1.507480935569065 -1.517663733182414 -1.547373063408854 -1.546633508756972 -1.538947467009341 -1.539354900919219 -1.54047340172862 -1.516325892592646 -1.163758221994923 -1.385161119552951 -1.357592122768348 -1.159091013859024 -1.291033548356198 -1.407117136212605 -1.545790222474237 -1.134915704573422 -1.539094106231388 -1.539717164227534 -1.562201550303139 -1.407385110865915 -1.371655816981779 -1.578058102601521 -1.864478148423191 -2.033892349840165 -1.904900657884339 -2.044037850733749 -2.06380488062785 -2.062247501786114 -2.211743467886792 -2.06654233821977 -2.165451728932124
10	-1.45302348579522 -1.504914005763772 -1.464946510028715 -1.522046565128506 -1.464879001777931 -1.485619141489269 -1.50648101149317 -1.503253968454937 -1.536586334683823 -1.518647368705981 -1.546724657455683 -1.541501911745527 -1.528961933306838 -1.545887864976064 -1.575855165482592 -1.554444451310122 -1.558851379235785 -1.559942032531419 -1.562652243106622 -1.542351940928451 -1.540526387435449 -1.580314067890809 -1.586503781089276 -1.580859969341705 -1.572856216869184 -1.576789752997994 -1.547495411726086 -0.9621286764471593 -1.222967895592451 -1.1916235678767 -0.9514824936410343 -1.098459502715727 -1.263629960628799 -1.41576445159385 -0.918651477918941 -1.40072121527626 -1.401535751488294 -1.427679351000158 -1.243033726328068 -1.199303236468999 -1.444426016677161 -1.794120503905714 -2.011950587654515 -1.854647248322704 -2.031033158223282 -2.056373671945882 -2.04136853313624 -2.239621438788808 -2.067368710309076 -2.163282199862451
