1	0.9858223325488459 0.8772955227867134 0.581298523296406 0.393143657585284 0.315430834739748 0.09892926807150604 -0.2849252234334581 -0.3038848542513887 -0.3593697754553997 -0.445555132124056 -0.5954597650427917 -0.5122891104545895 -0.471136723900093 -0.4966036191077233 -0.7003968592016999 -0.4980641629761617 -0.4364269585209279 -0.4520962389684237 -0.5392509333470183 -0.4466659974078243
2	2.750596916812727 2.504968868895249 2.15766127130001 1.867578692753501 1.581472670087062 1.274412430455477 0.909790366051517 0.6466472232995748 0.3754705776833545 0.1590145512970194 -0.05851833686539467 -0.1549635519773474 -0.3072669815772684 -0.4978961825549744 -0.7855346651444618 -0.7517230522845431 -0.8406087067386991 -0.9673958295808686 -1.029059368963225 -1.071228790987482
3	1.265020428940527 1.117266429111718 0.7022191340103803 0.4281334745577429 0.3222753560387246 0.02386972161184627 -0.5099762890371498 -0.5186631061922559 -0.5739165442949675 -0.6798014302988559 -0.8753674528192439 -0.7468941426433632 -0.6691663969191491 -0.6869759944612215 -0.9514223896547787 -0.6635172097118452 -0.5644409865933611 -0.5750216095021849 -0.6949000257220099 -0.5595001266349583
4	-0.5636867554308385 -0.4820687616234998 -0.5877699432484481 -0.427220495303422 -0.2055023190827805 -0.2678973439252651 -0.5852879427530878 -0.4557348727337255 -0.4474905855043007 -0.4912670239953897 -0.6624128242693416 -0.4915171303454524 -0.4259681070251328 -0.4169922872254538 -0.6790157900311681 -0.3577540387592988 -0.2527263377727167 -0.2378115393740581 -0.3573387515231597 -0.1700701211640676
5	-0.04591833176378223 -0.09833022115392177 -0.151567350649545 -0.3530269571879656 -0.4694373363226344 -0.4862783803018715 -0.4436799003632936 -0.4113914590756023 -0.3072659666958167 -0.2318229725860946 -0.1193917118150452 -0.1053013044134539 -0.009046394916815852 0.07898215948756115 0.2540074872676851 0.1943173971752508 0.2370402431991289 0.2888183375044585 0.328867236767858 0.3028824608722117
6	2.088738584002902 1.869177862276654 1.522689555501901 1.178792013394892 0.9127863705678158 0.6351217464213904 0.2939671115269046 0.1314138357798934 -0.01449120604408495 -0.1480083965888556 -0.2853916914760017 -0.314952905600261 -0.3559796887131902 -0.4472543811203009 -0.6183674381431173 -0.5592392349790885 -0.5773897988490655 -0.6408572453878861 -0.6903253480779555 -0.7002300536967316
7	3.362254495804581 2.928808481254444 2.732510860623321 1.914627585129283 1.110951717372948 0.9248633510807343 1.217229912002028 0.8016618920943146 0.691254784413763 0.6807757280958243 0.9439292773903222 0.5783816081552943 0.461945718341682 0.3993212287773802 0.8464583292830299 0.2304310358495236 0.02676118600685857 -0.03995860047143018 0.1704748910321883 -0.2312417691598764
8	0.07248405087954608 0.08144943223401288 -0.04052237917540459 0.00013629505991081 0.08477966988161924 -0.001908850284903241 -0.2503398577161549 -0.2088572464619243 -0.2384114423265101 -0.2935059910515118 -0.4246478691940049 -0.3333506444472276 -0.3099167393280616 -0.3277355042019955 -0.5213449541194179 -0.3224905494364514 -0.2686332213227255 -0.2754366306492713 -0.3557569804957256 -0.2487510180388311
9	0.5143213716969682 0.3748926851636217 0.5507824227670074 0.1763600053734803 -0.2327264954916276 -0.1044048494104374 0.4885849997963279 0.3384273268218089 0.4399051962390537 0.5964182867882806 0.9869454517672452 0.7342694023157011 0.7215791997377057 0.7990549876672143 1.393186276455839 0.8244032951421681 0.6989061402597998 0.7308384022158637 0.9624705234676675 0.6457447614590307
10	2.27029353901794 2.086922508296262 1.892675673447193 1.728452744442554 1.500763755199045 1.302207231565041 1.116851461374534 0.8587287044940844 0.598086120733949 0.4114762853223857 0.248209946845705 0.1098896240912429 -0.07762892741019253 -0.2698589208374941 -0.4874964951860616 -0.5411050980174387 -0.6663687371482627 -0.7936912381328328 -0.8198722500184833 -0.9019746581360754
