1	1.01656 0.968079 0.497777 0.226262 0.260202 0.20202 0.0323232 -0.108283 -0.43313 -0.583433 -0.6901 -0.6901 -0.704645 -0.699797 -0.588282 -0.437979 -0.43313 -0.428282 -0.389494 -0.40404 -0.326464 -0.365252 -0.185858 -0.714342
2	3.7908 2.36507 1.42944 1.4183 1.67449 1.42944 1.34033 1.17325 1.37375 0.460391 0.293314 -0.720289 -1.58909 -1.52226 -2.10146 -0.998752 0.582915 -0.56435 0.0705438 -0.319304 0.0928208 -1.9678 -0.0519796 -2.22399
3	1.6329 0.654482 -0.773479 1.66595 1.79156 1.34863 1.58662 -0.694148 -1.55357 -2.65759 -2.18822 -2.12211 -0.383434 -0.257826 -0.859421 -1.54696 -0.879254 2.56504 1.59984 -1.06436 -1.21641 -0.85281 -1.3288 -0.271048
4	-0.467512 -0.832522 -0.642517 0.122503 -0.427511 -0.452512 -0.347509 -0.642517 -0.107503 -0.947525 -1.03753 -0.237506 -0.407511 -0.327509 -0.427511 -0.622516 -0.577515 -0.502513 -0.102503 -0.0925024 -0.207505 -0.307508 -0.317508 -0.502513
5	0.518451 -1.07678 -0.372221 0.425396 0.385515 -0.372221 -0.584919 -0.917259 0.186111 0.438689 0.252579 -0.398808 -1.90099 -0.584919 0.252579 -0.651387 0.571625 1.39583 1.22301 1.02361 0.598212 0.305753 0.199404 0.159523
6	2.07015 2.1169 1.6628 0.621045 0.934907 1.00169 0.387318 0.247082 0.227049 0.106846 -0.66779 -0.601011 -0.393996 -0.360607 -0.774637 -0.82806 -0.747925 -0.440742 -0.400674 -0.267116 -0.427386 -0.407352 -0.601011 -0.480809
7	4.21107 2.93145 2.16846 1.18291 0.396071 0.51529 1.31008 1.66774 0.785519 0.507342 0.761675 0.6663 0.85705 1.09549 1.52467 -0.287449 -0.661001 -0.271554 -0.223866 -1.01866 -1.43195 -1.57501 -1.58296 -1.44784
8	0.142432 -0.0340598 -0.00154817 0.0681197 0.0309635 -0.173396 -0.377755 -0.261642 -0.247708 -0.303442 -0.438134 0.272479 -0.4242 -0.368466 -0.637848 -0.493868 -0.131595 -0.108372 -0.32202 -0.71216 -0.47529 -0.233774 -0.433489 -0.150173
9	0.393907 0.557709 0.487508 0.510909 0.241804 -0.202803 -0.0741013 0.60451 1.04912 0.686412 0.370506 0.943816 0.639611 0.967216 1.02572 0.861915 0.522609 0.932116 1.42352 1.45862 1.24802 0.195003 0.0780013 0.873615
10	2.26575 2.11513 1.92079 1.67785 1.62927 1.44464 1.12397 0.953915 0.813014 0.618668 0.132803 -0.134423 -0.372497 -0.547408 -0.440518 -0.644581 -0.644581 -0.630005 -0.581419 -0.673733 -0.843786 -1.11101 -1.13045 -1.09158
