1	-1.284279842203287 -1.358520125227767 -0.9927977135657295 -0.819103603975713 -1.234707961683765
2	-1.28498085375663 -1.363956783316505 -0.9886429937799295 -0.8139263391120187 -1.234160857742093
3	-1.279361131624688 -1.360756109080054 -0.9892706430293148 -0.8183695662604394 -1.228732988424359
4	-1.281801589393657 -1.360603678447829 -0.9895270687252837 -0.8168010855175722 -1.231400789622806
5	-1.278515255481776 -1.351812029331106 -0.9841760082083734 -0.8091554688903059 -1.228898450905917
6	-1.279888886082859 -1.351643057737685 -0.9847409013354056 -0.8088669200280549 -1.230451776630582
7	-1.281651876154256 -1.356364657427983 -0.9907278960311595 -0.8175391821819745 -1.232071357306898
8	-1.282096933359012 -1.352353202553791 -0.9973949888759565 -0.8258893133701946 -1.233829051148963
9	-1.279399846167596 -1.347456084986619 -0.9992346018008365 -0.8293740110094234 -1.231935410803291
10	-1.280343824533723 -1.346300250105726 -0.9981377114729784 -0.8267187830272978 -1.233047963601241
11	-1.279335880908425 -1.341049182354647 -1.00141870451177 -0.8309042491984059 -1.233156033287732
12	-1.285112821872921 -1.339825245233592 -1.002865609315269 -0.8281909174069738 -1.239693504544738
13	-1.286190451005069 -1.334844096212237 -1.00756024504244 -0.8328949618190561 -1.242119657236658
14	-1.286276327624055 -1.332676136817069 -1.00854388663641 -0.8336875190178582 -1.242669896041305
15	-1.286968150934513 -1.326470203340708 -1.00954487497216 -0.832947568033521 -1.244561669384943
16	-1.288399854922993 -1.32473148520896 -1.014809095309283 -0.8390820791329516 -1.246864757505252
17	-1.291181486155955 -1.318796554822524 -1.017225012719438 -0.8388595806639279 -1.251079088218021
18	-1.289870421384838 -1.317396708671736 -1.021361465566347 -0.8455708951106433 -1.250280367261298
19	-1.293053637692341 -1.308420394334346 -1.022024317802452 -0.8416473251067293 -1.255288729400578
20	-1.29527342592461 -1.306285361295486 -1.022391756912123 -0.8398808498927428 -1.258068287161386
21	-1.296520895286767 -1.301278089085238 -1.02043972347967 -0.8346998915374442 -1.260088092601183
22	-1.300617679741357 -1.296742687802646 -1.018719929518934 -0.8277638917004655 -1.265105651950696
23	-1.296367403199216 -1.29479263111662 -1.013071991119936 -0.8222737071662402 -1.260373772838141
24	-1.288425326343879 -1.28567179724164 -1.010665242669274 -0.8224879843553758 -1.253194245066547
25	-1.289003913334386 -1.286271532585859 -1.003994199817577 -0.8124166506963172 -1.253117449200778
26	-1.294340516907296 -1.28397335731949 -1.003886779850413 -0.8074790479960696 -1.259227194211853
27	-1.29970543826682 -1.281076658064113 -1.000065139022782 -0.7969126052298281 -1.265138151649125
28	-1.306212243373159 -1.281024751167129 -0.9919153904787328 -0.7798741659677182 -1.271402363467305
29	-1.302390384265218 -1.277680761394047 -0.9893645098134983 -0.7782161512001023 -1.267644669256505
30	-1.301395335380944 -1.276828008625437 -0.9839257938808239 -0.7707886797155145 -1.266237247774458
31	-1.302312449309428 -1.272605528566786 -0.9848181537556364 -0.7702468444993004 -1.268022290932332
32	-1.30146974089887 -1.267327468995679 -0.9814508745452559 -0.7645483157262535 -1.267719077004365
33	-1.303331441381531 -1.258272721846959 -0.9795227049219027 -0.7578353894246231 -1.271091511473225
34	-1.301566758759442 -1.257217926079697 -0.975260127227211 -0.7526783887436997 -1.268997642681576
35	-1.301267332280641 -1.248739884040005 -0.9776617818389626 -0.7541545820725039 -1.270338778049759
36	-1.301807864474295 -1.243292842358315 -0.9748650855067903 -0.7481683485325217 -1.271599711933159
37	-1.300000232223815 -1.226480468211697 -0.9724535276452251 -0.7415235584866881 -1.272316513982632
38	-1.291396556487723 -1.152282591964266 -0.9746565243002548 -0.731521469785532 -1.275954334847007
39	-1.287440916044844 -1.123705979191852 -0.9781306195238747 -0.7320197802067739 -1.276900731656569
40	-1.28752045719912 -1.114205979441003 -0.975659549896724 -0.7257812002114035 -1.278388323280264
41	-1.290872886608909 -1.105203913209869 -0.9696746838918551 -0.7119716781892304 -1.282989508160193
42	-1.291380362720345 -1.09572948581799 -0.9634598341323317 -0.6999169711961716 -1.284597904833283
43	-1.291152457247643 -1.086415387536967 -0.960113573002519 -0.6926849298113288 -1.285645726184605
44	-1.290262422161358 -1.077699133971161 -0.9570537770823424 -0.6865500411327753 -1.285906449511221
45	-1.287566384326855 -1.069135601396161 -0.9571671420615941 -0.6865173989279006 -1.284486177259391
46	-1.290187371717396 -1.063959417755473 -0.9557804174304765 -0.6810486051563592 -1.288059214433816
47	-1.286121938446867 -1.055565941134097 -0.9553301756687204 -0.6813033860880757 -1.285090090821022
48	-1.28906934170619 -1.04593941186222 -0.9493695049862972 -0.6676774065350339 -1.289365462661107
49	-1.287636723134523 -1.040433002400263 -0.940538898846494 -0.6543671503622591 -1.287980734280975
50	-1.287102657422403 -1.031304027758649 -0.9363211081031518 -0.6461458043301588 -1.288590625402905
51	-1.28549688618356 -1.022157816710846 -0.9324086674602826 -0.6392034375332275 -1.288080646665862
52	-1.286744560902378 -1.013482575130691 -0.9287294925670023 -0.6305040697568888 -1.290573100271812
53	-1.289161315314744 -1.009302903837199 -0.9255727222089698 -0.6228671283078182 -1.293598818338054
54	-1.2925380929506 -0.9982797981536005 -0.9227133423898962 -0.6130780683835505 -1.298850231212377
55	-1.296332952330829 -0.9939306048706178 -0.9201233052016548 -0.6051516381736545 -1.303434334696199
56	-1.297292897113709 -0.9848431696357636 -0.9118515137333864 -0.589832094729113 -1.305278641359586
57	-1.298151027208045 -0.9749442855301402 -0.9044778227042007 -0.5756906808688355 -1.307232430891801
58	-1.298655741705886 -0.96180256399964 -0.896537159872845 -0.5601220078125471 -1.309310295031378
59	-1.295829536640373 -0.9570648560118997 -0.8908585320216015 -0.5527268289536675 -1.306580032267558
60	-1.297074131816236 -0.9483903498260113 -0.8871811011916189 -0.5440326179811473 -1.309069211183805
61	-1.295617430623014 -0.9434835487132636 -0.8820660022983077 -0.5363500761487063 -1.30788774474118
62	-1.295590322459037 -0.9357894028285844 -0.8769251622279074 -0.5267655710081655 -1.308714209053971
63	-1.295460000646256 -0.9272846460665345 -0.8726791763817602 -0.5183557521556813 -1.309648222202572
64	-1.296644771358885 -0.9275120445069701 -0.8677553901066027 -0.5102734068998021 -1.310441432824934
65	-1.300809104672551 -0.9344710468007684 -0.8587403092508538 -0.4956776404363448 -1.312917145093524
66	-1.306830803535826 -0.9469618034811464 -0.8548138762489091 -0.4885810997887637 -1.316895171141707
67	-1.314156193981812 -0.9564543978596262 -0.8554756476466776 -0.4863892133667176 -1.323193723721833
68	-1.322215792197075 -0.9657873807946883 -0.8532647528513 -0.4793697911482322 -1.330051105570784
69	-1.331346720348326 -0.9628061161209961 -0.8522950083971765 -0.4700247607790786 -1.340272321989032
70	-1.343709409888061 -0.989849087840037 -0.8538871890457763 -0.469985277913652 -1.349061645840029
71	-1.353551637001895 -0.9873071024046982 -0.853764363208434 -0.461445296276616 -1.360046699517551
72	-1.355472459378801 -0.9509830561260385 -0.8543340996082857 -0.4510193439784242 -1.368363410051458
73	-1.354070922793817 -0.9347924415325178 -0.8519021638795581 -0.444195047879616 -1.369407975263296
74	-1.353921744311933 -0.9305520687688492 -0.8531048999130756 -0.4449351627520963 -1.370079518008648
