1	0.01913026582685023 0.01657762992949841 0.01408720523805644 0.0133701915200757 0.01085667176563335 0.01020121366965795 0.007894222606958629 0.006956135786249936 0.002427684692294255 0.002035616629782168 0.0008186094175449415 -0.0005269304944986796 -0.0008922135764219772 -0.0007815246919187467 0.001702522815770342 0.001171240871209082 0.0004260730876587765 -0.0005087220729463639 -0.0009526803067352631 -0.001181910622390662 -0.0009474185595322262 -0.0002723549636911163 0.0007720862461743379 0.001745413277357828 0.001080415192629193 0.0004817408528994238 0.006042922654224088 0.004276284219513574 0.003818413682143785 0.001309475741109134 0.0008463133210911112 0.001000704714061226 0.001323979614835129 0.001666605863420152 0.001571531259200859 0.001056312854544442 0.0002837750250003972 9.716206378287396e-05 -0.001061999911849815 0.001123537677196465 -0.0002475565399865571 -0.0008734125380264137 -0.0006392398986895312 0.0008070390807313412 0.0002471439697947752
2	0.01634247630149317 0.01466083513862558 0.01248093200151266 0.01185277956606869 0.009656533030451385 0.009079407821635146 0.007060275620125158 0.006187680993437209 0.002059540993799144 0.001710440443629242 0.0006599586622608331 -0.0004723611987198471 -0.0007695001938058018 -0.0006716056233055525 0.001486860329199997 0.001052733343077917 0.0004478625526227922 -0.0003097192869035049 -0.0006378977129780718 -0.0008010619247365606 -0.0005668200498329056 1.70969866371995e-05 0.0008931214319386617 0.001669716432325813 0.0009867142088058145 0.0004431097453651312 0.005436555390361115 0.00393503441012377 0.003543688413426377 0.001374106351470223 0.0009942244652084095 0.00110920217899968 0.00135002921745465 0.001581791432103394 0.001443264118538823 0.0009582929858477351 0.0002837827646738159 9.534378680959056e-05 -0.0007436599287306157 0.00101385807903416 -0.0001328427551767367 -0.0006032765385253251 -0.0003762363286952687 0.0007880740749764534 0.0003354231764997129
3	0.01355462772474494 0.01274400533293225 0.0108746296465802 0.01033534017667685 0.008456372949394334 0.007957582062926233 0.00622631417658619 0.005419212273015635 0.001691388587874011 0.001385256319705045 0.0005013033717465046 -0.0004177916854845637 -0.0006467848132850975 -0.0005616846484818778 0.0012711928743423 0.0009342231347786614 0.000469652708405931 -0.0001107115694634306 -0.000323107028948004 -0.0004202032715400562 -0.0001862110702274692 0.0003065577059776825 0.00101416181121961 0.001594020120220845 0.0008930120040687521 0.000404478151140424 0.00483017793435321 0.003593780125137769 0.003268960093269439 0.001438740797670819 0.001142141535846838 0.00121770469527212 0.001376081819268122 0.001496977036907893 0.001314995447106089 0.0008602716882468396 0.0002837909529195789 9.352559525410108e-05 -0.0004253120130917346 0.0009041760162330878 -1.812626010127252e-05 -0.0003331338385202702 -0.00011322557717135 0.0007691097876382795 0.0004237055970366615
4	0.01076678136419756 0.01082717840564887 0.009268329913937445 0.008817903330754306 0.007256215142393951 0.006835758513955404 0.005392354726935903 0.004650745386833839 0.001323237490003774 0.001060073405673951 0.0003426491344670604 -0.0003632213044407927 -0.0005240688181769386 -0.0004517632398233521 0.001055526754214092 0.0008157142245377603 0.000491444074519711 8.829728940126093e-05 -8.315346279237151e-06 -3.934372465770119e-05 0.0001943986983227464 0.0005960190966559475 0.001135202707353522 0.001518324161612605 0.0007993099761820965 0.000365846704154565 0.004223802294426611 0.003252527445307246 0.00299423330053431 0.00150337644002513 0.001290059568154474 0.00132620794865472 0.001402135001114389 0.001412163049376949 0.001186727069127946 0.0007622505902771124 0.0002837992741246132 9.170745870166231e-05 -0.0001069630020152788 0.0007944952389628815 9.659120254391182e-05 -6.299009066825285e-05 0.0001497858364513102 0.0007501457610197029 0.0005119883520693184
5	0.00797895656620312 0.008910370686930923 0.007662046243481367 0.007300481649231165 0.006056069367537215 0.005713946144931066 0.004558403497902126 0.003882285405915978 0.0009550868586452447 0.0007348905560110603 0.0001839935675374009 -0.0003086536181474311 -0.0004013554016813883 -0.0003418438538677987 0.0008398602877632228 0.0006972044176415197 0.0005132338704658917 0.0002873036514603978 0.0003064737978007311 0.0003415133612325508 0.000575006727083049 0.0008854799644256391 0.001256244763360873 0.001442630767523581 0.000705609384061737 0.0003272157673460465 0.003617432492532839 0.002911278665185277 0.002719509943193791 0.001568012641340011 0.001437978105418881 0.001434712312303514 0.001428189891476761 0.001327351296004092 0.001058460743484548 0.0006642308058608183 0.0002838079143177034 8.98894017131163e-05 0.0002113830494023117 0.000684813535910506 0.0002113066609848789 0.0002071509517887977 0.0004127958306578204 0.0007311827948063794 0.0006002713721543373
6	0.005191130408631608 0.006993559160606023 0.006055759226719877 0.005783056756813544 0.004855920825831343 0.004592131148942627 0.003724450069422027 0.003113823672746115 0.0005869361954369555 0.00040970777544012 2.533821354706496e-05 -0.000254085717448624 -0.0002786418381633768 -0.0002319243586609161 0.0006241935956474317 0.0005786943180566203 0.0005350232557732841 0.0004863094509100651 0.0006212621299727624 0.0007223694707067136 0.0009556135718738081 0.001174939549237224 0.00137728553255751 0.001366936296173127 0.0006119083749095783 0.0002885846318398382 0.003011060852404442 0.002570028130666917 0.002444784863549952 0.001632647437654722 0.00158589517440765 0.001543215272891782 0.001454243534203582 0.001242538585868333 0.0009301937702288954 0.0005662106498939832 0.0002838163176708487 8.807127402745832e-05 0.0005297283700918438 0.0005751315330192878 0.0003260217747479757 0.0004772913574771401 0.000675805000576984 0.0007122192500936368 0.0006885537238689859
7	0.002403298147551428 0.005076739821842114 0.004449465742564879 0.004265625778302795 0.003655767496573869 0.003470311757188989 0.002890493535192901 0.002345359677283402 0.0002187870940656865 8.452669859059573e-05 -0.0001333149827264731 -0.0001995154504839381 -0.0001559263815120191 -0.0001220034518566624 0.0004085285047721415 0.0004601858615137795 0.0005568142278534042 0.0006853168437407557 0.0009360515321827395 0.001103226255267794 0.001336220422398017 0.001464398437658649 0.001498324829498007 0.001291239953029555 0.000518206546962867 0.0002499532491641921 0.002404687163252966 0.002228776026914076 0.002170058309575744 0.0016972817139697 0.001733811338053286 0.001651716913601946 0.001480295660604699 0.001157724354069754 0.0008019256100660373 0.0004681898096036469 0.0002838244657420489 8.625309599946324e-05 0.0008480751442782271 0.0004654511561373869 0.0004407383846576968 0.0007474331976004263 0.0009388143960374568 0.000693254901567825 0.0007768355126145215
8	-0.0003845348569992891 0.003159923346505005 0.002843174661507878 0.002748197072299499 0.002455616028494265 0.002348494067968266 0.002056538248723282 0.001576896343760889 -0.0001493636994618985 -0.0002406561185000866 -0.0002919699552900341 -0.000144946698386265 -3.321198066356028e-05 -1.208329781262628e-05 0.0001928620493636313 0.0003416762182559736 0.0005786043534469241 0.0008843237703241738 0.001250841113380188 0.001484083657612573 0.001716828399737965 0.001753858775145606 0.001619365767832627 0.001215545069980781 0.0004245052254474304 0.000211322025934201 0.001798314330083395 0.001887524931522684 0.001895332814863256 0.001761916948522157 0.001881728888622501 0.001760220114419248 0.001506349265998439 0.001072911294608547 0.0006736582134255468 0.0003701693639874868 0.0002838328641630036 8.443497247023536e-05 0.001166421825608138 0.000355769622635867 0.0005554543569750877 0.001017574833982454 0.001201824428084046 0.0006742912464875292 0.0008651180699797707
9	-0.003172381275072262 0.0012431011875304 0.001236878997199211 0.001230764094092638 0.001255461447938091 0.001226673513891598 0.001222581115735661 0.0008084309595603881 -0.0005175165411706493 -0.0005658408732708757 -0.0004506261419130576 -9.037800251755497e-05 8.950283734434927e-05 9.783726867510879e-05 -2.280539205860373e-05 0.0002231661985568343 0.0006003950128415409 0.00108333238059728 0.001565633329070456 0.001864944267382302 0.002097439856572463 0.002043322239632641 0.001740408948382101 0.001139851121589684 0.0003308039169045436 0.0001726908356257437 0.001191940426553798 0.001546274099279527 0.001620607906003005 0.001826554213855128 0.002029649017667543 0.001868725618952689 0.001532404548805976 0.0009880989627558028 0.0005453909277506495 0.0002721488482843744 0.0002838415525322558 8.261692438789569e-05 0.001484771048686617 0.0002460877702354567 0.0006701712986921929 0.001287718638136639 0.001464836862135005 0.00065532820342068 0.0009534019224662641
10	-0.005960175285244887 -0.0006736973891665513 -0.0003693974247828606 -0.0002866508734297013 5.532030223484378e-05 0.0001048654146373915 0.0003886324381578235 3.997469904501314e-05 -0.0008856605968107265 -0.0008910173327152508 -0.0006092768863189141 -3.580838969135145e-05 0.000212216576831847 0.000207756628126411 -0.0002384680520920706 0.000104658622840429 0.0006221845986137349 0.001282335506849176 0.001880416338807485 0.002245793412582637 0.002478038725526974 0.002332774349679336 0.001861443995943059 0.001064153864312722 0.0002371026782345939 0.0001340596277985947 0.0005855719214350901 0.001205023460064986 0.001345881909807928 0.00189118468162823 0.002177560087931081 0.001977222927640779 0.001558453886446724 0.0009032841544777388 0.0004171234222562586 0.0001741287370889611 0.0002838492382296287 8.079863121095294e-05 0.001803111498070096 0.0001364081338884484 0.0007848853296566901 0.001557855049469864 0.001727840699797629 0.0006363630238350861 0.001041681109988187
