1	-0.9906484519753782 -1.071904491040135 -0.1742659370609668 0.7004317725366507 -1.026785710064253 -0.9748584748891848 -0.4195394301876982 -1.023170536742396
2	-1.178282855317867 -1.111076128446601 0.3143151200821481 1.004233245354627 -1.07048872955342 -0.8919405263477643 -0.7237117253326274 -1.070212738490809
3	-1.239177502874748 -1.198328304072187 0.2389946250027517 1.016246049972001 -1.204879549871135 -1.02945253495024 -0.7571615265060027 -1.20149904071129
4	-1.266562532476887 -1.334638017032798 -0.1128230776552593 0.9432551315195752 -1.218696388675658 -1.137334780721662 -0.5417434020737726 -1.217745270669331
5	-1.298970945043877 -1.415215716141606 -0.2725303635527555 0.94212021788875 -1.155311668399193 -1.128666083434743 -0.3936342523547325 -1.159466940410596
6	-1.506873298594232 -1.81306730483519 -0.8726167098776386 0.9423221455690446 -1.330129829607965 -1.450312807104462 -0.1015368006682896 -1.338404926577451
7	-1.649528788158118 -1.989207428311778 -1.011259420422577 1.134109608828157 -0.8259248257051324 -1.070214421973015 0.3491550667171674 -0.863843729680481
8	-1.592671442642882 -2.089450401838421 -1.539799973813068 0.9856562051666247 -0.556951362723798 -0.9814910225220462 0.8520484823199576 -0.6074981117049908
9	-1.458535002601249 -1.850318906255415 -1.18954707733056 0.9183898601166444 -0.7488333990401145 -1.041335158808237 0.4810913798665474 -0.7831125860979482
10	-1.069532614185972 -0.9650324066544084 0.4332271667674446 0.9326460103403245 -1.075517692071433 -0.857606293415743 -0.8195682880531572 -1.069764610071498
11	-1.116770000195456 -1.410160521737846 -0.8429550115943406 0.589526472259956 -1.280049297034529 -1.376239273661417 -0.1510055124539988 -1.273902453082612
12	-0.7681411810081054 -0.7575837049001328 0.1157968568976084 0.5768646021592709 -0.9831646621358676 -0.8464890978011712 -0.6085542165800677 -0.9705345754320104
13	-1.068776443030906 -0.96763239771253 0.3860064280829724 1.02233278319722 -0.5233348301604722 -0.4036566533248504 -0.4175048448240342 -0.5428300157895821
14	-1.042990604535529 -1.053471575986341 0.03962566506185591 0.8566380154208268 -0.7707692406047487 -0.7042419147777668 -0.3719621245265907 -0.7798232561371727
15	-0.8715456341040295 -0.4802337016968775 1.31525579379121 1.111524521691946 -0.4069078907056904 -0.04355114287891884 -0.9532579101352137 -0.4183160580953139
16	-1.21000120548249 -0.9045266585702388 1.099219370347163 1.217205669689901 -1.242553744392912 -0.828356113577928 -1.325833393161518 -1.23159572996839
17	-0.9844878233099257 -0.7658090515052743 0.8103183810434865 0.9308009185289685 -1.206121827601399 -0.8614522959436578 -1.157828681558465 -1.188814268276863
18	-1.216136856377472 -1.31998333883253 -0.2295658165918126 0.8622654041499983 -1.224768283773533 -1.170761051941098 -0.4811357028771898 -1.222033856629925
19	-1.75405345642389 -2.096218648782288 -1.008285627573382 1.209266881567568 -0.9588367957002027 -1.188098450891282 0.2749355551006342 -0.9951454395801751
20	-2.016842419914047 -2.478649420973474 -1.410820079873378 1.405951363016722 -0.6514173206268701 -1.052518449344266 0.7779217635669798 -0.7149635876117804
21	-1.116421799446723 -1.419981683493017 -0.9134661076222239 0.6766299612591327 -0.7096401580062377 -0.9131717582026636 0.2780026487283999 -0.7297103731479312
22	-1.007567592123411 -1.233762423623934 -0.6429601722658825 0.5849818286332128 -1.043273365962629 -1.115765462173582 -0.134507233046402 -1.042152566050641
23	-1.044518165768866 -1.084495234906841 -0.03517515882959866 0.7782776568600677 -1.087698601060979 -0.9922388960688008 -0.5387672600826988 -1.082856436050458
24	-0.5549855350801856 -0.3895250752631873 0.5483725068949054 0.6786196287202236 0.008318748470785967 0.1205447464959041 -0.245562767839251 -0.01262380448337606
25	-0.5917048964350419 -0.395140767128929 0.6920861847772856 0.6333032417859025 -0.6304573467602591 -0.3828398258694726 -0.7604922503657536 -0.6232313646097148
26	-0.5571952740308177 -0.2313504616115014 1.080605491795152 0.7925990682178223 -0.1730948584682502 0.110133224450594 -0.7007420555037417 -0.1830421810993039
27	-0.59682458899409 -0.2493801389520609 1.143433710599804 0.870502157730236 -0.04982346674214549 0.2287634308500106 -0.6503050100879599 -0.06669867766206507
28	-0.8054682666362856 -0.6224771075600933 0.6868449486684808 0.7377800177213211 -1.148729316435956 -0.835219428576447 -1.071507828789819 -1.127101439221718
29	-0.7352345436238208 -0.4324319889185264 1.05600080491032 0.8233198185408138 -0.8759214470336086 -0.5012192998260148 -1.130107516080117 -0.8616928894488968
30	-0.8174689692153722 -1.055498375344142 -0.670583628525016 0.3544407473265228 -1.270496535733965 -1.303600217261468 -0.3020850782981334 -1.251170296176333
31	-1.292561292215886 -1.567426133462511 -0.7976041192173374 0.8217660443511148 -0.9971395093982101 -1.135713649559436 0.04068335140787892 -1.011020117560583
32	-1.608984704998207 -2.025039705293031 -1.287025383661989 1.097251443037513 -0.4134923742540035 -0.7933400399272154 0.7933556681172159 -0.4698707108949211
33	-1.434349872267724 -1.83004032311496 -1.181787896103874 0.8379077389908316 -1.067560386760521 -1.307098582566184 0.2571348501632296 -1.086327552206344
34	-0.7565901211019944 -1.028213627799728 -0.7906616216069171 0.2915450182596089 -1.121988328436823 -1.206665802056754 -0.1368071051855647 -1.107459616412399
35	-0.3750206460737613 -0.5722238585401808 -0.5433489589271819 -0.04357047471876478 -1.339375547297343 -1.300636499878359 -0.5015840139504647 -1.297492028781847
36	-0.2441540860526356 -0.113337366567324 0.4365274861013508 0.3319659252051653 -0.1036672516099158 0.01481493723515864 -0.3026844566047256 -0.1069643369603211
37	-0.4326284888217922 -0.3217055643857861 0.3549298762497844 0.5488663930596213 0.218815380556851 0.2538936576725943 -0.002730598279616235 0.1924760314697969
38	-0.4028516147905041 -0.1916507232157706 0.7035123455922923 0.5479444364320373 -0.1454307758957232 0.04159069830919625 -0.471651599848156 -0.1521222771751822
39	-0.6037181664785324 -0.4535649110927499 0.5500560335307442 0.5823060311459929 -0.7559348658159666 -0.527765383717934 -0.7542810252577719 -0.744296155156087
40	-0.5485457613243294 -0.4142124810160149 0.5351469049885939 0.418798810047888 -1.327929092711768 -1.011740479208605 -1.140103184354476 -1.288108731223224
41	-0.6950562260699026 -0.6673941278389453 0.1744351325556679 0.510009237159243 -1.055556536290036 -0.8874470625309474 -0.7062296471015179 -1.036232444151802
42	-0.6793497204415899 -1.031247617770537 -1.03299834224434 0.09561289010228013 -1.422341291269036 -1.520871953246978 -0.2006301839747411 -1.392232052056793
43	-0.9776141182860943 -1.430945233246363 -1.383316538838362 0.3619862026812067 -0.9989362181164848 -1.275416495732565 0.3538293655299384 -1.002543411475444
44	-0.8653650333692057 -1.242443403197546 -1.15459874987363 0.3640964769442021 -0.7532014331703661 -0.9994685494229232 0.3578906121692751 -0.7619568734885476
