1	-0.47049 -0.282507 -0.177338 -0.0803135 -0.107223 0.628105 0.536068 0.278152 -0.635918 -0.391187
2	-1.01221 -0.939481 -0.928579 -0.878311 -0.5969 0.930557 0.741172 0.355736 -1.15878 -1.16747
3	1.79998 2.03627 2.25317 2.38405 1.39221 -1.70511 -1.66276 -0.75719 1.43135 2.12819
4	-0.879054 -0.857088 -0.825311 -0.787497 -0.518456 0.770524 0.649541 0.347469 -0.97587 -1.03195
5	1.51849 1.38746 1.39531 1.31786 0.753204 -1.36003 -0.998605 -0.507723 1.09796 1.24965
6	-0.734654 -0.761358 -0.754713 -0.735823 -0.538683 0.656045 0.565572 0.306795 -0.818274 -0.904941
7	0.331617 0.120314 0.24972 0.258281 0.160486 -0.254587 -0.161801 0.0349703 0.0378239 -0.0260466
8	-0.835431 -0.819034 -0.838556 -0.810867 -0.576772 0.830155 0.691128 0.353255 -1.00791 -1.04313
9	0.994027 0.501836 0.875256 0.819211 0.467595 -0.897654 -0.643206 -0.276153 0.580202 0.379432
10	-0.373717 -0.555996 -0.464746 -0.488272 -0.340047 0.362479 0.291495 0.184245 -0.751182 -0.8697
11	1.56451 0.593089 1.43921 1.38956 0.845721 -1.52909 -1.2573 -0.733507 1.13576 0.568894
12	-0.584815 -0.718219 -0.583415 -0.572696 -0.412431 0.554973 0.463878 0.278494 -0.899511 -1.00822
13	1.24645 0.372667 1.08342 1.02287 0.671452 -1.23722 -0.96196 -0.643215 0.843728 0.30204
14	-0.214635 -0.518542 -0.120525 -0.10752 -0.0847501 0.0864216 0.0409653 0.0509207 -0.632606 -0.837126
15	0.0424891 -0.334572 -0.0255774 -0.0225285 -0.12303 -0.0637978 -0.0175945 0.0571731 -0.200967 -0.479822
16	-0.71743 -0.769182 -0.693617 -0.661242 -0.526619 0.726778 0.607219 0.309334 -0.975681 -1.04321
17	0.712377 0.0987975 0.583518 0.527332 0.29947 -0.729282 -0.565797 -0.242101 0.388079 -0.00190968
18	-0.316304 -0.548169 -0.221103 -0.212343 -0.16539 0.22725 0.173076 0.159283 -0.689797 -0.854973
