1	-0.3725928044407063 -0.2464407626464321 -0.3689983662303143 -0.3634298172522647 -0.3416243397805837 0.3666474798136159 0.3651372203184376 0.3075148816371443 -0.3915068256523292 -0.2918344610968244 -0.4261123131642332 -0.4091302733810848 -0.3941232384330652 0.4337497289845132 0.4053420021151515 0.3219648182749424 -0.9628909797829033 -0.9053152596843166 -0.9700715296227518 -0.9800244618657359 -0.9774690086717394 0.961020473665504 0.9668943968604071 0.9162368846801707 -0.9611441397603135 -0.9074130841458748 -0.9686297470367605 -0.9837827304249291 -0.9834896568341703 0.9694213956440274 0.9717116636151804 0.9192750015226049 -0.9712171647041519 -0.9538212854630542 -0.9677268137699132 -0.8772051668830736 -0.8093037717468791 0.9626053484633229 0.94831221886058 0.7265043790064548
2	-0.9982433075112711 -1.137852194139088 -0.971901878396669 -0.9337408328937035 -0.614342963004025 1.054327586743937 0.8393288440711979 0.4000913858429267 -0.99017470720403 -1.166412914980173 -1.015129524315642 -0.9986988922455385 -0.8364020454295539 1.061451546849512 0.7890147043361507 0.3690977951208815 -0.988480088918133 -0.901709262328688 -0.9927317579296262 -1.147253692465263 -1.147995458724254 1.040575912094162 1.025325778170397 0.8862450017895084 -0.9805858017400945 -0.894522847688147 -0.9859681638352686 -1.144592584035722 -1.152786411834733 1.040256730206836 1.022075800656433 0.8789668640175909 -1.29388712236959 -1.23499684660654 -1.323278494773124 -1.478031030532627 -1.408584997634247 1.270003700714402 1.224456250607862 0.8532289980957819
3	1.922482888481046 1.816806366754835 1.775034527763667 1.745221513156786 1.390232656313679 -1.83047872424639 -1.647439319437491 -1.106747064323666 1.743778779156455 1.774009869367374 1.739950410589334 1.746253157959165 1.599568778040846 -1.760442506042271 -1.533818567740549 -1.031849236029441 0.05773197753076656 -0.0587189157121706 0.03990567382436171 0.2759528496130025 0.3268034588898768 -0.2448958851381318 -0.2348694907481483 -0.1591820112107554 0.02324493930130023 -0.0898502670235326 0.0003909185835806069 0.2384112528452559 0.291613865700518 -0.2088564190162128 -0.1955750645904908 -0.1415823735807301 0.515143227497787 0.4101080206237839 0.5669769927595114 1.019842039466463 1.021512913086624 -0.4711591184379423 -0.4021991151867103 -0.2872905799354448
4	-0.9122442183877609 -1.099822983809447 -0.8751057258997588 -0.8398542671053448 -0.5207260360216424 0.9582094168450098 0.741781337037421 0.3127706195649084 -0.8765971440659142 -1.09717887983411 -0.8804017920259676 -0.8751038932135032 -0.7184547237775639 0.9211447984072079 0.6619035369327699 0.2687124022113105 -0.394462804816147 -0.3339887997014376 -0.3926940978969956 -0.553833114036965 -0.5609938218314964 0.4623881986251863 0.4440639832623671 0.3354693188270596 -0.3846674418371696 -0.3230829773054099 -0.3832764085301885 -0.5455679526281818 -0.5586240572088194 0.4539037383175544 0.4345001803052744 0.325316127556023 -0.7182357803381004 -0.662750624953512 -0.7525198335303467 -0.9904217636550018 -0.9634188290307411 0.6964455051923175 0.6552159152416337 0.4213743165505657
5	1.229514314856821 1.238867333871149 1.125824291432909 1.104565722753333 0.8388747883381767 -1.173520061927253 -1.026474568761 -0.6397789747853534 1.093000903973294 1.18609032018701 1.073231239969989 1.085649303116103 0.9764470678219858 -1.087548613083823 -0.9197727038514467 -0.5763872565926269 -0.4081181066716082 -0.4654048276711305 -0.4242364417571639 -0.2503146581175605 -0.2131938173531566 0.2711912968624526 0.2828979407894125 0.320285639083674 -0.4320217382108339 -0.4890449791956243 -0.4517294931962941 -0.2789609132711903 -0.2407771492789081 0.3011697597898082 0.313418746803843 0.334981079939384 -0.06441151178620391 -0.1336415351541741 -0.02345810655489041 0.3586134563188012 0.3914394927467011 0.09258800783644361 0.1370624352961499 0.1273588636003385
6	-0.8287620580719192 -0.9780829383013887 -0.78243767967925 -0.754526280674169 -0.482855942836079 0.8499279109366175 0.6705779343674072 0.3033335958398938 -0.7735896741101169 -0.9590735385086275 -0.7672979190431571 -0.7685696023127522 -0.6401551448068007 0.7972944606891208 0.5879264548743721 0.2579093083962583 -0.05332606335771549 -0.007971245704005285 -0.04779957485291979 -0.1932437635938587 -0.2061312714811109 0.1284799594938067 0.1125996931072691 0.03708262868477966 -0.04192399669121712 0.004686910592676176 -0.03588253211381238 -0.1811536855514527 -0.1980123112210087 0.1153111091668821 0.09908012408194876 0.02663808583223039 -0.3460369999120907 -0.2960198611350653 -0.3785797212230652 -0.633742619772474 -0.6313706647302694 0.3264435813665926 0.2908928487331156 0.1626073212950434
7	0.1570940819609459 0.1820025001095749 0.1213119172462293 0.1224718847732137 0.0865274057043338 -0.1251481006395831 -0.1088469770564611 -0.0614664143083976 0.09538533746881728 0.1368883817987557 0.06873888919182211 0.08377287220594333 0.07761772522332915 -0.06227968346893095 -0.05957023498485029 -0.03609661782809362 -0.7425859079405043 -0.7260841514767248 -0.7528532119848916 -0.7166294447880376 -0.7005666270121332 0.6962439342283948 0.7002581102960163 0.6677462638529803 -0.7501087532566699 -0.7351425925606442 -0.7621944929863647 -0.7293009858770163 -0.7151892070783318 0.7117463005520136 0.713992550679366 0.6734870140725167 -0.6665800989538225 -0.6762832157243256 -0.6543620365926404 -0.493648852535941 -0.4396769528545342 0.6699484548838974 0.6734081453672669 0.5079464858874047
8	-0.9313407587684517 -1.055829567499472 -0.9008509127206162 -0.8669452450443004 -0.5751912614342324 0.9748042580889956 0.7804124823992469 0.3786068511148521 -0.9128707548256549 -1.074089360634961 -0.931122394257661 -0.9188245371253194 -0.7727833945181291 0.9713306026265953 0.7275451609025516 0.3466406905916606 -0.7691534295637706 -0.6931515418053702 -0.7711979492269315 -0.9159773901219714 -0.9196612946856491 0.8243978124776558 0.81026760594555 0.6911024143960074 -0.7606128404618187 -0.6850791824952004 -0.7633209546268418 -0.9112872226434029 -0.9212995032297668 0.8214060376004915 0.8048853087447425 0.6836253125627003 -1.055757104453967 -1.000892098826353 -1.084137384810163 -1.249694871033382 -1.195998043134248 1.033560779501171 0.99188125165917 0.6859942980958269
9	0.6929715314845096 0.6596323223198809 0.6203827977431223 0.6138721274369339 0.4930503841566634 -0.6353338483387624 -0.5787665312360158 -0.3953959948337277 0.5912522215476262 0.6133088518828063 0.5707660419781021 0.5839870899211258 0.5422064347524959 -0.5699092499166361 -0.5115541519013348 -0.3554420260614705 -0.5379910069451924 -0.5611166467282845 -0.5511937651025283 -0.4580401052832996 -0.4299173754481729 0.4468594505329447 0.4516520143433703 0.4457059254140143 -0.5542806635486874 -0.5772627627098474 -0.570513946947753 -0.4791399726159928 -0.4520701014716416 0.4694358455610648 0.4739979196944644 0.4549540019216643 -0.354282107675577 -0.3924849767336086 -0.3307177229046468 -0.08167636375404125 -0.04071019267772549 0.3699030009387183 0.3925385639687991 0.2957397006801585
10	-0.6635230504522586 -0.7404718378992526 -0.5972054299391358 -0.5840518836246642 -0.4053397752281201 0.6338942640326979 0.5274647819226896 0.2817389404777565 -0.5660638249528674 -0.6857825424252463 -0.5376922044359734 -0.5531082644551342 -0.4808042883509132 0.545852334633941 0.4360442482768964 0.2320435534614557 0.6807909151209925 0.6941483242674117 0.6944430634728702 0.5785691732101079 0.5534390377533595 -0.5888982921472381 -0.6002351971962958 -0.6073808620652591 0.6957320732123086 0.710786474935806 0.711771196268933 0.5989734145265883 0.5738394537518412 -0.6123219064618391 -0.6224029655746206 -0.6187520960983006 0.4461669957438111 0.4854666831645885 0.4164038783774969 0.1170927573072198 0.0664728985245628 -0.4613965668088211 -0.4855562773724378 -0.3913922080514502
