(pearson)
=====================================================
 #  	||  ref		trmf
=====================================================
4 	|| 	100		100
5 	|| 	100		100
6 	|| 	100		100
7 	|| 	100		98
8 	|| 	100		98
9 	|| 	100		97
10 	|| 	100		97
=====================================================


(spearman)
=====================================================
 #  	||  ref		trmf
=====================================================
4 	|| 	100		99
5 	|| 	100		99
6 	|| 	100		99
7 	|| 	100		95
8 	|| 	100		95
9 	|| 	100		94
10 	|| 	100		94
=====================================================
=====================================================

