1	-0.5105169304802272 -0.6254011962683101 -0.5519682537370331 -0.5300353314416054 -0.6625624745342844 -0.8806131986756346 0.4038190464462827 0.9934306155997565 -0.6252871571797185
2	-0.8562045232518624 -0.875875449513546 -0.8435905147487371 -0.8769015782909451 -0.8595480593328866 0.2691903285770733 0.1023437844842213 -0.1137355738069644 -0.8790594644631661
3	-0.873676241046824 -0.9324199014763543 -0.878600664638544 -0.8931608482943877 -0.9254859328500536 0.03116132016957786 -0.2290188419693968 -0.195860859220503 -0.933966734202313
4	-0.8684331455829631 -0.9457138434930199 -0.8820155251895908 -0.8869629323940201 -0.9435011311990897 -0.08664227593863381 -0.3947261019067063 -0.2380124629336683 -0.9464113294846392
5	-0.8853538950651709 -0.9430854563275842 -0.8893593618606053 -0.9039636572065604 -0.9334074150969259 0.08399644847382734 -0.3459412650253332 -0.3285217404012756 -0.9444666992121155
6	-0.8845716133724876 -0.9276296625177974 -0.8820928720086474 -0.9056904414323702 -0.9177456166632865 0.1112823047264226 -0.01585001088876496 -0.0874373485339715 -0.9300711903868435
7	-0.8959258645281518 -0.942390355582695 -0.8948543406083371 -0.9181612575334679 -0.9348514607675299 0.061957047510634 0.06251892995369675 0.01223475579866723 -0.9449492800261415
8	-0.8975451133116062 -0.9570368176896992 -0.9022471862034916 -0.9178856193597963 -0.950219670549762 0.02765764780285277 -0.1971985641649877 -0.1677124659318482 -0.958726581218337
9	-0.8983761619761819 -0.9548803699986144 -0.9017721593324211 -0.9195531452058663 -0.9485427351613406 0.02346294995244232 -0.0975604106295173 -0.08550430235183976 -0.956856577617933
10	-0.9181398391844744 -0.959493500405379 -0.9143265927922676 -0.9424732768346714 -0.9525201899057799 0.05943170822044516 0.2549830508093197 0.1670233420117877 -0.9626724059733324
11	-0.913658487552912 -0.9595367540005056 -0.9119771352227727 -0.9371991350377775 -0.9529252165600457 0.04546934719465524 0.1623389895158059 0.1040895568623284 -0.9623882089367449
12	-0.9094573784017707 -0.9610210732706693 -0.9102899104978441 -0.9310487079892573 -0.9530326554480533 0.06214333487347948 -0.05925100814525247 -0.08433157308937528 -0.9632511327046749
13	-0.9045429963556485 -0.9631216156585374 -0.9087229799041724 -0.9256754542753719 -0.9569493337624617 0.01702771764374945 -0.1254383741166752 -0.102667566425321 -0.9650111708483952
14	-0.8949214419481163 -0.9696297779232175 -0.9068064774537906 -0.9154294951099478 -0.9682971313443446 -0.09912078049117164 -0.235602167694376 -0.1020720000416482 -0.9708294515373802
15	-0.8907156490456047 -0.9469660084838822 -0.8943980900365799 -0.9133191326538047 -0.9436753085105767 -0.03303162284666321 0.07396626634250829 0.0932786931684918 -0.9492695360944635
16	-0.8921491232098758 -0.9200507127685651 -0.882965575819513 -0.9176450417697449 -0.9126045953092862 0.08988606680538777 0.4959312960512436 0.3347388639219828 -0.9239720638235567
17	-0.6635754935824613 -0.658433525308432 -0.644305367571652 -0.6796166297234206 -0.6390876690596482 0.3662389570302222 0.1631228824626258 -0.1411882577594322 -0.6616098556228761
18	-0.7879884620931511 -0.8541464646294628 -0.7985424548991071 -0.8053837383129161 -0.8518940728115852 -0.06771440241053976 -0.2797282554348358 -0.1620286210485548 -0.8550446047168542
19	-0.9127110684487838 -0.9314463327182595 -0.8987741870275486 -0.9389975122169312 -0.9209768081820913 0.1609158215711671 0.5693274361582642 0.3393116126916484 -0.935843432996244
20	-0.8192911404171245 -0.8906504385738812 -0.8317241710566474 -0.8393858072428438 -0.892799990818489 -0.1584479922422594 -0.08692317476797749 0.06000861246470099 -0.8919348405579677
21	-0.7560744683524149 -0.8624276760144981 -0.7856345524763551 -0.7686747994426503 -0.8669141390670592 -0.2576672790111609 -0.8813717585303296 -0.4954848592514918 -0.8609031991559204
22	-0.714567433777843 -0.7784293762558729 -0.7258423459736114 -0.7295962122315189 -0.7763027230399442 -0.06601005104601569 -0.3491923611911523 -0.2191990909025021 -0.7789460223206774
23	-0.7327592521533293 -0.7243107581128646 -0.7115432870840092 -0.7608676002527995 -0.7209127995481242 0.0731234670541959 1.301642797866329 0.9847105497761734 -0.730191921162514
