(pearson)
=====================================================
 #  	||  ref		softimp
=====================================================
4 	|| 	100		91
6 	|| 	100		81
8 	|| 	100		81
10 	|| 	100		79
12 	|| 	100		90
14 	|| 	100		90
16 	|| 	100		90
18 	|| 	100		91
20 	|| 	100		91
=====================================================


(spearman)
=====================================================
 #  	||  ref		softimp
=====================================================
4 	|| 	100		83
6 	|| 	100		71
8 	|| 	100		70
10 	|| 	100		65
12 	|| 	100		81
14 	|| 	100		78
16 	|| 	100		79
18 	|| 	100		83
20 	|| 	100		83
=====================================================
=====================================================

