1	2.057684094554006 0.006905568836265632 1.028660985438425 2.092442510844657 0.3873131443458587 1.633126557757203 0.590417714458659 1.078801384848908 1.024820443562952 0.766819949462988 1.832336524008453 -0.95245791626784 -0.1169385366595987 1.851032177060348 1.296377249794463 1.180878821810782 1.90750970941114 1.896947930482673
2	1.900045393131599 -0.1200636101633648 1.051137688618577 1.889386661659001 0.3962156123468185 1.424330479022546 0.4684977283108351 0.868360144610857 0.8934901578023321 0.6299819121103942 1.636787903051488 -0.9924018761278388 -0.195772896408978 1.629074519209879 1.076889518298513 0.9700895240786914 1.706215907242892 1.703291088771156
3	1.580526181331867 -0.3870003320880754 1.100673075842888 1.479642980623515 0.388863102791027 0.9796767448753397 0.2380322584121039 0.415693703138351 0.5940190518370411 0.3260465091655563 1.223750987360553 -1.128397597261431 -0.4116948901089401 1.17970692792587 0.6107055027584651 0.5138930377743124 1.29973188439554 1.306488440311898
4	0.5233160949572224 -0.8180905048330612 0.8980855195903829 0.2827025760328677 0.1935695869592095 -0.2099434666689187 -0.2240904562550642 -0.6442560312923959 -0.2421209224933162 -0.4244440418147348 0.03983603132908581 -1.228814808394258 -0.8698913964965124 -0.0128388040566785 -0.5162796712279081 -0.5884105462686952 0.1586708186490546 0.16567982177045
5	0.1379436133061945 -1.010260066795529 0.8679690171319739 -0.1869412039060138 0.2530753982581291 -0.6027723502353416 -0.5089914416020355 -0.9963803741356924 -0.437493910080983 -0.6321025766432999 -0.3540536661154983 -1.099756123066709 -0.8515677558555576 -0.4976915842609926 -0.9087003100437844 -0.9395349908379615 -0.2967030785374487 -0.2609486233046303
6	0.03771456295187007 -0.6546897810549648 0.5281707305603451 -0.1622071384727067 0.09039396935621093 -0.4655585887673491 -0.2939341474059542 -0.7096597636221244 -0.3751582231230602 -0.4753423155932718 -0.303549765026667 -0.7933609610082891 -0.6603103617329817 -0.354040857604534 -0.6487553333381441 -0.6830378553647172 -0.2272597254001913 -0.2180674783892871
7	0.182303579842031 -0.3392702489597269 0.3414638117809627 0.1005283797508084 -0.02991148967142493 -0.1697979931266684 -0.02062496959377545 -0.3454028482661154 -0.2247589321304006 -0.2644748504499998 -0.06006872256851193 -0.6634701000058891 -0.5397278304626779 -0.01235806839641763 -0.2804906415432241 -0.3363785019049942 0.05452176653718727 0.03449387027941889
8	-0.271142233620479 -0.352454991643094 0.1094778193565301 -0.3444349941869893 -0.223857905520111 -0.5972095409640559 -0.06883487584466914 -0.660016161605023 -0.5713980852415086 -0.5224747705377814 -0.5184336423988849 -0.6480501203111728 -0.7180023753654805 -0.4015435628252378 -0.6255513614475559 -0.6862253395528338 -0.3483447619289704 -0.3904258428632864
9	-0.5856687587401853 -0.3653724354220008 -0.03973781422657135 -0.6662532659592461 -0.290788963605591 -0.8607419934736922 -0.157275485593354 -0.8434907809616222 -0.744731227980941 -0.6552906268257446 -0.8086979560166999 -0.5316772966542495 -0.7281891128623651 -0.6893595100919605 -0.8398690416623783 -0.8859606018861033 -0.6428072918524811 -0.6851638766684989
10	-0.0004002907755746146 -0.2287198747356451 0.1597169297233552 -0.04579980029148722 -0.1086748678099104 -0.2468104812622865 0.002671633719727652 -0.3349071468976073 -0.2801282501525976 -0.271534774854031 -0.1788715734325786 -0.4967962127924169 -0.4704331905886565 -0.1038110007792277 -0.2944483481243672 -0.3427679885353058 -0.06424724735108822 -0.09167274768533663
11	0.5296487045315267 -0.06847237372518498 0.3291104638769112 0.5037864805341482 0.1828537662860624 0.4067893070288333 0.06039701760339761 0.2425076597443438 0.2982491183531806 0.1990213493419824 0.468227621768284 -0.2065956265155726 0.02896754487296566 0.4175521588353956 0.29350223357759 0.2803245746808023 0.4479227913289319 0.4627630311462668
12	0.9778491488156178 0.7309385476543682 -0.1437689076902051 1.308624083858119 -0.418791555723159 1.054591790303546 1.02405113602217 1.027071362694854 0.3973028373868192 0.5359932016551904 1.020225138231973 -0.4278481148512484 -0.2157284150835654 1.429586489975263 1.14364038518952 0.986978772394321 1.300583369287921 1.171338791964417
13	0.9299689179096293 1.01731877059743 -0.4216256238203339 1.390280482190581 -0.7020248947362874 1.106622025466945 1.33229756167822 1.183159882006303 0.3000620716718888 0.5588532288539979 1.020195360660276 -0.4563657295609778 -0.3404166865349696 1.611649196060767 1.305368716743784 1.101392616973166 1.418800888403052 1.232671313523836
14	0.3018919089458961 0.7154792277877768 -0.5178102624552482 0.680820258625534 -0.8995388554297099 0.3187181499753146 1.105734461966985 0.4518364473929292 -0.3144431271225904 0.0151231230894181 0.254771930912807 -0.7134970852614918 -0.8111344721993132 0.8964038736281152 0.5512708982685338 0.3361821977720699 0.7401682244465295 0.5353739118569473
15	0.3106798248446367 0.1833522834677047 -0.03695300726246869 0.4409775205705853 -0.3511701152250014 0.1784526562430206 0.4805736601051971 0.1416692593698784 -0.1350612030787917 -0.02988385157137809 0.1999892519468393 -0.5620022296370347 -0.5096029963234658 0.4774781583962088 0.2165495847612659 0.1039194123704418 0.4387965452045758 0.3484077660119692
16	0.3749881586081684 -0.036418886923246 0.1828404839545981 0.4163113070183791 -0.1844283001996691 0.1305684982882123 0.2961665454823038 0.003839387519980349 -0.1044590734504789 -0.07793988726789698 0.1998814712098597 -0.644583563221575 -0.5130902620848319 0.3754988487795969 0.08567311250832234 -0.007240698580446962 0.3848251031776462 0.3255035405765676
17	0.2227891911773973 0.2013530677386603 -0.106790345597514 0.373210066697943 -0.4594038288192913 0.07488814889127726 0.5347624474560818 0.06410491576662068 -0.2602002704508171 -0.1141527425863953 0.09171116513931317 -0.6462943001392063 -0.6423467895663566 0.4300618386805793 0.1414845637685987 0.01060392979421408 0.3826335373153813 0.2725055194162817
18	0.8404057051324623 0.2026496865994514 0.2544812656903452 0.9298228410481704 0.05450262894368603 0.7764800874977403 0.3962312644681187 0.6177822330183791 0.4578772727245902 0.4054413535909772 0.8167154677656623 -0.2806669085396103 0.01635121624312338 0.8926235408567085 0.7009972050220755 0.6425489368471251 0.8748459030057659 0.850214495690562
19	1.624345012519519 0.2982809460346543 0.6001050062114035 1.719749796409413 0.3897890180589686 1.57545598151993 0.5061415387842209 1.248204870405885 1.110541979744831 0.9126669905872596 1.650739952554572 -0.2058440468470406 0.4139269265793254 1.606467864402547 1.376342943250089 1.332239110299194 1.598647552653911 1.613160960918901
20	1.991174173490406 0.5677454374919046 0.5397987440111854 2.223009556273349 0.1562562833821211 1.926412258015234 0.9492064818060637 1.583512266716713 1.177110061724687 1.054004100601607 1.997035530748788 -0.4983767160278096 0.193653857825736 2.157889570361598 1.767327898115993 1.643462395317776 2.100153545855457 2.049072247539784
21	2.134306159014608 0.754506904124515 0.4638950279752326 2.429135216078902 0.1398403530724432 2.170484297398498 1.092570030726447 1.85464977741634 1.340140429084059 1.232223820953197 2.211723801179243 -0.3761684295893585 0.3384025871263346 2.401593454540694 2.040352930680755 1.912305156751986 2.311393306704354 2.252522670191497
22	2.177090202117196 0.3027207985850098 0.8719804825683926 2.285967291485463 0.4748321974528804 2.006154701137492 0.6807565253091753 1.530041253930502 1.368090625971126 1.106966246769579 2.136043650136954 -0.4892744573698198 0.3524936768601177 2.109579862727396 1.719196960570054 1.639162957853772 2.115845084136605 2.123320843326366
23	1.977670614616162 0.2454295006480034 0.7945520454267444 2.095703198940793 0.2777322453600818 1.716108534616174 0.7294815105418553 1.265625614124166 1.062324173007858 0.868677885146792 1.855724041176037 -0.7377401484496878 0.01555410370132782 1.935470666401102 1.463591509902563 1.347027662215409 1.94187126896062 1.913993011975186
24	1.303464641069706 0.02828239616231859 0.6173661031553753 1.354277006911337 0.1224150887310677 0.9886827610903638 0.4802455584272284 0.640427557455412 0.5396386227130376 0.4161598385792093 1.120120965823831 -0.7717716329094961 -0.2595115066574598 1.214639634967589 0.7941305071937761 0.6898312763946763 1.242040209717414 1.208270905608712
25	0.6034832703046906 -0.1105107250444331 0.3719313049733923 0.602919345884064 -0.004482154500401153 0.3232172862734123 0.2258102414115733 0.1141964666696523 0.09601200386215757 0.04421120919839591 0.4210349104017473 -0.6299499115605067 -0.3787083357168062 0.5070261332417935 0.2076159529326749 0.1325365756901908 0.5410213801773506 0.5100137218745836
26	0.3664444575561817 -0.2736411592036888 0.3831568465898684 0.3074110591560538 -0.00195464214086742 0.02637772167944014 0.06122534180706227 -0.1755334968734871 -0.0923184471676539 -0.1461221137364885 0.1380681460354 -0.6691020221867972 -0.4821126691308339 0.1914430055390459 -0.09703585566779498 -0.159644106538765 0.2509421749838864 0.2293865132542653
27	0.1434451105029401 -0.3644686695567817 0.3356818381899317 0.06136434533311234 -0.07886724676511631 -0.2435130338332933 -0.007877259194418383 -0.4197192241026215 -0.3055332654094937 -0.3303944411243387 -0.1273597953723769 -0.7487578958717496 -0.6410397025940079 -0.05172794996765558 -0.3500231611960657 -0.417042608486835 0.01748402330923109 -0.01198234435192234
28	-0.3216466528783039 -0.9727158720001079 0.590623992562281 -0.6187493902560186 0.02996518322075095 -1.008151339330998 -0.518248032139782 -1.270191084739055 -0.7789395039012714 -0.8701847970576317 -0.8012715143302016 -1.0567264914022 -1.016137333182891 -0.8573180041760753 -1.214791694940708 -1.253382696160214 -0.6806050748518115 -0.6724057618829203
29	-0.6004133141461764 -0.4475194303150988 0.008934518295183035 -0.6956776681381439 -0.3429466944548055 -0.9664681555551836 -0.1522547084347688 -0.977395878218043 -0.8633052756133861 -0.7657854973370318 -0.8904945699976552 -0.7203109055058149 -0.9143912155968036 -0.7373347062026857 -0.9592378376088921 -1.024656963897907 -0.6773103405227026 -0.7317557051929328
30	-0.4448201968215931 -0.3834947417634972 0.043368710200406 -0.5262952662521115 -0.2754555977366501 -0.7702470627372989 -0.1147713307965165 -0.7982212771532776 -0.6997687756666949 -0.6265792049780615 -0.6988243888118796 -0.6411330237181826 -0.7785459975819907 -0.5705199675056342 -0.7760619007716624 -0.8346226206482715 -0.5169585553336802 -0.5627918097521301
31	-0.0155110152590852 -0.2379721188716611 0.1466126633438211 -0.04655644545964638 -0.2076597127797372 -0.3176567290578081 0.07125127335035861 -0.4095580876665139 -0.3937778885440489 -0.3550303560030569 -0.2400044831418429 -0.6604021725370806 -0.6488373234864879 -0.1001976709094468 -0.3553239843428695 -0.4294718884515081 -0.06235353778050669 -0.1112701501445371
32	-0.01281129545339529 -0.03920614825034414 -0.006147236475023765 0.01640113458178099 -0.2287293359628814 -0.163141517062273 0.1615895712337024 -0.1845871487867806 -0.2690302622100461 -0.2027745719437189 -0.1336350823881923 -0.420061177633038 -0.4427440247680786 0.01912842934722447 -0.1478983427127986 -0.2114361199213881 0.01899584144416349 -0.03195733323104264
33	-0.003791003972006558 -0.07842564109053002 0.1403377822538407 -0.1392947033198276 0.6314180219615254 0.2694190585884732 -0.5311453077682752 0.2717600180227339 0.5940471500375775 0.3938397618796983 0.2307869497697771 0.9298650272995073 1.008385615810947 -0.1947338881203758 0.1850006369363728 0.3490273330882233 -0.1601401693874327 -0.0202544600063539
34	0.2036434945503151 0.05257916845140767 0.1602413969189515 0.08747356483414863 0.7883517336709401 0.6043595159827411 -0.5176510911025135 0.6037132642420302 0.9147462894534034 0.6666232181577236 0.5419279997830869 1.20892307781304 1.362498433847671 0.03776460909828033 0.5074238367952736 0.702445096878581 0.0572730307775359 0.2242120916447239
35	0.4428000251427713 0.2459709289342906 0.1141544613354317 0.4113919305820898 0.6875053571929364 0.875184454319463 -0.2631174679373699 0.8731938782625668 1.024268754624006 0.8111512383114924 0.8004949967649196 1.127253998099587 1.330443704464756 0.3952675324047432 0.8036280984281052 0.9619791623820683 0.3805255873944937 0.5164121455165739
