1	-0.61626 0.122872 0.0141759 0.0793932 -0.0510414 0.340263 -0.0510414 0.16635 -0.159737 -0.485824 -0.246694 0.120697 0.209828 0.379394 -0.203216 0.209828 0.425046 -0.398868 -0.246694 0.144611 -0.159737 -0.531477 -0.246694 6.40549
2	0.296784 0.40548 0.294611 0.470698 0.318524 0.251133 0.644611 0.859829 0.470698 0.185915 0.425046 0.403307 0.0576544 0.275045 0.0772197 -0.0749549 0.0576542 -0.0510417 0.122872 -0.118433 0.275046 0.0793932 0.0533061 0.270698
3	4.64462 4.62288 4.79462 -0.0945202 0.0576542 4.27505 5.6207 0.185915 0.231567 0.207654 0.275045 0.0793932 0.492437 -0.0553895 0.185915 0.492437 -0.377129 0.16635 0.209829 -0.224955 6.99245 0.644611 0.338089 -0.116259
4	5.10114 4.5794 5.05766 5.38157 5.44896 0.446785 -0.268433 0.57722 0.0576542 -0.118433 -0.224955 -0.292346 0.0576541 -0.0314761 0.188089 -0.420607 -0.333651 -0.401042 6.92723 0.188089 0.185915 0.120698 -0.224955 0.0576539
5	0.883742 5.84027 10.9707 1.68809 7.20984 0.42722 0.968525 5.5794 0.57722 0.794611 0.644611 0.16635 0.775046 0.0772197 0.188089 -0.137999 -0.618434 -0.377129 -0.00756355 -0.681477 -0.00973747 0.251132 -0.531477 -0.335825
6	11.2294 0.753307 0.16635 5.79679 0.122871 5.84027 5.01418 4.79462 -0.072781 -0.0945202 0.0359148 0.120697 -0.811912 0.383741 0.0337408 0.0793931 -0.811912 5.20983 0.16635 0.101132 -0.746695 -0.0945202 0.0576539 -0.420607
7	0.92722 1.012 0.818524 0.881568 0.601133 0.514176 -0.246694 0.253306 -0.181477 0.0533061 -0.224955 -0.20539 -0.00756355 -0.509738 -0.116259 -0.248868 -0.637999 -0.61626 -0.442347 0.188089 -0.224955 -0.118433 -0.181477 -0.401042
8	-0.333651 -0.833651 -0.0749549 -0.137998 -0.140172 0.0576539 -0.357564 -0.268433 -0.246694 0.231567 -0.442347 -0.072781 0.362002 -0.444521 -0.224955 -0.0749549 0.101132 -0.183651 -0.377129 -0.333651 -0.833651 -0.485825 5.99244 -0.381477
9	-0.224955 10.5794 4.31853 -0.681477 -0.442347 -0.224955 -0.381477 -0.311912 -1.0293 -1.05322 -0.703217 -0.224955 -0.0945202 0.0772191 0.207654 0.209828 0.229393 -0.0945202 -0.00973747 0.383741 -0.181477 -1.29235 -0.833651 -2.22496
10	4.99244 0.275045 6.27505 10.1446 -0.118433 -0.618434 -1.07278 -0.61626 4.40548 -0.0749549 0.253306 -0.507564 -0.724956 -0.659738 -0.574955 -0.116259 -0.181477 -0.724956 -0.490173 -0.485825 4.94896 -0.164085 -0.574955 -0.268433
11	5.34027 5.38375 11.9707 5.0794 0.0576539 -0.00756355 -0.183651 0.318524 0.251132 0.42722 0.318524 0.729394 -0.203216 0.231567 0.0359148 0.0793931 0.142437 -0.0293027 -0.442347 -0.377129 -0.00756355 -0.485825 -0.0293027 0.0337408
12	5.75331 5.60114 10.7751 0.990264 0.359828 0.644611 0.42722 0.403306 0.251132 0.403306 0.620698 0.753307 0.579394 0.31635 -0.116259 0.231567 -0.20539 -0.072781 -0.203216 0.296785 0.120697 -0.290173 -0.401042 -0.137998
13	6.20983 2.64461 6.53592 0.840263 1.29679 0.794611 6.14462 0.83809 0.66635 0.470698 0.66635 6.20549 0.383741 0.0989583 -0.333651 -0.0293027 0.0337408 -0.377129 -0.183651 -0.311912 0.144611 -0.35539 -0.72713 -1.0967
14	-0.942347 0.859829 1.20766 1.29679 0.685915 1.01418 0.601133 0.644611 0.555481 0.555481 0.729394 0.362002 -0.0293027 -0.183651 0.253306 0.207654 -0.00756355 -0.96626 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
15	0.142437 -0.0293027 -0.272781 -0.183651 0.0141756 0.0793931 0.0793931 -0.183651 -0.746695 -0.46626 -0.681477 -0.224955 -0.61626 0.0359148 -0.490173 6.01418 0.340263 0.379393 0.446785 0.383741 -0.203216 0.0576539 0.229393 -0.00756355
16	0.383741 0.207654 0.620698 0.120697 0.253306 0.0772191 0.144611 0.644611 0.0359148 0.101132 0.318524 0.209828 0.383741 0.340263 0.446785 0.596785 0.0359148 -0.116259 0.144611 0.294611 -0.377129 0.318524 -0.20539 -0.0749549
17	4.94896 0.296785 10.5359 -0.140172 0.338089 0.185915 0.468524 5.94896 0.470698 0.83809 5.29679 0.42722 0.533741 0.0793931 0.338089 5.81636 0.0576539 -0.00756355 0.555481 0.294611 0.231567 0.0576539 -0.0945202 0.31635
18	5.64244 1.03157 2.25331 0.535915 1.03592 0.796785 0.644611 1.38374 1.012 4.75331 0.231567 0.688089 1.01418 0.318524 0.0141756 0.296785 0.16635 0.209828 0.0576539 0.209828 -0.290173 0.42722 -0.00756355 0.644611
19	1.01418 4.38375 4.05766 3.33809 -1.79017 3.36201 4.14244 -0.901043 -0.159738 -0.181477 -0.072781 -0.485825 -0.985826 -0.964086 -0.61626 -0.551042 -0.553216 -0.377129 -0.00973747 -0.290173 -0.381477 -0.618434 -0.137998 -0.268433
20	4.51201 9.90549 4.62288 2.92722 -0.224955 -0.377129 -0.181477 -0.377129 -0.35539 -0.768434 -0.72713 -0.46626 -0.594521 -0.768434 -0.790173 -0.509738 -0.746695 -0.920608 4.64462 -1.00974 -0.942347 -1.22713 -1.138 -1.40104
21	-0.746695 -0.0510419 0.403306 0.122871 -0.637999 0.0337408 -0.377129 -0.333651 -0.661912 -0.551042 -0.594521 -0.659738 -0.640173 -0.594521 -0.833651 5.46853 -0.964086 -0.942347 -0.768434 -1.20322 -0.72713 5.51201 -6.11627 -6.68148
22	-7.02931 -6.81192 -6.68148 -5.87714 -5.92061 -6.33366 -6.29018 -6.2467 -1.09452 -6.81192 -6.70322 -7.27062 -7.98583 -7.05105 -6.96409 -2.33365 -8.22714 -7.65975 -7.44235 -7.79235 -8.00975 -2.57278 -7.9467 -7.96409
23	-4.48583 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -5.26844 -0.246694 -5.05105 -5.42061 -4.89887 -4.81192 -5.33366 -6.31192 -6.70322 -6.3554 -5.05105 -4.7467 -5.37713 -5.00757 -4.89887 -4.52931
24	5.16636 -0.944521 9.77288 5.03592 2.84027 -0.485825 3.0794 -0.942347 3.64461 -0.768434 3.40548 2.20983 3.36201 3.01418 3.55766 -0.246694 13.2098 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
25	-16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -1.94235 1.64461 6.44679 -0.920608 2.88374 2.23157 2.42722 2.84027 2.64461 2.77505 2.862 2.68809 2.84027 2.49244 2.79679 2.29679 2.68809 2.5794
26	2.90548 3.36201 7.27288 -1.39887 7.34027 -1.00756 1.68809 2.14461 -0.855391 3.42722 2.20983 1.94896 2.14461 2.55766 2.12287 2.34027 2.5794 2.29679 2.55766 2.40548 2.38374 2.38374 2.03592 1.64461
27	-16.2685 -5.44235 2.51418 -0.964086 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 1.25331 1.12287 0.775046 1.46635 -16.2685
28	-0.137998 3.16635 -0.203216 3.03592 3.20983 5.9707 3.36201 3.12287 2.4707 3.01418 2.84027 1.62287 2.60113 2.92722 -0.790173 2.88374 2.75331 2.94896 2.70983 2.70983 9.1881 2.94896 2.20983 2.38374
29	6.5794 1.53592 4.10114 2.77505 -0.398868 3.86201 0.253306 4.29679 -0.0945202 2.75331 2.64461 -1.138 1.40548 -2.138 3.0794 3.18809 -0.442347 2.27505 3.27505 3.0794 -0.703217 3.10114 2.79679 3.03592
30	4.27505 0.579394 6.70984 9.03592 4.0794 3.68809 -0.703217 8.77505 -0.268433 3.68809 3.66635 3.27505 4.18809 -0.681477 3.10114 5.94896 2.94896 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
31	4.05766 6.68592 0.862003 1.07939 3.92722 0.0793931 3.31853 -0.35539 3.01418 0.253306 4.20983 1.862 3.53592 3.77505 0.775046 4.73157 3.40548 3.88375 4.12288 8.49245 4.01418 3.36201 3.5794 3.4707
32	-3.76844 1.53592 5.5794 4.38375 0.0141756 5.0794 -0.246694 -0.485825 5.66636 3.86201 -0.072781 3.5794 3.40548 0.0793931 3.77505 3.81853 3.38374 4.55766 -0.333651 3.77505 3.51418 3.25331 4.10114 3.53592
33	6.4707 0.229393 -0.490173 2.44896 0.862003 -1.89887 -2.20322 -1.66191 -1.5967 -1.79017 -2.18148 -3.07278 -3.81192 -0.964086 4.27505 0.144611 3.60114 0.275045 0.188089 4.12288 3.44896 0.40548 4.05766 -0.159738
34	4.66635 0.579394 -0.833651 -1.57278 -3.42061 -1.76844 -3.61626 -3.79018 -3.65974 6.59897 1.42722 0.992438 3.79679 1.38374 3.77505 3.16635 -0.311912 -0.0945202 4.66635 0.709829 3.68809 3.60114 0.622872 -0.072781
35	3.9707 3.77505 3.79679 2.60113 0.818524 1.012 -0.246694 -1.55322 -0.35539 -0.964086 -1.16191 -0.944521 -0.224955 1.20766 5.25331 7.40549 2.92722 -0.833651 3.03374 -1.138 4.0794 -1.81409 4.94896 3.77505
