1	-0.5211702850720612 -0.05642552928695209 0.1955137807724328 -0.01787497898515185
2	0.3371421442265674 0.3267217331872281 0.3752869499037457 0.4267773082476954
3	4.103043970110169 5.640867016275688 3.709855878672522 0.5040830039074813
4	5.036234101188421 4.697597907312859 4.93151480547662 5.435367593588095
5	-0.05217316499854619 7.70253255747489 8.97285415355352 2.746976323446503
6	10.77582471945898 1.560442913602904 -0.588564053509041 6.182655704345536
7	0.9603717750180063 0.9440669434736205 0.8862214796754032 0.8449885063804244
8	-0.4622280611340828 -0.5777824287671058 -0.334036539134183 -0.004242326653466489
9	0.9520677783859529 8.26574958907163 6.596467373694026 -1.841344834129925
10	4.360770499490394 1.550237108781486 5.011058168153329 10.74659121767839
11	4.007510155009837 8.003355909490349 9.230917696482512 6.513354621789224
12	4.21897527832617 8.578335597567156 7.649548290589472 2.66006454197402
13	4.868726050826957 5.228402593163265 3.85820790683768 2.267533542603311
14	-0.7738415061123561 0.5513408026197646 1.516480072003876 1.124643192741117
15	0.1559519689743305 -0.05946787471519232 -0.2406709460106597 -0.1988447134262366
16	0.2740038698780982 0.4210850748427474 0.3989407891284609 0.2381168120031313
17	2.382869086315356 5.305463106238394 5.349874110020016 2.602930866657318
18	4.859312734063477 2.514585435437401 0.7363660066210443 1.348321755294619
19	1.322851006617787 3.796800606752059 4.633891897279112 3.026285197028728
20	5.380691611418894 8.172306241951329 6.348267140237684 2.041232322696815
21	-0.744384620767686 -0.04519906077052231 0.3932309707981929 0.1250374775762901
22	-6.930982028858418 -6.979596351928645 -6.491528708548886 -5.973066423849125
23	-5.730338022959703 -13.91961262236894 -18.60226932411623 -14.98095185255872
24	3.037665088096971 3.240548726222304 5.477942927161982 7.267543999636283
25	-16.26565962689666 -16.23645092764594 -16.26898600786355 -16.24024735643233
26	1.669945139639793 5.76014808330662 4.750235121008139 -0.04281782735619973
27	-16.21756159575883 -5.354651598112213 2.375971575480713 -0.9456791068926329
28	0.8643121748054963 1.218490563946821 1.795981168961713 1.970995296672299
29	5.669964924049557 3.277211180896862 2.322895859478966 3.711977995812026
30	3.574555496264457 1.990356518903369 5.29232022594305 9.726100486368471
31	4.888017442983418 5.013141794632522 2.554091540063217 0.2135263744548848
32	-3.703044942389059 1.494976292843973 5.592748595639959 4.337934135180419
33	6.189764156979082 0.7250333226289454 -0.9574669149358941 2.694432365453073
34	4.283169874206306 1.265011328960077 -1.528398543728918 -1.180838420060442
35	3.819500041843281 4.052404020614885 3.497815285056322 2.761379561837362
36	3.937058797781348 4.029485144281945 3.044236169043221 2.055912368879818
37	-28.53523117615844 7.908983022617687 13.53258350967304 -15.88736338296401
38	-15.99913371121728 -16.17783881555207 -16.32801415107384 -16.20838929837785
39	21.49369796003829 7.19206216103589 0.8400551473493176 8.629144728095865
40	4.288899002831839 4.990946336937923 5.108716769185043 4.52497278228806
41	-15.99913371121728 -16.17783881555207 -16.32801415107384 -16.20838929837785
42	-15.99913371121728 -16.17783881555207 -16.32801415107384 -16.20838929837785
43	5.265376572614031 0.8261657944618187 -2.493857107900172 -1.272923626599258
44	-2.27534538389778 2.83807782777759 3.31032889314068 -1.109530882257081
45	-2.423993491320507 1.031702881567975 4.3709635113111 4.085806950699204
46	-6.358800009739213 -16.2302565952243 -16.17695874258614 -6.726107474165663
47	8.38659293950265 4.574261432015722 3.018193645254748 5.203025976479272
48	4.528933116043959 5.399106347560378 3.731086111704112 1.391664850878672
49	-4.087207419301527 -0.1009639195516115 3.939314383501388 3.785372662416846
50	-11.58491913106781 -5.67605735557312 -2.324665308781772 -4.879326047456556
