1	-0.61626 0.122872 0.0141759 0.0793932 -0.0510414 0.340263 -0.0510414 0.16635
2	0.296784 0.40548 0.294611 0.470698 0.318524 0.251133 0.644611 0.859829
3	4.64462 4.62288 4.79462 -0.0945202 0.0576542 4.27505 5.6207 0.185915
4	5.10114 4.5794 5.05766 5.38157 5.44896 0.446785 -0.268433 0.57722
5	0.883742 5.84027 10.9707 1.68809 7.20984 0.42722 0.968525 5.5794
6	11.2294 0.753307 0.16635 5.79679 0.122871 5.84027 5.01418 4.79462
7	0.92722 1.012 0.818524 0.881568 0.601133 0.514176 -0.246694 0.253306
8	-0.333651 -0.833651 -0.0749549 -0.137998 -0.140172 0.0576539 -0.357564 -0.268433
9	-0.224955 10.5794 4.31853 -0.681477 -0.442347 -0.224955 -0.381477 -0.311912
10	4.99244 0.275045 6.27505 10.1446 -0.118433 -0.618434 -1.07278 -0.61626
11	5.34027 5.38375 11.9707 5.0794 0.0576539 -0.00756355 -0.183651 0.318524
12	5.75331 5.60114 10.7751 0.990264 0.359828 0.644611 0.42722 0.403306
13	6.20983 2.64461 6.53592 0.840263 1.29679 0.794611 6.14462 0.83809
14	-0.942347 0.859829 1.20766 1.29679 0.685915 1.01418 0.601133 0.644611
15	0.142437 -0.0293027 -0.272781 -0.183651 0.0141756 0.0793931 0.0793931 -0.183651
16	0.383741 0.207654 0.620698 0.120697 0.253306 0.0772191 0.144611 0.644611
17	4.94896 0.296785 10.5359 -0.140172 0.338089 0.185915 0.468524 5.94896
18	5.64244 1.03157 2.25331 0.535915 1.03592 0.796785 0.644611 1.38374
19	1.01418 4.38375 4.05766 3.33809 -1.79017 3.36201 4.14244 -0.901043
20	4.51201 9.90549 4.62288 2.92722 -0.224955 -0.377129 -0.181477 -0.377129
21	-0.746695 -0.0510419 0.403306 0.122871 -0.637999 0.0337408 -0.377129 -0.333651
22	-7.02931 -6.81192 -6.68148 -5.87714 -5.92061 -6.33366 -6.29018 -6.2467
23	-4.48583 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
24	5.16636 -0.944521 9.77288 5.03592 2.84027 -0.485825 3.0794 -0.942347
25	-16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -1.94235 1.64461
26	2.90548 3.36201 7.27288 -1.39887 7.34027 -1.00756 1.68809 2.14461
27	-16.2685 -5.44235 2.51418 -0.964086 -16.2685 -16.2685 -16.2685 -16.2685
28	-0.137998 3.16635 -0.203216 3.03592 3.20983 5.9707 3.36201 3.12287
29	6.5794 1.53592 4.10114 2.77505 -0.398868 3.86201 0.253306 4.29679
30	4.27505 0.579394 6.70984 9.03592 4.0794 3.68809 -0.703217 8.77505
31	4.05766 6.68592 0.862003 1.07939 3.92722 0.0793931 3.31853 -0.35539
32	-3.76844 1.53592 5.5794 4.38375 0.0141756 5.0794 -0.246694 -0.485825
33	6.4707 0.229393 -0.490173 2.44896 0.862003 -1.89887 -2.20322 -1.66191
34	4.66635 0.579394 -0.833651 -1.57278 -3.42061 -1.76844 -3.61626 -3.79018
35	3.9707 3.77505 3.79679 2.60113 0.818524 1.012 -0.246694 -1.55322
36	4.03592 3.86201 3.23157 1.94896 0.840263 -0.118433 2.34027 -0.227129
37	15.2576 7.66636 14.1229 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
38	-15.5251 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
39	5.70533 7.40549 0.533741 8.77505 2.0794 -1.03365 -4.11626 -2.92061
40	7.8302 5.01418 5.10114 4.53592 -0.072781 3.81853 -0.898869 -0.290173
41	-15.5251 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
42	-21.7225 -16.2685 -16.2685 -16.2685 -1.18148 -1.09452 1.94896 -0.594521
43	-2.69204 0.903307 -2.59452 -1.2467 2.362 -2.46409 2.55766 -1.33365
44	1.75755 2.81853 3.38374 -1.15974 2.68809 -1.2467 -0.87713 2.42722
45	2.03188 0.970698 4.44896 4.0794 -0.790173 -0.246694 4.60114 4.18592
46	-20.7041 -16.2685 -16.2685 -6.65974 0.470698 -2.72496 3.64461 1.77505
47	4.06215 4.64462 2.92722 5.25331 -1.29017 3.53592 -1.59452 1.68809
48	5.76856 5.44896 3.70983 1.38374 -0.35539 2.55766 -1.48583 -1.33365
49	5.74857 -0.181477 4.03592 3.77505 0.753307 -0.420607 2.75331 -0.790173
50	-3.38087 -5.79018 -2.18148 -4.94235 -1.07496 -0.0553897 -0.637999 -0.377129
51	0.490137 -0.0749549 0.492437 1.09896 1.09896 1.09896 1.14461 1.07939
52	8.21146 12.0577 7.12288 6.40549 0.709829 0.840263 1.18809 1.07939
53	-15.5251 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
54	-15.5251 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
55	-28.1386 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 1.24896
56	-1.60966 0.340263 -0.507564 0.57722 0.492437 0.596785 1.35766 1.81853
57	1.6217 -0.855391 1.79679 -1.48583 1.75331 2.42722 1.38374 1.05766
58	-15.5251 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
59	-15.5251 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685 -16.2685
