1	0.1178056121430032 0.1108589438687724 0.08989942069092917 0.08567526288190219 0.06473691167316291 0.08243147145797652 0.09848221279887701 0.1089534988388701 0.1182792775912966 0.1276107214989688 0.1538294856078948 0.1719187039508229 0.1820661910405515 0.1698176585194038 0.174419430515843 0.1870504659682125
2	2.751848019543343 2.376456171320765 1.38500990902929 0.8455169220920485 0.06398706504428965 0.1421055734234627 0.1758364374799225 0.2495850136287128 0.4367521679276754 0.6003485480575379 0.9921538562666378 1.189758700632338 1.498190651863319 1.326678429482353 1.404932012063936 1.578374287821483
3	-0.04877892434348551 0.01760003620750862 0.1640452797363237 0.2609659066661004 0.3488981693656789 0.372106759261656 0.3978098424545825 0.3988048666581122 0.3667056626332303 0.3434920172604737 0.3289584102570888 0.3350202018228965 0.2919582550589939 0.2785196915097564 0.266793206348724 0.2656154408553077
4	2.620065965948523 2.484593114852397 1.947295922076542 1.536184515140724 1.019054260413321 0.7591170533957562 0.4634433677536465 0.2624238827358634 0.1042136013771139 -0.03376668766301125 -0.115094083117335 -0.2196776020410755 -0.173688272829785 -0.3022266118702249 -0.3799181496044877 -0.4052996088872545
5	0.1293551582571595 0.3662913684896098 0.8156292533144988 0.998498029138342 1.241822938241543 1.035686708754512 0.8348758698788948 0.6413617229568714 0.3578820293088682 0.1176706210022021 -0.2112415788981992 -0.4038064668057451 -0.6293576546760633 -0.6367106787272681 -0.7611965154491764 -0.8909801825313234
6	-0.6792025127060284 -0.5397569279222102 -0.1890279383077739 0.02811938756430271 0.2824351970618115 0.3122286504830756 0.3543030639750577 0.357494429557383 0.3048149427917454 0.26380279161153 0.1909921328807181 0.1726975251887171 0.07467649236536483 0.09737665476492111 0.07792793167412898 0.05043825844789122
7	0.8886441790103995 0.7669948518851432 0.4227233911700103 0.1765798998918559 -0.0918353972590495 -0.2034671559908044 -0.329387345529258 -0.3954223797106253 -0.4084498987031275 -0.4255516545981731 -0.4358057033479204 -0.4774604215990419 -0.412257399727782 -0.4367037218073016 -0.4478904199534495 -0.455328220464888
8	-0.9774247961227048 -0.866309317499676 -0.5554996853115932 -0.3760737619822169 -0.1216261619801245 -0.1196022570006743 -0.1024641013191666 -0.1039352829380264 -0.1387289452782849 -0.169325226638508 -0.2667041832071417 -0.3104375297634108 -0.3961317463798928 -0.3378584994710506 -0.3514047656530466 -0.3956526021080797
9	1.478885193216394 1.349748461816817 0.9713707383995469 0.7808042215396565 0.4493663544784504 0.508150650827686 0.5451618223819025 0.5789878176080128 0.6375278314662468 0.6940390551442467 0.8822672368591634 0.9899927056962157 1.106725579999527 0.9974727012307575 1.023458554101965 1.112897627502697
10	1.381839486270737 1.222854070592466 0.7800976779093363 0.5259426340677144 0.1643614607440382 0.1650931401391135 0.1444009302136456 0.1492821685574729 0.2017425813522324 0.2478850921506265 0.3901741335932607 0.4550712832637525 0.5785241646257741 0.4956767815479337 0.5163248608811702 0.5808499561812559
