1	-2.764150977 -2.764150977 0.453095519 0.195715891 0.067026001 0.067026001 0.324405628 0.067026001 0.581785409 0.710475146 0.067026001 0.324405782 0.067026001 -2.764150977 0.195715891 0.453095519 0.067026001 0.324405782 0.324405782 0.710475146 0.324405782 -0.06166389 -0.705113189 0.195715891 0.324405782 0.324405628 0.067026001 -0.06166389 0.324405782 0.581785256 0.067026001 0.067026001 -0.19035378 -2.764150977 0.324405782 0.324405782 0.710475146 0.324405782 0.581785256 1.096544818 0.581785256 -2.764150977 0.581785256 0.839165037 0.7104753 0.324405782 0.839165037 0.324405782
2	0.839165037 0.324405782 0.324405782 -0.319043594 0.324405628 1.225234555 0.067026001 0.581785256 -2.764150977 -0.319043594 0.067026001 0.839165037 -0.19035378 0.324405782 -0.19035378 0.453095519 -0.705113189 0.195715891 0.581785256 0.324405782 0.581785256 0.324405782 0.195715891 0.195715738 0.324405628 0.324405628 -1.219872598 0.581785409 1.096544818 2.769512934 2.64082289 4.056411532 5.986759737 8.290308178 13.45077124 16.539328 17.56884712 18.34098677 17.68466696 17.95491695 16.28194852 15.76718835 14.99504992 15.76718835 15.50980887 16.02456905 14.48028975 13.9655308
3	11.52042334 9.847455531 5.729379956 3.799032058 3.014023742 2.383443416 -0.96249297 2.64082289 2.383443416 -2.764150977 2.126063635 2.640823197 2.126063635 2.512133153 2.769512934 2.64082289 2.254753372 2.512133153 -2.764150977 2.64082289 2.898202978 2.756643961 2.898202978 2.126063635 -2.764150977 2.126063635 2.126063635 -2.764150977 4.957240613 5.472000175 6.244139211 -2.764150977 8.817936407 11.3917336 14.86635957 16.02456843 15.2524294 8.817936407 -2.764150977 -2.764150977 17.31146765 14.99504931 14.09422054 13.70815133 13.70815133 14.6089801 15.76718835 16.02456905
4	9.332695356 8.547687653 4.699860832 3.927721489 0.195715891 2.512133153 2.126063635 1.868683854 2.254753526 1.61130438 2.126063635 2.254753372 2.126063635 2.383443263 1.868683854 2.383443416 2.126063635 1.868683854 1.61130438 -2.764150977 2.126063635 2.126063635 2.254753372 2.126063635 2.383443416 1.61130438 1.997373898 -2.764150977 2.254753372 2.640823197 3.670342014 4.442481051 6.115449167 12.42125273 15.2524294 14.48029036 18.0836073 18.0836073 17.56884712 17.05408756 17.05408756 16.79670747 14.99504992 15.50980887 15.38111975 15.8958787 14.73767045 14.22291027
5	12.93601168 9.075315882 7.531037809 3.799032058 3.014023742 2.769512934 2.126063635 1.868683854 2.512133153 2.126063635 1.997373898 1.61130438 2.126063635 1.739994117 2.254753526 2.126063635 2.512133153 -0.19035378 0.967854927 0.581785333 2.126063635 2.383443416 -0.19035378 -2.764150977 -2.764150977 -2.764150977 -2.764150977 2.383443263 -2.764150977 -2.764150977 3.670342014 4.185101576 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 17.31146765 17.05408695 -2.764150977 -2.764150977
6	11.90649255 5.986759737 3.670342014 2.64082289 1.739994117 1.868683854 2.126063635 1.482614336 1.096544818 0.967854927 0.967854927 1.096544818 1.353924599 1.353924599 0.581785256 0.710475146 -2.764150977 0.839165037 0.839165037 0.195715738 -1.477252379 -0.705113189 -1.219872598 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977
7	1.096544818 2.126063635 0.839165037 0.839165037 0.710475146 1.482614336 0.839165037 0.324405782 -0.705113189 1.096544818 1.096544818 0.067025924 2.126063635 0.710475146 0.839165037 1.096544818 0.839165037 1.353924599 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -1.219872598 -2.764150977 1.353924599 -2.764150977 -0.447733561 0.839165037 1.868683854 -2.764150977 1.611304226 1.353924599 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977
8	1.096544818 1.096544818 2.383443416 -2.764150977 0.839165037 0.710475146 0.839165037 0.581785256 -0.319043671 0.967854927 1.096544818 0.967854927 0.839165037 1.353924599 0.581785256 0.839165037 1.096544818 1.61130438 0.067026001 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 0.067026001 -2.764150977 9.049578548 10.7482843 -2.764150977 18.85574572 -2.764150977 18.31524698 3.670342014 16.28194852 -2.764150977 -2.764150977 2.898202978 -2.764150977 18.31524698 11.52042365 -2.764150977 -2.764150977
9	16.79670747 -2.764150977 7.76267995 5.472000175 1.353924522 2.383443416 -2.764150977 2.126063635 1.868683854 1.739994117 2.126063635 1.353924599 1.482614489 1.096544818 1.868683854 1.353924599 1.61130438 1.482614489 1.353924599 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 10.33647715 -2.764150977 16.539328 16.539328 -2.764150977 -2.764150977 -2.764150977 17.56884712 3.670342014 9.847455531 17.05408695 18.0836073 -2.764150977 -2.764150977 -2.764150977 -2.764150977
10	13.3220815 4.313791467 6.501518992 5.085930657 3.799031751 3.41296254 3.799031751 3.129844505 3.927721795 1.868684007 1.225234708 -2.764150977 1.868683854 1.482614489 1.61130438 1.61130438 1.096544818 1.225234708 -1.477252379 -2.764150977 -2.764150977 -0.447733561 -2.764150977 -0.447733561 1.096544818 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 5.472000175 -2.764150977 -2.764150977 10.10483501 13.45077185 -2.764150977 -2.764150977 3.129844505 3.41296254 -2.764150977 9.204005619 -2.764150977 -2.764150977 15.38111914 -2.764150977 -2.764150977 -2.764150977
11	11.64911308 9.332695969 7.531037809 4.957240613 4.18510127 2.769512934 2.512133153 2.64082289 2.898202978 2.769512934 3.129844505 2.64082289 2.769512934 2.64082289 -2.764150977 2.898202978 -0.19035378 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 5.214620087 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977
12	13.06470141 9.847455531 7.76267995 4.442481051 4.185101576 3.657473041 5.343310131 4.056411532 2.898202978 3.014023742 3.40009326 3.129844505 3.129844505 3.271403523 3.014023742 3.014023742 3.541652277 3.41296254 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 9.332695356 1.482614336 11.3917336 -2.764150977 -2.764150977 17.8262266 -2.764150977 5.214620087 -2.764150977 -2.764150977 -2.764150977 3.129844505 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977
13	9.718765181 6.746029799 3.41296254 2.512133153 0.839165037 1.868683854 4.957240613 -2.764150977 0.839165037 0.839165037 0.839165037 0.967855081 0.967854927 0.581785409 0.581785256 0.067026001 -0.705113189 -0.705113189 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 1.096544818 1.61130438 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977
14	1.739994117 -2.764150977 1.225234708 0.581785256 0.581785256 1.225234708 1.096544818 -0.061663967 0.324405782 0.83916519 1.225234555 0.839165037 1.225234708 -0.576423299 -0.705113189 0.581785256 1.096544818 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 1.868683854 -2.764150977 1.61130438 -2.764150977 -2.764150977 -2.764150977 0.067026001 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977
15	0.967854927 1.611304226 1.096544818 1.096544818 -0.061663967 -0.190353857 0.839165037 0.581785256 0.581785409 1.225234708 0.839165037 -2.764150977 -0.190353857 1.096544818 0.967855081 -2.764150977 0.067025924 0.839165037 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -1.091182861 -0.576423414 -2.764150977 -2.764150977 -2.764150977 1.61130438 1.353924599 1.096544818 -2.764150977 -2.764150977 1.225234708 -2.764150977 -2.764150977 -0.576423375 -2.764150977 -2.764150977 -2.764150977 -2.764150977
16	1.868683854 1.61130438 1.868683854 0.581785256 1.096544818 0.839165037 0.710475146 0.839165037 -2.764150977 1.096544818 0.581785256 1.868684161 0.581785409 0.839165037 0.839165037 0.7104753 0.839165037 0.839165037 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 0.839165037 -2.764150977 -2.764150977 -2.764150977 -2.764150977 1.096544818 -2.764150977 -2.764150977 15.76718835 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977
17	-2.764150977 6.501518992 1.61130438 4.699861138 4.442481051 3.927721489 3.41296254 -2.764150977 3.541652277 3.670342014 2.64082289 3.284272189 2.898202978 3.155582759 3.026892715 3.014023742 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 -2.764150977 16.539328 16.28194852 -2.764150977 -2.764150977
