1	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.06413 -0.864023 -0.520452 -1.04302 -1.22182 -1.73945
2	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.08792 -0.656847 -0.507611 -0.935801 -1.20959 -1.79128
3	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.21423 -1.30208 -0.6081 -0.725893 -0.908997 -1.14845 -1.68763
4	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.24259 -0.803089 -0.687372 -0.828583 -1.24628 -0.910145
5	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.22787 -1.32587 -0.620287 -0.918493 -0.801779 -1.20959 -0.858313
6	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -1.24151 -1.30208 -0.486232 -0.944171 -0.81518 -0.977229 -1.00085
7	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -1.25514 -1.29018 -0.656847 -0.725893 -0.788376 -0.512515 -1.19522
8	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.25514 -1.195 -0.534979 -0.879973 -0.748169 -0.720413 -1.0786
9	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.21423 -0.968959 -0.474045 -0.648851 -0.761571 -0.806019 -0.949015
10	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.15969 -0.695322 -0.583726 -0.802933 -0.721364 -0.329074 -0.884229
11	-1.30973 -1.20949 -1.18953 -1.15305 -1.27371 -1.11878 -0.374099 -0.364365 -0.815773 -0.734766 -0.267927 -0.780566
12	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.07787 -0.290819 -0.425298 -0.751572 -0.748169 -0.463597 -0.68986
13	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.05059 -0.397893 -0.486232 -0.469091 -0.667755 -0.280157 -0.49549
14	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -1.02332 -0.219437 -0.486232 -0.19945 -0.788376 -0.41468 -0.469575
15	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -1.00968 -0.24323 -0.522792 -0.417731 -0.801779 -0.377991 -0.547322
16	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -0.996045 -0.374099 -0.559353 -0.494771 -0.86879 -0.475826 -0.650985
17	-1.30973 -1.20949 -1.18953 -1.14284 -1.27371 -0.982409 -0.493071 -0.68122 -0.687372 -0.855388 -0.463597 -0.754649
18	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -0.968772 -0.552557 -0.766528 -0.713052 -0.895596 -0.561432 -0.871271
19	-1.30973 -1.20949 -1.17577 -1.14284 -1.27371 -0.982409 -0.635836 -0.864023 -0.905653 -0.935801 -0.426908 -0.884229
20	-1.30973 -1.22272 -1.18953 -1.14284 -1.27371 -0.982409 -0.671527 -1.01027 -0.982696 -0.9224 -0.390221 -0.754649
21	-1.30973 -1.20949 -1.18953 -1.13264 -1.27371 -0.982409 -0.671527 -1.09558 -1.00838 -0.882193 -0.58589 -0.702818
22	-1.30973 -1.22272 -1.18953 -1.13264 -1.27371 -0.982409 -0.635836 -1.09558 -1.1111 -0.908997 -0.488055 -1.02677
23	-1.30973 -1.20949 -1.17577 -1.13264 -1.27371 -0.996045 -0.647733 -1.10776 -1.08542 -0.935801 -0.561432 -1.19522
24	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -0.996045 -0.790499 -1.08339 -1.17529 -0.935801 -0.634808 -1.44143
25	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -0.996045 -0.933265 -1.08339 -1.21382 -0.962607 -0.854936 -1.35071
26	-1.30973 -1.22272 -1.17577 -1.14284 -1.27371 -1.00968 -0.98085 -1.10776 -1.20097 -0.949204 -0.561432 -1.22114
27	-1.30973 -1.20949 -1.17577 -1.13264 -1.27371 -1.02332 -0.933265 -1.11994 -1.23949 -0.962607 -0.769331 -1.24705
28	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -1.02332 -1.01654 -1.14431 -1.22665 -1.04302 -0.818248 -1.09156
29	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -1.02332 -1.02845 -1.1565 -1.26517 -1.02962 -0.879395 -1.13043
30	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -1.03696 -1.01654 -1.13213 -1.26517 -1.00282 -0.879395 -1.1693
31	-1.30973 -1.20949 -1.17577 -1.13264 -1.26063 -1.03696 -1.00464 -1.14431 -1.25233 -1.01622 -0.867166 -1.1693
32	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -1.03696 -1.02845 -1.14431 -1.23949 -1.02962 -0.903854 -1.18226
33	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -1.02332 -0.992751 -1.10776 -1.25233 -0.989413 -0.903854 -1.10451
34	-1.30973 -1.22272 -1.17577 -1.13264 -1.27371 -1.02332 -0.98085 -1.09558 -1.21382 -0.949204 -0.903854 -1.02677
35	-1.30973 -1.20949 -1.17577 -1.13264 -1.27371 -1.00968 -0.968959 -1.03464 -1.18814 -0.935801 -0.891625 -0.936061
36	-1.30973 -1.20949 -1.17577 -1.13264 -1.27371 -0.996045 -0.98085 -0.99808 -1.16246 -0.86879 -0.879395 -0.858313
37	-1.30973 -1.20949 -1.17577 -1.13264 -1.26063 -0.982409 -0.968959 -0.937143 -1.13678 -0.81518 -0.854936 -0.754649
38	-1.30973 -1.22272 -1.17577 -1.13264 -1.26063 -0.968772 -0.968959 -0.888396 -1.14961 -0.774974 -0.854936 -0.728733
