1	-1.211110158168844 -1.250869834424565 -1.228406770113041 -1.212060014077171 -1.231252908628358 -1.201699083123802 -0.9893541895719441 -0.937623871428874
2	-1.211172984800736 -1.258867454976135 -1.21695541248611 -1.227758790834829 -1.224680898854461 -1.208096885132718 -0.9005880353495428 -0.8336714752027465
3	-1.211747404079724 -1.247461723252436 -1.218482750225863 -1.232721415424926 -1.227626449793042 -1.219294938714525 -0.9687736094286125 -0.9092217092891938
4	-1.212724766320967 -1.242014286435322 -1.227722547593055 -1.222886259727593 -1.233497499337182 -1.216487333456054 -1.037318027154494 -0.989019954259124
5	-1.213360041654717 -1.244999445719893 -1.218593402080299 -1.238993681288892 -1.229216287024522 -1.226821117636282 -0.9859037026392198 -0.9270754894040838
6	-1.217306655365362 -1.256982997590565 -1.213864266234381 -1.25385508046942 -1.227893485654105 -1.233682939105335 -0.9117015797747344 -0.8401666334489728
7	-1.218707351750163 -1.249548923075038 -1.22245861888219 -1.247484223449612 -1.234082207399186 -1.234995191274705 -0.9891516523012956 -0.9291482575526223
8	-1.215984262766884 -1.256672464497696 -1.209063183851201 -1.257893266224167 -1.224767971713135 -1.235579103943999 -0.8910079894519928 -0.8156865297444128
9	-1.209688885741206 -1.275293025536632 -1.20491855449212 -1.235225691902051 -1.215389135178287 -1.20190439774319 -0.7611492058027 -0.6746149871606255
10	-1.20170024580934 -1.289502895939176 -1.210722631509265 -1.192336692299382 -1.210151133100872 -1.154850924114763 -0.6912679949168451 -0.6060662825117938
11	-1.194397524616089 -1.321649992291928 -1.196046591246512 -1.17756846322372 -1.192984443159074 -1.117534578228218 -0.4445526477672844 -0.3313024892523425
12	-1.188379293461441 -1.325444229136984 -1.201790974350722 -1.146376217376419 -1.190784257009585 -1.087192455795616 -0.4342566789583234 -0.3270489045764794
13	-1.18665899455048 -1.316326264613526 -1.208858994467244 -1.133322478524917 -1.194317376563302 -1.081884355480623 -0.5075892278937815 -0.4127629640809193
14	-1.185123953689711 -1.33327416622872 -1.212230629828071 -1.11413640927884 -1.192085662477895 -1.056108040107407 -0.4275793042403526 -0.3274459645055705
15	-1.181102717303974 -1.325785810889911 -1.211395681041347 -1.1062574070973 -1.190043049602553 -1.051414479519643 -0.4551738850630559 -0.3600851841813522
16	-1.180967615557748 -1.315890858847458 -1.216487566701874 -1.102096731910866 -1.193904308133052 -1.054448135515639 -0.5281610480854833 -0.4433039994173207
17	-1.18078698228939 -1.302840216502437 -1.22626179906976 -1.091395435170566 -1.20042039247434 -1.054688843705943 -0.6367903850884464 -0.5683213138070882
18	-1.182913374993465 -1.299956303537477 -1.237269667950567 -1.080996519441703 -1.20751992877126 -1.050929488142943 -0.7013795552397766 -0.6439397654513267
19	-1.179557714939262 -1.280658007001189 -1.234532053346062 -1.084415966725334 -1.206953994890384 -1.062335794798383 -0.7856405624488333 -0.737545010268654
20	-1.185589027312516 -1.280595841660944 -1.252085393862629 -1.074130785928928 -1.219421789531016 -1.060469658740987 -0.8703249775941567 -0.8361919670994606
21	-1.181621488475803 -1.272193997296932 -1.253401692490774 -1.063220767113999 -1.218565951560624 -1.054208624292197 -0.9116040330582008 -0.8850207130191391
22	-1.184178113523245 -1.27911962878567 -1.257094165757621 -1.061767024747579 -1.220991190828745 -1.051187147206556 -0.8953208471639998 -0.8673481066707995
23	-1.18009254044127 -1.268421072819094 -1.248370309804324 -1.068711141554032 -1.215741020772655 -1.059117052911762 -0.9079589502948224 -0.8793371989367239
24	-1.184291742274018 -1.264805424561979 -1.253465255554493 -1.075464936359459 -1.221672951912788 -1.070070512139618 -0.9571182337200881 -0.9334127713637917
25	-1.185620735249111 -1.255473434420157 -1.255699894907311 -1.080634737759512 -1.225151309064827 -1.080816950999446 -1.018792715389362 -1.001664049739207
26	-1.188607690587145 -1.25076978551325 -1.256179941525852 -1.091855541771765 -1.228247112523959 -1.094560000341516 -1.052395408428696 -1.036944709839872
27	-1.185523041236989 -1.248505013529684 -1.251620575905825 -1.090743315732716 -1.224297020339374 -1.092349755605491 -1.039183796149009 -1.022013294223741
28	-1.189205767459082 -1.246530681723557 -1.258565978817542 -1.091852232472329 -1.230461994890623 -1.097741292313568 -1.085943980431583 -1.074779724321062
29	-1.189325970055751 -1.24519010885035 -1.259448094432319 -1.091410504124397 -1.231172964449481 -1.098366721015339 -1.096916663235726 -1.087259089361909
30	-1.190578289061358 -1.246746989551977 -1.256913610938534 -1.09900811036402 -1.230631072680375 -1.104018582938506 -1.081147882773925 -1.067696352786695
31	-1.185262240515118 -1.239113107568123 -1.250077190890809 -1.097217471699947 -1.224896749341892 -1.102621554297977 -1.082376032969131 -1.068945960467025
32	-1.190698484001162 -1.245406877768326 -1.257795155843881 -1.098567098184954 -1.231341697043342 -1.10464423401425 -1.092115784939263 -1.080170151278439
33	-1.18895633243707 -1.249770947125278 -1.25610767943771 -1.093608389241812 -1.228620707659111 -1.09676339750268 -1.058193969303749 -1.043061323964636
34	-1.188836221277276 -1.251110470618221 -1.255226275404519 -1.094049727326294 -1.227910302572543 -1.096138423884801 -1.047229955111283 -1.030591828048472
35	-1.184408152034246 -1.250450245746155 -1.24826836722831 -1.091861192830871 -1.221632623203687 -1.09092696437929 -1.012797927141919 -0.9918979598643103
36	-1.183109509425905 -1.251703899081905 -1.247324869871113 -1.088628818838876 -1.220070989595018 -1.086630798666304 -0.9994304437837914 -0.9775345183593973
37	-1.179244986169806 -1.252378641942283 -1.241523822909684 -1.085631866340087 -1.214518379608701 -1.080520796558775 -0.9638166844072041 -0.9377806915381985
38	-1.180714986150576 -1.259564205143811 -1.243949944184459 -1.082679462398987 -1.215541072850073 -1.075264779903874 -0.9386212283584149 -0.9103386568601223
39	-1.180013059789958 -1.260692723020464 -1.240520164189299 -1.085676829814284 -1.213264262875423 -1.076082116071057 -0.9171850514514195 -0.8853589758221854
40	-1.179121388724695 -1.260902717828049 -1.245230011821227 -1.074663340598015 -1.214792715872469 -1.067198122257076 -0.9331424692720334 -0.9060512603862957
41	-1.179001272205094 -1.262242564083681 -1.244348208291433 -1.075105180000704 -1.214082069148777 -1.06657330430098 -0.9221751086324049 -0.893577867885761
42	-1.180213998860648 -1.261480270953915 -1.252249193744264 -1.065971058693296 -1.218746023761888 -1.061571119418358 -0.9608769732584806 -0.939626962009124
43	-1.179158715174105 -1.258654952350233 -1.248012163222654 -1.071172088990761 -1.216475511320798 -1.06611407136998 -0.956447605384224 -0.9331876306042559
44	-1.17659269201213 -1.252291800481061 -1.243623942664068 -1.073498516106556 -1.213629342233003 -1.069406073181166 -0.9669006466596863 -0.9440718238043391
45	-1.17648200000236 -1.253069063238134 -1.243437819241514 -1.073067922628781 -1.21333962938194 -1.068511000793607 -0.9617637705019927 -0.9383871653341008
46	-1.176546036438848 -1.255101357474226 -1.240146438892848 -1.077862347860743 -1.211525960111256 -1.070761064518495 -0.9377707802270604 -0.9101531701603472
