1	-1.93678 -1.90056 -1.63333 -0.991784 -1.54872 -1.6699 -1.19508 -0.833605 -1.42703 -1.41958 -1.2279 -1.50621 -1.59865 -1.51908 -1.17181 -1.21566 -1.17732 -1.7532 -1.57164 -1.58451 -0.896448 -1.35533 -1.12601 -1.14092 -1.43045 -1.27261 -1.72328 -1.07695 -1.35416 -1.31056 -1.49268 -1.07924 -1.20537 -1.75295 -0.733427
2	-1.73476 -1.77456 -1.68119 -0.974114 -1.43259 -1.58706 -1.27369 -0.63296 -1.44576 -1.41958 -1.12273 -1.23651 -1.48209 -1.39363 -1.20281 -1.25395 -1.17732 -1.48037 -1.4514 -1.33082 -0.75174 -1.35533 -1.14602 -1.02128 -1.2579 -1.22687 -1.36732 -1.4311 -1.13741 -1.11006 -1.47014 -1.3666 -0.857974 -1.68331 -1.21164
3	-1.49907 -1.49255 -1.35816 -1.46886 -1.58971 -1.46972 -1.34624 -1.25998 -1.38956 -1.43252 -1.15366 -0.917779 -1.16478 -1.50588 -1.17801 -1.38798 -0.957191 -1.22702 -1.25099 -1.12386 -1.22361 -1.26853 -1.23277 -1.23397 -1.12369 -1.10272 -1.13001 -1.43791 -1.70096 -1.89436 -1.12454 -1.42248 -1.71407 -1.76561 -1.06509
4	-1.42051 -1.43255 -1.36414 -1.54543 -1.78098 -1.60777 -1.44298 -1.68008 -1.5207 -1.54254 -1.562 -1.46331 -1.54037 -1.65114 -1.81041 -1.68795 -1.72152 -1.5908 -1.67852 -1.53778 -1.34316 -1.56233 -1.60642 -1.63275 -1.64774 -1.57973 -1.56275 -0.797711 -1.02594 -1.63489 -0.846554 -1.24687 -1.46593 -1.52504 -0.910829
5	-1.48785 -1.54655 -1.68119 -1.43352 -1.72633 -1.70441 -1.81181 -1.57975 -1.76425 -1.65903 -1.8466 -1.59816 -1.70226 -1.67095 -1.90961 -1.79644 -1.95999 -1.5843 -1.67184 -1.67797 -1.22361 -1.50223 -1.5864 -1.57958 -1.71804 -1.69734 -1.70234 -0.981598 -1.01356 -1.32825 -1.05692 -0.975467 -1.2488 -1.26547 -1.1268
6	-1.73476 -1.54055 -1.65726 -1.35106 -1.55555 -1.56636 -1.86622 -1.52959 -1.70805 -1.65256 -1.95796 -1.6901 -1.69578 -1.72377 -1.92821 -1.74539 -2.01502 -1.71422 -1.7854 -1.84488 -1.36203 -1.64246 -1.59307 -1.64605 -1.82029 -1.95218 -1.77214 -1.12462 -1.22411 -1.15724 -1.10951 -1.11117 -1.15575 -1.25281 -1.27335
7	-1.85261 -1.62455 -1.53164 -1.34517 -1.28914 -1.53184 -1.61833 -1.24744 -1.60189 -1.5749 -1.7043 -1.72688 -1.60512 -1.38043 -1.62441 -1.33054 -1.64203 -1.45438 -1.51152 -1.72471 -1.19216 -1.35533 -1.37288 -1.36025 -1.78195 -1.78229 -1.60463 -1.05651 -1.08787 -1.47568 -1.1621 -1.2788 -1.27982 -1.42374 -1.18079
8	-1.68987 -1.50455 -1.40003 -1.3864 -1.3028 -1.24193 -1.25555 -1.2349 -1.4083 -1.38722 -1.32071 -1.38362 -1.372 -1.48607 -1.31441 -1.36245 -1.28127 -1.40241 -1.4848 -1.57783 -1.10407 -1.38872 -1.3929 -1.32702 -1.24511 -1.32489 -1.42315 -1.27445 -1.36035 -1.49337 -1.37999 -1.25485 -1.31084 -1.56302 -1.20393
9	-1.76282 -1.54655 -1.4778 -1.34517 -1.28914 -1.26263 -1.6546 -1.191 -1.63311 -1.47135 -1.55581 -1.80043 -1.54037 -1.43325 -1.68641 -1.51563 -1.66649 -1.70123 -1.66516 -1.71135 -1.17957 -1.36201 -1.33285 -1.3669 -1.55188 -1.57973 -1.38826 -1.36299 -1.63283 -1.85308 -1.06443 -1.31073 -1.55898 -1.60101 -0.733427
10	-1.75721 -1.74456 -1.65128 -1.45119 -1.46675 -1.35237 -1.64251 -1.37911 -1.7018 -1.45194 -1.60531 -1.75752 -1.54684 -1.5587 -1.58721 -1.57307 -1.63592 -1.57781 -1.51152 -1.73806 -1.32428 -1.35533 -1.38623 -1.39348 -1.47519 -1.42944 -1.53483 -1.00884 -1.24269 -1.24569 -0.921685 -0.98345 -1.21158 -1.62633 -0.548312
11	-1.90872 -1.70855 -1.82476 -1.66322 -1.70583 -1.52494 -1.6546 -1.68635 -1.63936 -1.56843 -1.73523 -1.65945 -1.65693 -1.68415 -1.79181 -1.73262 -1.74598 -1.65576 -1.585 -1.63792 -1.44382 -1.64913 -1.61976 -1.61282 -1.65413 -1.67121 -1.56973 -0.967976 -0.945436 -0.838804 -0.718831 -0.791873 -0.709088 -1.51238 -0.640869
12	-1.76282 -1.74456 -1.82476 -1.80458 -1.72633 -1.69751 -1.80576 -1.79921 -1.85168 -1.6655 -1.83423 -1.83108 -1.74111 -1.75018 -1.72981 -1.68795 -1.81324 -1.76619 -1.59168 -1.8115 -1.35574 -1.69587 -1.61976 -1.52641 -1.82029 -1.73002 -1.74422 -0.961166 -0.772037 -0.868288 -1.11703 -0.927573 -0.789735 -0.75267 -1.17308
13	-1.91433 -1.74456 -1.84869 -1.80458 -1.84929 -1.76654 -1.84204 -1.655 -1.91413 -1.73669 -1.87135 -1.86786 -1.89653 -1.7898 -1.91581 -1.84112 -2.02725 -1.9156 -1.79208 -1.89828 -1.80245 -1.76932 -1.74654 -1.69257 -1.80112 -1.67121 -1.69536 -1.42429 -1.29223 -1.45209 -1.43258 -1.70985 -1.34806 -1.17051 -1.68986
14	-1.86383 -1.67855 -1.85467 -1.74568 -1.87661 -1.78034 -1.9025 -1.9685 -1.87666 -1.81435 -1.87753 -1.93528 -1.83177 -1.86243 -1.91581 -1.85388 -1.92942 -1.92209 -1.86557 -1.99175 -1.87165 -1.80939 -1.83328 -1.79892 -1.85864 -1.89991 -1.91871 -1.13143 -1.32939 -1.55234 -1.39501 -1.57415 -1.5962 -1.44274 -1.25021
15	-2.00412 -1.97256 -1.97431 -1.78691 -1.9176 -1.98742 -1.93878 -2.11899 -2.03903 -1.85318 -1.87135 -2.00271 -1.903 -1.91525 -1.89721 -1.89856 -1.99057 -2.10398 -1.97245 -2.03848 -1.82761 -1.85613 -1.84662 -1.83879 -1.89698 -2.05673 -2.05831 -1.04289 -1.50898 -1.39312 -1.34993 -1.3666 -1.45972 -1.63266 -1.01881
16	-2.11074 -2.00256 -1.97431 -1.72212 -1.95858 -2.06335 -1.87832 -2.01866 -2.03903 -1.91142 -1.92703 -2.11917 -2.00662 -1.94826 -1.91581 -1.956 -2.0456 -2.11697 -2.05261 -2.11192 -1.79615 -1.88284 -1.83328 -1.90526 -1.93533 -2.05673 -2.06529 -1.22678 -1.1436 -0.921361 -1.19216 -0.751961 -0.845567 -1.44274 -0.88769
17	-1.97606 -1.92456 -1.98029 -1.78102 -1.81513 -1.87698 -2.00529 -1.82429 -2.05152 -1.82729 -1.90847 -1.8556 -1.85767 -1.87563 -1.94061 -1.80283 -2.02725 -1.87012 -1.84553 -1.84488 -1.6892 -1.78268 -1.69316 -1.74574 -1.89059 -1.89337 -1.90475 -2.14621 -1.75669 -1.11006 -2.25902 -1.69388 -1.17436 -1.56302 -1.62044
18	-1.71231 -1.49255 -1.63931 -1.88115 -1.78098 -1.62848 -1.90855 -1.91834 -1.79548 -1.76258 -1.92703 -1.65945 -1.66341 -1.81621 -1.87861 -1.82197 -1.98445 -1.70773 -1.81881 -1.77144 -1.41236 -1.81606 -1.76655 -1.81221 -1.83946 -1.93258 -1.73724 -2.47993 -2.41313 -2.10665 -2.24399 -2.13291 -2.14832 -1.77827 -1.61272
19	-1.64497 -1.53455 -1.68119 -1.76924 -1.65119 -1.74583 -1.84809 -1.61737 -1.88291 -1.72375 -1.87753 -1.7514 -1.70873 -1.78319 -1.90961 -1.71347 -1.92942 -1.77918 -1.77204 -1.75809 -1.57595 -1.64913 -1.60642 -1.67928 -1.80751 -1.94565 -1.80006 -2.50036 -2.40693 -2.66686 -2.14632 -2.18081 -2.47711 -1.75295 -1.62044
20	-1.34755 -1.54655 -1.68717 -1.86348 -1.83562 -1.61467 -1.61833 -1.88699 -1.66434 -1.60079 -1.66099 -1.77591 -1.73464 -1.76339 -1.78561 -1.78368 -1.87439 -1.7532 -1.69188 -1.72471 -1.8339 -1.80271 -1.72652 -1.65934 -1.67969 -1.77576 -1.73026 -2.2007 -2.48125 -2.67276 -2.02611 -2.05309 -2.38406 -1.82892 -1.90582
21	-1.71793 -1.75656 -1.88458 -1.84581 -1.93809 -1.77344 -1.7453 -1.83056 -1.68307 -1.65256 -1.74761 -1.82495 -1.72816 -1.70396 -1.81661 -1.78368 -1.85604 -1.72721 -1.69856 -1.84488 -1.9912 -1.82274 -1.78657 -1.77898 -1.69887 -1.74962 -1.72328 -1.92146 -2.45648 -2.66097 -1.99606 -2.03712 -2.18554 -1.95554 -1.88268
22	-1.82455 -1.73856 -1.78288 -1.8517 -2.0064 -1.90459 -1.87227 -2.03121 -1.93911 -1.89848 -1.88372 -1.8985 -1.81882 -1.90204 -1.97781 -1.99429 -2.05783 -1.79867 -1.79876 -1.77144 -1.87795 -1.94293 -1.95338 -1.93185 -1.77556 -1.84763 -1.79308 -1.7512 -2.30785 -2.54892 -1.93596 -1.91739 -2.15452 -2.14546 -1.79784
23	-1.76282 -1.63055 -1.74699 -1.42763 -1.70583 -1.90459 -1.92669 -1.70516 -1.90164 -1.81435 -1.9394 -1.72688 -1.69578 -1.85583 -1.92821 -1.81559 -2.03337 -1.73371 -1.87225 -1.68465 -1.40607 -1.84277 -1.87998 -1.84544 -1.87142 -2.01099 -1.87683 -1.58093 -1.93009 -2.36022 -1.55279 -1.73379 -2.04286 -2.24676 -1.45075
24	-1.81894 -1.66655 -1.78887 -1.70445 -1.68534 -1.60087 -1.75134 -1.59229 -1.67058 -1.54254 -1.75998 -1.77591 -1.54037 -1.63793 -1.76701 -1.63051 -1.84993 -1.70773 -1.6852 -1.59118 -1.60111 -1.61575 -1.63978 -1.65269 -1.78834 -1.97832 -1.70932 -1.47196 -1.86816 -2.12434 -1.32739 -1.54222 -1.83814 -1.98719 -1.00339
25	-1.43173 -1.37854 -1.45387 -1.76335 -1.82196 -1.6768 -1.54577 -1.98731 -1.63311 -1.63314 -1.58056 -1.6288 -1.60512 -1.78319 -1.70501 -1.69433 -1.76432 -1.68824 -1.6852 -1.87826 -1.8402 -1.84945 -1.74654 -1.71251 -1.63496 -1.83456 -1.73026 -1.38342 -1.85578 -2.0123 -1.25978 -1.19099 -1.75749 -1.97453 -0.648582
26	-1.11747 -1.39654 -1.36414 -1.72212 -1.65802 -1.45591 -1.4188 -1.8431 -1.40205 -1.44547 -1.54344 -1.53073 -1.59865 -1.5455 -1.69881 -1.5603 -1.6726 -1.62328 -1.6184 -1.78479 -1.77099 -1.69587 -1.76655 -1.75239 -1.56466 -1.68427 -1.69536 -1.09057 -1.54614 -1.80591 -1.45512 -0.943538 -1.55278 -1.74029 -0.895403
27	-1.02769 -1.07253 -1.04709 -1.46297 -1.30963 -1.13839 -1.35229 -1.58602 -1.25217 -1.16071 -1.52488 -1.35911 -1.43676 -1.24177 -1.60581 -1.35607 -1.70318 -1.40241 -1.51152 -1.43763 -1.6137 -1.34866 -1.41959 -1.42671 -1.47519 -1.53398 -1.47899 -1.11781 -1.45944 -1.49337 -1.01184 -1.03933 -1.15575 -1.58835 -0.86455
28	-1.0333 -0.886528 -0.903518 -1.17437 -0.954418 -0.910595 -1.14671 -0.959008 -1.18972 -1.12188 -1.2279 -1.21813 -1.23601 -1.15593 -1.16561 -1.14546 -1.23846 -1.11659 -1.13075 -1.29744 -1.06632 -1.08157 -1.16604 -1.14756 -1.21316 -1.16806 -1.27658 -1.09057 -1.4037 -1.41671 -1.34242 -1.08722 -1.0751 -1.44907 -0.972534
29	-1.20165 -0.904528 -1.1428 -1.28627 -0.961249 -1.13839 -1.30996 -1.14711 -1.23344 -1.096 -1.17222 -1.24264 -1.08707 -1.10971 -1.25861 -1.24757 -1.29961 -1.12309 -1.23095 -1.25738 -1.44382 -1.15502 -1.17939 -1.22732 -1.23233 -1.27261 -1.12303 -1.38342 -1.37274 -1.44029 -1.32739 -1.16704 -1.27361 -1.30346 -1.38133
30	-0.730267 -0.814525 -0.867626 -1.1567 -0.995405 -0.77254 -1.15881 -1.19727 -1.01487 -0.940676 -1.20316 -1.02198 -1.03527 -1.01727 -1.23381 -1.0944 -1.28738 -1.01915 -1.00382 -1.11718 -1.45011 -1.06821 -1.05928 -1.04122 -1.07256 -1.23994 -1.04625 -1.00203 -1.25507 -1.51695 -1.13205 -1.31073 -1.51555 -1.1895 -0.795132
31	-1.08942 -0.802525 -0.957357 -0.991784 -0.927094 -0.855373 -1.12253 -0.977819 -0.989889 -0.947148 -1.12273 -1.07715 -1.05469 -0.944644 -1.23381 -1.03696 -1.23846 -1.1101 -1.02387 -1.20397 -1.2362 -1.06153 -1.04594 -1.0811 -1.05978 -1.13539 -1.08115 -0.967976 -1.50898 -1.41671 -0.989303 -1.1431 -1.39769 -1.25281 -0.941682
32	-1.1792 -0.838526 -0.742002 -0.950555 -0.817797 -0.979622 -0.977417 -0.915117 -1.02736 -0.882431 -0.974239 -0.831965 -0.892802 -0.944644 -1.01061 -0.826345 -1.01222 -0.86325 -0.890262 -0.843461 -1.06632 -1.04818 -0.899147 -0.888351 -1.047 -1.07005 -0.962493 -1.18592 -1.50279 -1.4344 -1.17713 -1.07126 -1.32324 -1.49971 -1.00339
33	-0.909841 -0.994531 -1.07102 -1.02712 -1.1047 -1.06246 -1.10439 -0.915117 -0.989889 -0.960091 -1.11035 -0.715504 -0.795667 -0.938041 -1.26481 -1.03696 -1.01834 -0.700852 -0.81678 -0.856813 -0.959365 -1.00144 -0.932509 -1.00799 -0.983089 -0.880551 -0.864777 -1.01565 -1.48421 -1.47568 -0.959251 -0.887661 -1.36667 -1.57568 -0.517459
34	-1.26338 -1.15654 -1.32825 -0.891657 -0.96808 -1.10387 -1.30996 -0.883766 -1.16475 -1.05069 -1.21553 -1.13231 -1.14535 -1.03708 -1.31441 -1.10078 -1.4219 -1.18805 -1.15747 -1.14389 -0.921615 -1.00812 -1.12601 -1.12762 -1.20677 -1.1942 -1.15793 -0.647878 -1.05071 -1.33415 -0.891633 -0.807837 -1.18056 -1.51238 -0.448041
35	-1.07819 -1.21654 -1.04709 -0.661954 -0.633359 -0.869178 -0.717426 -0.344533 -0.740094 -0.765941 -0.689639 -0.801318 -1.17126 -0.581492 -0.638611 -0.558292 -0.553625 -1.05163 -1.01051 -1.09715 -0.449741 -0.53403 -0.51215 -0.482917 -0.721063 -0.691055 -0.79498 -0.695552 -0.883508 -0.732658 -0.628674 -0.408718 -0.870381 -1.27813 -0.131802
36	-1.19043 -1.25854 -1.05307 -1.11547 -0.920263 -0.862276 -0.971371 -0.864956 -0.914951 -0.824186 -0.745322 -0.801318 -1.19068 -0.772972 -0.638611 -0.768905 -0.504707 -1.22053 -1.07731 -0.983659 -0.965656 -0.794443 -0.632253 -0.536089 -0.925571 -0.39701 -0.487873 -1.05651 -0.827773 -0.543955 -0.696292 -0.552401 -0.467148 -0.68303 -0.633156
